strong	gloss
H3632	hel, fuld, heloffer
H3644	ligesom
H3648	vækkes til live
H3651	således, det forudgående
H3658	lyre
H3667	Kana'an
H3669	kanaanæer
H3671	vinge, ende, kant
H3678	trone, tronstol
H3680	tilgive, skjule
H3682	dække, tøj
H3690	tillid
H3701	sølv, penge
H3707	ærgrelse, vrede
H3709	hånd, håndflade
H3715	ungløve
H3718	dobbelt
H3722	sone, skabe forsoning
H3724	bestikkelse
H3727	låg, sonedække
H3738	udgrave
H3742	kerub
H3754	vingård
H3766	knæle
H3772	skære af, slutte pagt
H3774	kretisk
H3778	Kaldæa, kaldæisk
H3782	snuble
H3784	øve troldom
H3789	skrive
H3801	kjortel, tunika
H3803	omringe
H3807	male, knuse, findele
H3808	ikke (neg), nej
H3816	folk
H3820	hjerte, det inderste
H3824	hjerte, indre
H3827	flamme, (usikker)
H3830	tøj, klæding
H3835	fremstille lertegl
H3837	Laban
H3843	lertegl
H3844	Libanon
H3847	tage tøj på, iføre sig
H3857	brænde, fortære
H3858	flamme
H3860	derfor
H3863	hvis blot
H3867	udlåne
H3871	tavle
H3876	Lot
H3878	Levit
H3882	Livjatan
H3885	overnatte
H3898	føre krig, kæmpe
H3899	brød, mad
H3905	presse, undertrykke
H3909	hemmelige kunster, troldom
H3915	nat
H3925	lære
H3940	fakkel, lyn
H3947	tage, gribe
H3950	samle
H3956	sprog, tunge
H3966	meget (adv), magt (n)
H3967	hundrede, to hundrede (du)
H3972	noget overhovedet
H3974	lampe, lyslegeme
H3976	vægt, vægtskåle
H3978	føde
H3979	kniv
H3985	nægte, vægre sig ved
H3988	foragte, afvise
H3996	indgang
H4026	tårn
H4033	ophold i udland, borgerrettigheder og beskyttelse i det fremmede
H4043	skjold
H4057	ørken, steppe, græsningsareal
H4058	måle
H4069	hvorfor
H4080	Midjan
H4100	hvad (interr), hvorledes (interr)
H4109	dagsrejse
H4120	hurtigt (adv), hast (n)
H4124	Moab
H4127	ryste, bølge, smelte
H4131	vakle
H4132	vaklen
H4138	efterkommere, oprindelse
H4139	omskærelse
H4146	grundvold
H4148	opdragelse, irettesættelse, forbedring
H4149	bånd
H4150	højtid, aftalt sted, sæson
H4159	tegn, varsel
H4171	bæver, giver efter
H4176	More, lærer (betydning III)
H4179	Moria
H4181	ejendom
H4191	dø
H4194	død
H4196	alter
H4201	dørstolpe, karm
H4209	plan,
H4210	salme
H4211	beskærekniv
H4229	tørre af, fjerne
H4236	syn
H4237	bjælkebugt, krumning opad på skibsdæk
H4264	lejr, hær
H4266	Mahanajim
H4268	tilflugtssted
H4279	i morgen
H4283	næste dag
H4284	tanke, plan, idé
H4294	stav, stamme, pil, scepter
H4296	seng
H4305	give regn
H4306	regn
H4310	hvem (interr)
H4325	vand, vande
H4327	art, slags
H4334	slette
H4349	sted, fundament
H4370	bukser
H4373	beløb
H4374	dække
H4376	sælge
H4393	fylde, overflod
H4395	overflod, fylde
H4397	budbringer, engel
H4399	arbejde, beskæftigelse, opgave
H4405	ord, budskab
H4410	kongedømme, kongelighed
H4411	herberge
H4419	sømand, søfolk
H4421	kamp, krig
H4422	undslippe
H4428	konge
H4456	forårsregn, senregn
H4461	mål
H4467	kongerige
H4468	kongerige
H4475	herredømme, magt
H4478	hvad
H4480	fra, ud fra, på grund af (præp); end (komp, supp)
H4487	tælles, regnes
H4503	gave, kornoffer, afgift
H4513	tilbageholde
H4519	Manasse
H4529	få til at smelte, opløse, væde
H4535	ellers
H4546	vej, hovedvej
H4549	smeltes, opløses
H4557	antal
H4564	skjule, holde hænder for ansigt i græmmelse
H4576	hakke
H4585	skjulested, bolig
H4592	få (adj), smule (n)
H4598	kappe
H4599	kilde
H4605	oven over, opad, højeste del
H4609	valfart, festrejse, opstigen
H4616	på grund af, for at
H4639	arbejde, gerning
H4659	gerning, arbejde
H4672	finde
H4676	stenstøtte
H4687	befaling, ordre
H4691	lidelse, pinsel
H4701	turban,
H4713	egypter
H4723	samling
H4725	sted
H4735	kvæg, ejendom
H4751	dråbe
H4758	syn, udseende
H4782	Mordokaj
H4791	høj, højt sted, det høje
H4806	fedekvæg, dyr avlet til opfedning
H4820	nedtrampet land
H4823	nedtrampet land
H4834	være skadellig,, være pinefuld
H4836	syl
H4854	last, byde, afgift
H4863	dejtrug
H4869	højt sted, tilflugststed
H4872	Moses
H4886	salve, indvi
H4893	skamferet, vansiret ansigt
H4899	salvet
H4900	gribe, trække
H4904	seng, sofa, leje
H4908	bolig, mødetelt, tabernakel
H4910	styre, regere
H4911	lave spottevise
H4916	gøremål, forehavende, aktiviet
H4931	krav, forpligtelse
H4932	kopi, anden bydel
H4938	stok, krykke, støtte
H4940	storfamilie, slægt, klan
H4941	dom, retfærdighed, beslutning, skik
H4943	arv, søn af arv=arving (?)
H4960	fest, middag med udskænkning af drikkevarer
H4969	sprede ud
H4970	hvornår
H4975	lænder
H4994	vær venlig at, dog, nu
H5002	udsagn, ytring
H5003	bryde ægteskab
H5009	jamren, stønnen
H5027	se efter, se på
H5030	profet
H5034	visne, forsvinde, være dum
H5036	tåbelig, gudløs, tåbe
H5045	Sydlandet, Negev
H5046	gøre kendt, fortælle, rapportere
H5048	mod, overfor (n, prep, adv)
H5055	stange
H5056	stangende
H5057	leder, regent, prins, embedsmand
H5058	strengespil
H5060	røre, skade, ankomme
H5061	slag, angreb, plage
H5062	skade, slå, forøve legemesbekadigelse
H5065	banke, inddrive, presse
H5066	nærme sig, være nær ved
H5081	frivillig, fornemme
H5087	aflægge løfte
H5088	løfte
H5090	føre, lede, drive
H5095	lede, rådgive
H5097	vandingsplads
H5104	flod
H5110	vise sympati, svaje, være hjemløs
H5123	falde i søvn
H5127	flygte
H5128	ryste, vakle
H5130	svinge med, bevæge frem og tilbage
H5137	bestænkes
H5146	Noa
H5148	lede
H5157	arve ejendom
H5158	wadi, flodleje der kun er vandfyldt i regntiden
H5159	arvelod, ejendom
H5162	være ked af, fortryde
H5168	vi
H5175	slange
H5186	strække ud, vende
H5193	plante
H5203	efterlade, forlade, tillade
H5210	Nineve
H5221	blive ramt
H5237	fremmed
H5254	sætte på prøve, lade afprøve
H5258	hælde ud, skænke op, støbe
H5265	rejse
H5275	sandal
H5279	Na’ama
H5284	na'amatit, fra Na'ama
H5285	tjørnebusk
H5287	rystes af
H5288	ung, dreng, karl
H5291	ung pige
H5301	puste, blæse
H5303	herskere, kæmper, nefilim
H5307	falde, ligge
H5310	splintre, slå itu
H5314	få vejret, ånde lettet op
H5315	sjæl, levende væsen, liv, selv, svælg
H5324	stille sig, stå
H5327	komme op at slås
H5332	vedvarende, herlighed
H5337	udfri, rive væk (pi)
H5341	vogte, holde øje med
H5347	kvinde
H5352	frigives, befries, renses ud
H5355	uskyldig, friet for
H5357	kløft
H5358	skaffe oprejsnig, hævne
H5362	fuldende, lave en årlig rundtur
H5369	Ner
H5375	løfte op, bære, fjerne, tilgive
H5380	blæse
H5383	låne ud
H5387	stormand, fyrste
H5392	renter
H5394	tage af, fjerne
H5397	åndedræt, indblæsning af Guds ånde
H5398	blæse
H5401	kysse
H5404	ørn, grib
H5414	give, anbringe
H5416	Natan
H5423	rive væk, trække af
H5437	omgive, gå rundt om
H5439	gå rundt om, kredsløb, rundt omkring, omsluttende
H5442	krat
H5445	bære
H5450	tvangsarbejde
H5459	ejendom, personligt eje
H5462	lukke
H5475	råd, fortrolig samtale
H5483	hest
H5488	siv
H5493	dreje af, gå til side
H5511	Sihon
H5514	Sinaj
H5521	hytte, solskærm
H5526	lukke inde, isolere
H5532	være anvendelig, være til tjeneste
H5542	Selah (term.)
H5545	tilgive
H5553	klippe, stenformation for gravkammer, som bjergtinde
