lex,default
Μᾶρκος,馬可;《思》馬爾谷
Μῆδος,《和2010》《和》瑪代人;《現》米底亞人;《思》瑪待人
Νάρκισσος,拿其數;《思》納爾基索
Νίγερ,《和2010》《和》尼結;《現》黑漢;《思》尼革爾
Ναΐν,拿因;《思》納因
Ναασσών,拿順;《思》納赫雄
Ναγγαί,拿該;《思》納革
Ναζαρηνός,拿撒勒人;《思》納匝肋人
Ναζωραῖος,拿撒勒人;《思》納匝肋人
Ναθάμ,拿單;《思》納堂
Ναθαναήλ,拿但業;《思》納塔乃耳
Ναούμ,拿鸿;《思》納洪
Ναχώρ,拿鶴;《思》納曷爾
Νεφθαλίμ,拿弗他利;《思》納斐塔里
Νηρί,尼利;《思》乃黎
Νηρεύς,尼利亞;《思》乃勒烏
Νικάνωρ,尼迦挪;《思》尼加諾爾
Νικολαΐτης,《和》尼哥拉黨;《現》尼哥拉派;《思》尼苛勞黨
Νικόδημος,尼哥德慕;《和》尼哥底母;《思》尼苛德摩
Νικόλαος,尼哥拉;《思》尼苛勞
Νικόπολις,尼哥坡里;《和》尼哥波立;《思》尼苛頗里
Νινευίτης,尼尼微人
Νύμφα,寧法
Νῶε,挪亞;《思》諾厄
Οὐρίας,烏利亞;《思》烏黎雅
Οὐρβανός,《和2010》《和》耳巴奴;《現》耳巴努;《思》吴爾巴諾
Πάρθος,帕提亞人;《思》帕提雅人
Πάταρα,帕大喇;《思》帕塔辣
Πάτμος,拔摩;《思》帕特摩
Πάφος,帕弗;《思》帕佛
Πέργαμος,别迦摩;《思》培爾加摩
Πέργη,别加;《思》培爾革
Πέτρος,彼得;《思》伯多祿
Παμφυλία,旁非利亞;《思》旁非里雅
Παρμενᾶς,巴米拿;《思》帕爾默納
Πατροβᾶς,八羅巴;《思》帕特洛巴
Παῦλος,保羅;《思》保祿
Περσίς,彼息;《思》培爾息
Πιλᾶτος,彼拉多;《思》比拉多
Πισίδιος,彼西底;《思》丕息狄雅
Πισιδία,彼西底;《思》丕息狄雅
Ποντικός,本都人;本都的
Ποτίολοι,部丢利;《思》頗提約里
Πούδης,布田;《思》普登
Πρόχορος,伯羅哥羅;《思》仆洛曷洛
Πτολεμαΐς,多利買;《思》仆托肋買
Πόντιος,《和2010》《和》本丟;《現》龐修;《思》般雀
Πόντος,本都
Πόπλιος,部百流;《思》頗里約
Πόρκιος,波求;《思》頗爾基約
Πύρρος,鮮紅色的;紅色的
Σάμος,撒摩
Σάπφιρα,撒非喇;《思》撒斐辣
Σάρδεις,撒狄;《思》撒爾德
Σάρεπτα,撒勒法;《思》匝爾法特
Σάρρα,《和2010》《和》撒拉;《現》莎拉;《思》撒辣
Σέργιος,士求;《思》色爾爵
Σήθ,塞特;《思》舍特
Σήμ,閃
Σίμων,西門;《思》西滿
Σαβαώθ,全能者
Σαδδουκαῖος,"撒都該人,《思》撒杜塞人"
Σαδώκ,撒督;《思》匝多克
Σαλήμ,撒冷;《思》撒冷
Σαλαθιήλ,撒拉鐵;《思》沙耳提耳
Σαλαμίς,撒拉米
Σαλείμ,撒冷;《思》撒林
Σαλμών,撒門;《思》撒耳孟
Σαλμώνη,撒摩尼;《思》撒耳摩訥
Σαλώμη,撒羅米;《思》撒羅默
Σαμάρεια,《和2010》《和》撒瑪利亞;《現》撒馬利亞;《思》撒瑪黎雅
Σαμαρίτης,《和2010》《和》撒瑪利亞人(男);《現》撒馬利亞人(男);《思》撒瑪黎雅人(男)
Σαμαρῖτις,《和2010》《和》撒瑪利亞人(女);《現》撒馬利亞人(女);《思》撒瑪黎雅人(女)
Σαμοθρᾴκη,撒摩特喇;《思》撒摩辣刻
Σαμουήλ,撒母耳;《思》撒慕爾
Σαμψών,參孫;《思》三松
Σαούλ,掃羅;《思》掃祿
Σαρών,沙崙;《思》沙龍
Σατανᾶς,魔鬼;撒但
Σαῦλος,掃羅;《思》掃祿
Σεκοῦνδος,西公都;《思》色貢多
Σελεύκεια,西流基;《思》色婁基雅
Σεμεΐν,西美;《思》史米
Σερούχ,西鹿;《思》色魯格
Σιδών,西頓;《思》漆冬
Σιδώνιος,西頓的;《思》漆冬的
Σιλουανός,西拉;《思》息耳瓦諾
Σιλωάμ,西羅亞;《思》史羅亞
Σιλᾶς,西拉;《思》息拉
Σινᾶ,西奈;《和》《思》西乃
Σιών,錫安;《思》熙雍
Σκευᾶς,士基瓦;《思》斯蓋瓦
Σκύθης,《和2010》《和》西古提人;《現》野蠻人;《思》叔提雅人
Σμύρνα,士每拿;《思》斯米納
Σολομών,所羅門;《思》撒羅滿
Σουσάννα,《和2010》《和》蘇撒拿;《現》蘇撒娜;《思》蘇撒納
Σπανία,西班牙;《和》士班雅
Στάχυς,士大古;《思》斯塔輝
Στέφανος,司提反;《思》斯德望
Στεφανᾶς,司提法那;《和》司提反;《思》斯特法納
Στοϊκός,斯多亞派;支持斯多亞哲學思想的人
Συμεών,西門;《思》西滿
Συντύχη,循都基;《思》欣提赫
Συράκουσαι,敘拉古;《思》息辣谷撒
Συρία,敘利亞;《思》敘利亞
Συροφοινίκισσα,敘利亞腓尼基的婦人
Συχάρ,敘加;《思》息哈爾
Συχέμ,示劍;《思》舍根
Σωσίπατρος,所西巴德;《思》索息帕特
Σωσθένης,"所提尼,《思》索斯特乃"
Σόδομα,所多瑪;《思》索多瑪
Σύρος,敘利亞人;《思》敘利亞人
Σύρτις,賽耳底;《思》敘爾提
Σώπατρος,所巴特;《思》索帕特爾
Τέρτιος,德提;《和》德丢;《思》特爾爵
Τέρτυλλος,帖土羅;《思》特爾突羅
Τίμων,提門;《思》提孟
Τίτιος,提多;《思》弟鐸
Τίτος,提多;《思》弟鐸
Ταβιθά,大比大;《思》塔彼達
Ταρσεύς,大數人;《思》塔爾索人
Ταρσός,大數;《思》塔爾索
Τιβέριος,提庇留
Τιβεριάς,提比哩亞;《思》提庇黎雅
Τιμαῖος,底買;《思》提買
Τιμόθεος,提摩太;《思》弟茂德
Τραχωνῖτις,特拉可尼;《思》特辣曷尼
Τρυφῶσα,土富撒;《思》特黎佛撒
Τρόφιμος,特羅非摩;《思》特洛斐摩
Τρύφαινα,土非拿;《思》特黎費納
Τρῳάς,特羅亞;《思》特洛阿
Τυχικός,推基古;《思》提希苛
Τύραννος,推喇奴;《思》提郎諾
Τύριος,《和2010》《和》推羅人;《現》泰爾人;《思》提洛人
Τύρος,《和2010》《和》推羅;《現》泰爾;《思》提洛
Φάλεκ,法勒;《思》培肋格
Φάρες,法勒斯;《思》培勒茲
Φίλητος,腓理徒;《思》非肋托
Φίλιπποι,腓立比;《思》斐理伯
Φίλιππος,腓力;《思》斐理伯
Φανουήλ,法内力;《思》法奴耳
Φαραώ,法老;《思》法郎
Φαρισαῖος,法利赛人;《思》法利塞人
Φιλήμων,腓利門;《思》費肋孟
Φιλαδέλφεια,非拉鐵非;《思》非拉德非雅
Φιλιππήσιος,腓立比人;《思》斐理伯人
Φιλόλογος,非羅羅古;《思》非羅羅哥
Φλέγων,弗勒干;《思》弗肋貢
Φοίβη,《和2010》《和》非比;《現》菲比;《思》福依貝
Φοινίκη,腓尼基
Φορτουνᾶτος,福徒拿都;《思》福突納托
Φοῖνιξ,《和2010》《和》非尼基;《現》菲尼基;《思》腓尼斯
Φρυγία,弗呂家;《思》夫黎基雅
Φύγελος,腓吉路;《思》非革羅
Φῆλιξ,腓力斯;《思》斐理斯
Φῆστος,非斯都;《思》斐斯托
Χίος,基阿;《思》希約
Χαλδαῖος,迦勒底人;《思》加色丁人
Χανάαν,迦南;《思》客納罕
Χαναναῖος,迦南人或迦南地的;《思》客納罕人或客納罕地的
Χαρράν,哈蘭
Χερούβ,有翅膀的活物;基路伯
Χλόη,革来;《思》黑羅厄
Χοραζίν,哥拉汛;《思》苛辣匝因
Χουζᾶς,苦撒;《思》雇撒
Χριστιανός,基督徒
Χριστός,基督;彌賽亞
αἰγιαλός,海灘;岸邊
αἰδώς,莊重;樸素
αἰνέω,讚美;頌讚
αἰσθάνομαι,能够理解;具有理解能力;理解力
αἰσθητήριον,能够理解;具有理解能力;理解力
αἰσχροκερδής,貪不義之財;貪婪
αἰσχροκερδῶς,貪不義之財;貪婪
αἰσχρολογία,粗俗的言論;下流的言論;污穢的言語
αἰσχρός,不名譽的;可恥的
αἰσχρότης,行為可恥;不正派的行為;可恥的行為
αἰσχύνη,羞愧;羞恥
αἰσχύνω,慚愧;感到羞恥;覺得羞愧
αἰτέω,要求;需求;懇求
αἰτία,原因;理由;緣由;由於
αἰφνίδιος,忽然;立即;立刻
αἰχμάλωτος,俘虜;戰俘;被擄的
αἰχμαλωσία,囚禁;被擄;俘虜
αἰχμαλωτίζω,俘虜;俘獲;擄掠;擄獲;在戰爭中俘虜某人
αἰχμαλωτεύω,俘虜;俘獲;擄掠;擄獲;在戰爭中俘虜某人
αἰών,時代;世代;現世
αἰώνιος,永恆的;永遠的;永久的;永存的
αἱματεκχυσία,使流血;使血流出來;流血
αἱμορροέω,流血;患血漏;患血崩
αἱρέω,選擇;挑選;寧願;寧可
αἱρετίζω,選擇;揀選
αἱρετικός,分裂;製造分裂的人;製造紛爭的人;分門結黨的人
αἴγειος,山羊的
αἴνεσις,讚美;頌讚
αἴνιγμα,令人困惑的事情;難以理解的事情;謎語
αἴρω,帶走;移走;拿去
αἴσθησις,能够理解;具有理解能力;理解力
αἴτημα,請求;需求;所要求的東西
αἵρεσις,宗教黨派;教派
αἶνος,讚美;頌讚
αἷμα,血
αὐγάζω,使被看見;使......變得清楚
αὐγή,破曉;天亮;黎明
αὐθάδης,高傲的;任性妄為的
αὐθαίρετος,甘心樂意的;自願的
αὐθεντέω,控制;壓制;管轄
αὐλέω,吹笛
αὐλή,庭院;羊圈
αὐλίζομαι,過夜;住宿
αὐλητής,吹手;吹笛的
αὐλός,簫;笛子
αὐξάνω,增加;增長;擴展;延伸
αὐστηρός,嚴厲的;嚴格的
αὐτάρκεια,知足;滿足
αὐτάρκης,滿足於自己所擁有的;滿足於自己所處的環境;滿足現狀
αὐτοκατάκριτος,被自己的行為所譴責;自己的行為給自己定了罪
αὐτοῦ,這裏;那裏
αὐτόματος,沒有任何原因的;憑著自己的
αὐτόπτης,目擊證人;目睹事情經過的人
αὐτός,相同;一樣
αὐτόχειρ,親手
αὐχμηρός,黑暗和悲慘的
αὔξησις,生長;長大;成長
αὔριον,明天;第二天
βάθος,深度;深
βάλλω,丟;扔;投擲
βάπτισμα,施洗;洗禮
βάπτω,蘸;浸
βάρβαρος,非希臘人
βάρος,勞苦;重擔;擔子
βάσανος,折磨;劇烈的疼痛;極大的痛苦
βάσις,腳
βάτος (I),"帶刺的植物,薊,荆棘"
βάτραχος,青蛙
βάϊον,棕樹枝;棕櫚枝
βέβαιος,保證;確保;確實;堅定不移
βέβηλος,不敬虔的;貪戀世俗的
βέλος,箭;標槍
βήρυλλος,水蒼玉;綠寶石;綠柱石
βία,力量;暴力
βίαιος,猛烈的;強力的
βίβλος,書冊;卷軸;文書
βίος,生活;度日;日常生活;生存
βίωσις,生活;度日;日常生活;生存
βαθμός,地位;等級;身分
βαθύνω,挖深
βαθύς,深
βαλλάντιον,錢包;錢袋
βαπτίζω,洗濯;潔淨;洗浴;行洗淨禮
βαπτισμός,洗濯;潔淨;洗浴;行洗淨禮
βαπτιστής,施洗者;施洗的
βαρέω,使背負重擔;加重負擔;累住;壓住
βαρέως,理解緩慢;智力遲鈍
βαρύς,沉重的;累贅的
βαρύτιμος,珍貴的;貴重的;昂貴的
βασίλισσα,女王
βασανίζω,折磨;受痛苦;受酷刑
βασανισμός,折磨;劇烈的疼痛;極大的痛苦
βασανιστής,監獄守衛;施刑的人;拷問者
βασιλεία,統治;作王;執掌王權
βασιλεύς,王;君王;國王
βασιλεύω,統治;作王;執掌王權;掌權
βασιλικός,王家的;國度的;至尊的
βασκαίνω,迷惑;施魔法
βαστάζω,拿著;承擔
βατταλογέω,說很多話;說了很長時間
βδέλυγμα,可憎惡的;令人厭惡的
βδελυκτός,可惡的;可憎惡的;令人嫌惡的;厭惡的
βδελύσσομαι,憎惡;厭惡
βεβαίωσις,證實;證明;證明是真實和確定的;確認;驗證
βεβαιόω,使相信;信仰堅定
βεβηλόω,玷污;褻瀆;冒犯
βελτίων,好;很好;極好;做得好;清楚(知道)
βελόνης,箭;標槍
βιάζω,遭受猛烈攻擊;遭受暴力襲擊
βιαστής,強暴的人;強取的人
βιβλίον,書冊;卷軸;文書
βιβλαρίδιον,小書卷
βιβρώσκω,吃東西;吃
βιωτικός,今生的;世上的;生活上的;今世的特徵;關於人類生存的
βιόω,生活;度日;日常生活;生存
βλάπτω,傷害;損害
βλάσφημος,侮辱的;誹謗的;褻瀆的
βλέμμα,看見的事;所看見的
βλέπω,看見;看到;意識到;注意到
βλαβερός,有害的
βλαστάνω,發芽;長葉子;長苗
βλασφημέω,褻瀆;毀謗;侮辱
βλασφημία,褻瀆;毀謗;侮辱
βλητέος,必須裝在;需要放在
βοάω,大聲喊叫;尖叫
βοή,呼喊
βοήθεια,幫助;扶助
βοηθέω,幫助;扶助
βοηθός,幫助者;資助人(指支持一個人或一個計劃的人)
βολή,扔(一塊石子)的距離;一個人可能投擲的距離
βολίζω,探測水深;探測水的深淺;投擲鉛墜;垂下鉛墜
βορρᾶς,北;北方
βοτάνη,"植物,草"
βουλή,計劃;意圖;目的;動機
βουλευτής,猶太公會的成員;議會的議員
βουλεύω,計劃;打算;有意;決定要;想要
βουνός,小山
βούλημα,慾望;心意;旨意;意圖
βούλομαι,渴望;願意;想;要;想要;希望
βοῦς,"公牛,母牛,牛"
βρέφος,嬰孩;幼兒;胎兒
βρέχω,雨;下雨
βραβεύω,控制;支配;掌管;作主
βραβεῖον,獎賞;獎品
βραδυπλοέω,慢慢航行;緩緩開行
βραδύνω,延遲;遲;耽擱;耽延;拖延
βραδύς,慢慢地;緩慢;拖拉;遲鈍
βραδύτης,延遲;遲;耽擱;耽延;拖延
βραχίων,能力;力量
βραχύς,很少;不多;有限數量
βροντή,雷
βροχή,雨;下雨
βρυγμός,磨牙齒;咬牙切齒
βρόχος,限制;控制;施加約束;牢籠
βρύχω,磨牙齒;咬牙切齒
βρύω,使傾瀉;使湧出
βρώσιμος,可吃的
βρῶμα,食物
βρῶσις,吃東西;吃;吃喝
βυθίζω,下沉
βυθός,公海;深海;大海;海洋
βυρσεύς,硝皮匠;皮革匠;皮匠
βωμός,壇;祭壇
βόθυνος,井;坑;溝;洞
βόρβορος,污泥;泥沼
βόσκω,餵養;使吃食
βότρυς,"葡萄,葡萄串"
βύσσινος,細麻布的
βύσσος,細麻布
βῆμα,審判台
γάγγραινα,毒瘡;潰瘍;壞疽;癌症
γάζα,銀庫;國庫;庫房
γάλα,奶
γάμος,婚姻
γάρ,因;因為
γέ,"那麼;的確;(或通常不翻譯,但可能反映在語序中)"
γέεννα,地獄;欣嫩子谷
γέλως,笑聲
γέμω,充滿;包含
γένεσις,出生;誕生
γέννημα,後代;後裔;子孫;孩子
γένος,後裔;後代
γέρων,成年人;老人
γίνομαι,形成;開始存在
γαζοφυλάκιον,庫房;聖殿庫房
γαλήνη,風平浪靜(對比於水面上的風暴)
γαμέω,結婚;婚姻;嫁;娶
γαστήρ,肚子;子宮
γείτων,鄰舍;兄弟
γελάω,笑;喜笑
γεμίζω,充滿;灌滿;倒滿
γενέσια,生日慶祝會;生日慶典
γενεά,同一時代的人;同一世代的人
γενεαλογέω,屬於......的世系;是......的後代
γενεαλογία,家譜;族譜
γενετή,出生;生下來
γεννάω,做父親;生育;成為......的父親
γεννητός,出生的;生下來的人;人;世人
γερουσία,猶太公會;猶太人的高級議會
γεωργέω,種地;耕種;在園中種植;從事園藝
γεωργός,農夫;耕種的人;佃農
γεύομαι,嘗;吃;體驗
γεώργιον,田地;耕地;園地
γηράσκω,年老;變老;漸漸變老
γινώσκω,知道;曉得;了解;熟悉
γλεῦκος,甜酒
γλυκύς,甜的;新鮮的;不苦的;好的
