lex,default
καλῶς,"bien, noblemente, correctamente"
καπνός,humo
καρδία,"corazón, vida interior, intención"
καρπός,"fruto, resultado, ganancia"
κατά,"abajo de, contra, de acuerdo a, través de, durante"
κατάκειμαι,estar enfermo; estar a la mesa
κατέρχομαι,bajar o venir abajo
κατέχω,"aguantarse, retener, conservar"
καταβαίνω,"bajar, descender"
καταβολή,"fundación, depositando, siembra"
καταγγέλλω,"anunciar, predicar"
καταισχύνω,"avergonzar, deshonrar, confundir"
κατακαίω,"quemar, consumir en el fuego"
κατακρίνω,condenar
καταλαμβάνω,"agarrar firmemente, alcanzar, comprender"
καταλείπω,"dejar atrás, abandonar"
καταλύω,"disolver, derrocar, desenjaezar, encontrar alojamiento"
κατανοέω,"entender, percivir, considerar"
καταντάω,"bajar, llegar, lograr, alcanzar"
καταργέω,"anular, cancelar, abolir"
καταρτίζω,"remendar, arreglar"
κατασκευάζω,"preparar, construir"
κατεργάζομαι,"elaborar, producir, realizar"
κατεσθίω,"devorar, consumir"
κατευλογέω,bendecir
κατηγορέω,acusar
κατοικέω,"habitar, residir"
κατοικίζω,"habitar, residir"
καυχάομαι,"jactarse, gloriarse"
καύχημα,jactancia
καύχησις,"jactancia, orgullo"
κελεύω,"ordenar, mandar"
κενός,"vacío, vano, hueco"
κερδαίνω,"acumular, ganar, evadir perdida"
κεφαλή,cabeza
κεῖμαι,"poner, acostar; estar acostado"
κηρύσσω,"proclamar, predicar"
κλάδος,rama
κλάω,"partir, romper"
κλέπτης,ladrón
κλέπτω,robar
κλαίω,"llorar, llorar por, lamentarse"
κλείω,"cerrar, callar"
κληρονομέω,"heredar, obtener"
κληρονομία,herencia
κληρονόμος,heredero
κλητός,"llamado, invitado"
κλῆρος,"lote, porción"
κλῆσις,"llamado, invitación, vocación"
κοιλία,"estómago, vientre, hombre interno"
κοιμάομαι,"dormirse, estoy dormido"
κοινωνία,"participación, comunión, hermanda"
κοινωνός,"partícipe, compañero"
κοινός,"común, compartido, inmundo"
κοινόω,hacer o llamar impuro
κολλάω,"unirse, asociarse, juntarse"
κομίζω,"traer, recibir, recuperar"
κοπιάω,"cansarse, fatigarse; trabajar arduamente"
κοσμέω,"poner en orden, adornar"
κράβαττος,"cama, colchón, tapete"
κράζω,"gritar, clamar"
κράτος,"dominio, fuerza, poder"
κρίμα,"juicio, veredicto, demanda"
κρίνω,juzgar; decidir
κρίσις,"juzgando, juicio divino"
κρατέω,"agarrar, obtener"
κρείττων,"más fuerte, más excelente"
κριτής,juez
κρυπτός,"secreto, oculto, escondido"
κρυφαῖος,"secreto, oculto, escondido"
κρύπτω,"esconder, encubrir, atesorar"
κτίζω,"crear, formar, dar forma, hacer"
κτίσις,"creación, criatura, institución"
κωλύω,"prevenir, impedir"
