strong	domain_type	domain	label	count	share
G0162	sdbg	055005	Prisoners of War	1	1.000
G0163	sdbg	037001	Control, Restrain	3	0.750
G0164	sdbg	055005	Prisoners of War	1	1.000
G0165	sdbg	067005	Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young	79	0.627
G0165	sdbg	067008	Indefinite Units of Time: Age, Lifetime, Interval, Period	27	0.214
G0165	sdbg	041003	Particular Patterns of Behavior	7	0.056
G0165	sdbg	067006	Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From	4	0.032
G0165	sdbg	067002	A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After	3	0.024
G0165	sdbg	011002	Socio-Religious	2	0.016
G0165	sdbg	001001	Universe, Creation	2	0.016
G0166	sdbg	067005	Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young	68	0.958
G0166	sdbg	067006	Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From	3	0.042
G0167	sdbg	088034	Impurity	9	0.900
G0169	sdbg	053004	Defile, Unclean, Common	31	1.000
G0170	sdbg	067001	A Point of Time without Reference to Other Points of Time: Time, Occasion, Ever, Often	1	1.000
G0171	sdbg	067001	A Point of Time without Reference to Other Points of Time: Time, Occasion, Ever, Often	1	1.000
G0172	sdbg	031005	Suppose, Think Possible	1	0.500
G0173	sdbg	003003	Plants That Are Not Trees	14	1.000
G0174	sdbg	003003	Plants That Are Not Trees	2	1.000
G0175	sdbg	065004	Useful, Useless	5	0.714
G0175	sdbg	023012	Ripen, Produce Fruit, Bear Seed	2	0.286
G0176	sdbg	033045	Criticize	1	1.000
G0177	sdbg	079025	Covered Over	2	1.000
G0178	sdbg	056004	Judicial Hearing, Inquiry	2	1.000
G0179	sdbg	013001	State	1	1.000
G0180	sdbg	068004	Cease, Stop	1	1.000
G0181	sdbg	039007	Rebellion	5	1.000
G0182	sdbg	037001	Control, Restrain	2	1.000
G0184	sdbg	093002	Places	1	1.000
G0185	sdbg	088003	Holy, Pure	3	1.000
G0186	sdbg	031008	Change an Opinion Concerning Truth	1	1.000
G0187	sdbg	023012	Ripen, Produce Fruit, Bear Seed	1	1.000
G0188	sdbg	067006	Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From	1	1.000
G0189	sdbg	024002	Hear	17	0.708
G0189	sdbg	033015	Inform, Announce	5	0.208
G0190	sdbg	015017	Come/Go Behind	33	0.367
G0190	sdbg	015020	Follow, Accompany	30	0.333
G0190	sdbg	036004	Follow, Be a Disciple	27	0.300
G0191	sdbg	024002	Hear	223	0.508
G0191	sdbg	033015	Inform, Announce	113	0.257
G0191	sdbg	031007	Accept As True	63	0.144
G0191	sdbg	032001	Understand	17	0.039
G0191	sdbg	036003	Obey, Disobey	17	0.039
G0191	sdbg	056004	Judicial Hearing, Inquiry	4	0.009
G0191	sdbg	032005	Lack of Capacity for Understanding	2	0.005
G0192	sdbg	088011	Self-Control, Lack of Self-Control	2	1.000
G0193	sdbg	088011	Self-Control, Lack of Self-Control	1	1.000
G0194	sdbg	079020	Pure, Unadulterated, Undiluted	1	1.000
G0195	sdbg	072002	Accurate, Inaccurate	1	1.000
G0196	sdbg	072002	Accurate, Inaccurate	1	1.000
G0198	sdbg	027001	Learn	2	1.000
G0199	sdbg	072002	Accurate, Inaccurate	9	1.000
G0200	sdbg	004003	Insects	4	1.000
G0201	sdbg	007002	Buildings	1	1.000
G0202	sdbg	024002	Hear	4	1.000
G0203	sdbg	011002	Socio-Religious	20	1.000
G0204	sdbg	007003	Parts and Areas of Buildings	2	1.000
G0205	sdbg	057021	Steal, Rob	1	1.000
G0206	sdbg	080002	Limits, Boundaries of Space	4	0.667
G0206	sdbg	079023	Shapes	2	0.333
G0207	sdbg	093001	Persons	6	1.000
G0208	sdbg	076	Power, Force	3	1.000
G0209	sdbg	013004	Happen	1	1.000
G0210	sdbg	025005	Be Willing	1	1.000
G0211	sdbg	006016	Containers	4	1.000
G0212	sdbg	088027	Arrogance, Haughtiness, Pride	2	1.000
G0213	sdbg	088027	Arrogance, Haughtiness, Pride	2	1.000
G0214	sdbg	025012	Laugh, Cry, Groan	1	0.500
G0215	sdbg	033006	Speak, Talk	1	1.000
G0216	sdbg	033006	Speak, Talk	3	1.000
G0217	sdbg	005002	Condiments	8	1.000
G0218	sdbg	047003	Application and Removal of Liquids or Masses	9	1.000
G0219	sdbg	067009	Definite Units of Time: Year, Month, Week, Day, Hour	1	1.000
G0220	sdbg	004002	Birds	11	1.000
G0221	sdbg	093002	Places	2	1.000
G0222	sdbg	093002	Places	2	1.000
G0223	sdbg	093001	Persons	6	1.000
G0224	sdbg	005001	Food	2	1.000
G0225	sdbg	072001	True, False	93	0.861
G0225	sdbg	070	Real, Unreal	15	0.139
G0226	sdbg	033018	Speak Truth, Speak Falsehood	2	1.000
G0227	sdbg	072001	True, False	14	0.538
G0227	sdbg	088005	Honesty, Sincerity	7	0.269
G0227	sdbg	070	Real, Unreal	5	0.192
G0228	sdbg	070	Real, Unreal	16	0.552
G0228	sdbg	073	Genuine, Phony	8	0.276
G0228	sdbg	072001	True, False	5	0.172
G0229	sdbg	046	Household Activities	2	1.000
G0230	sdbg	070	Real, Unreal	18	1.000
G0231	sdbg	044	Animal Husbandry, Fishing	5	1.000
G0232	sdbg	044	Animal Husbandry, Fishing	1	1.000
G0233	sdbg	005002	Condiments	2	1.000
G0234	sdbg	053004	Defile, Unclean, Common	1	1.000
G0235	sdbg	089023	Contrast	580	0.903
G0235	sdbg	091001	Markers of Transition	43	0.067
G0235	sdbg	091002	Markers of Emphasis	13	0.020
G0235	sdbg	089017	Addition	6	0.009
G0236	sdbg	058006	Different Kind or Class	5	0.714
G0236	sdbg	057010	Exchange	2	0.286
G0237	sdbg	083001	Here, There	1	0.500
G0238	sdbg	033003	Discourse Types	1	1.000
G0239	sdbg	033037	Praise	4	1.000
