# Direction verdicts for hierarchy_dag.tsv edges -- held-out weighted asymmetry
# (WeedsPrec + invCL), majority verdict across 5 TEST-book splits (seeds 13,17,23,29,31), never used to infer these edges. See
# direction_yardstick.py and internal-docs/phase-c-instrument-calibration-plan.md.
broader_strong	narrower_strong	source	verdict	n_confirmed	n_contradicted	n_undetermined	n_seeds
H0990	H1323	apposition	UNDETERMINED	0	1	4	5
H0996	H4428	apposition	UNDETERMINED	0	2	3	5
H1004	H0430	apposition	CONTRADICTED	0	3	2	5
H1004	H1121	apposition	CONTRADICTED	0	3	2	5
H1004	H3605	apposition	CONTRADICTED	0	5	0	5
H1004	H4428	apposition	UNDETERMINED	1	1	3	5
H1060	H0001	apposition	CONTRADICTED	0	4	1	5
H1060	H1121	apposition	CONTRADICTED	0	5	0	5
H1060	H8130	apposition	UNDETERMINED	0	0	5	5
H1115	H1121	apposition	UNDETERMINED	0	0	5	5
H1115	H3427	apposition	UNDETERMINED	0	0	5	5
H1157	H3605	apposition	CONTRADICTED	0	4	1	5
H1157	H7611	apposition	UNDETERMINED	1	0	4	5
H1167	H0430	apposition	CONTRADICTED	0	5	0	5
H1247	H5030	apposition	UNDETERMINED	0	0	5	5
H1285	H0430	apposition	CONTRADICTED	0	5	0	5
H1285	H1697	apposition	CONTRADICTED	0	3	2	5
H1323	H0251	apposition	UNDETERMINED	1	2	2	5
H1323	H0802	apposition	UNDETERMINED	0	0	5	5
H1323	H1121	apposition	CONTRADICTED	0	5	0	5
H1323	H3548	apposition	UNDETERMINED	1	0	4	5
H1323	H4428	apposition	CONTRADICTED	1	3	1	5
H1366	H4428	apposition	CONTRADICTED	0	5	0	5
H1375	H3701	apposition	UNDETERMINED	0	1	4	5
H1383	H4639	apposition	UNDETERMINED	0	0	5	5
H1383	H5688	apposition	UNDETERMINED	0	0	5	5
H1389	H1995	apposition	UNDETERMINED	0	0	5	5
H1389	H2022	apposition	CONTRADICTED	0	5	0	5
H1397	H2428	apposition	UNDETERMINED	0	0	5	5
H1397	H5869	apposition	UNDETERMINED	0	0	5	5
H1419	H0776	apposition	UNDETERMINED	0	2	3	5
H1419	H1121	apposition	CONTRADICTED	0	5	0	5
H1419	H3605	apposition	CONTRADICTED	0	5	0	5
H1419	H4428	apposition	CONTRADICTED	0	5	0	5
H1422	H4148	apposition	UNDETERMINED	0	0	5	5
H1422	H4923	apposition	UNDETERMINED	0	0	5	5
H1471	H0376	apposition	CONTRADICTED	0	4	1	5
H1471	H0776	apposition	UNDETERMINED	0	2	3	5
H1471	H1121	apposition	CONTRADICTED	0	5	0	5
H1471	H3605	apposition	CONTRADICTED	0	5	0	5
H1471	H5971	apposition	CONTRADICTED	0	5	0	5
H1473	H1121	apposition	UNDETERMINED	0	1	4	5
H1473	H5971	apposition	UNDETERMINED	0	1	4	5
H1473	H7628	apposition	UNDETERMINED	0	0	5	5
H1501	H1419	apposition	UNDETERMINED	0	0	5	5
H1501	H2428	apposition	UNDETERMINED	0	0	5	5
H1546	H4428	apposition	UNDETERMINED	0	0	5	5
H1612	H0776	apposition	CONTRADICTED	0	5	0	5
H1612	H8081	apposition	UNDETERMINED	0	0	5	5
H1637	H2983	apposition	UNDETERMINED	0	0	5	5
H1697	H0802	apposition	UNDETERMINED	0	2	3	5
H1697	H1121	apposition	CONTRADICTED	0	5	0	5
H1697	H4428	apposition	CONTRADICTED	0	4	1	5
H1755	H0376	apposition	CONTRADICTED	0	4	1	5
H1755	H4421	apposition	UNDETERMINED	0	2	3	5
H1870	H0001	apposition	CONTRADICTED	0	3	2	5
H1875	H5892	apposition	UNDETERMINED	0	0	5	5
H1926	H5158	apposition	UNDETERMINED	0	0	5	5
H1926	H6086	apposition	UNDETERMINED	0	1	4	5
H1926	H6160	apposition	UNDETERMINED	0	0	5	5
H1966	H1121	apposition	UNDETERMINED	0	0	5	5
H1966	H7837	apposition	UNDETERMINED	0	0	5	5
H1979	H4428	apposition	UNDETERMINED	0	0	5	5
H1993	H5947	apposition	UNDETERMINED	0	0	5	5
H1993	H7151	apposition	UNDETERMINED	0	0	5	5
H2022	H0430	apposition	CONTRADICTED	0	3	2	5
H2022	H1004	apposition	CONTRADICTED	0	4	1	5
H2022	H3605	apposition	CONTRADICTED	0	5	0	5
H2070	H0430	apposition	UNDETERMINED	0	1	4	5
H2091	H0430	apposition	UNDETERMINED	0	2	3	5
H2091	H1004	apposition	UNDETERMINED	0	2	3	5
H2091	H6944	apposition	UNDETERMINED	0	0	5	5
H2108	H1121	apposition	UNDETERMINED	0	0	5	5
H2114	H1471	apposition	UNDETERMINED	0	1	4	5
H2195	H0639	apposition	UNDETERMINED	0	1	4	5
H2195	H2740	apposition	UNDETERMINED	0	0	5	5
H2195	H3605	apposition	UNDETERMINED	0	1	4	5
H2197	H0068	apposition	UNDETERMINED	0	0	5	5
H2197	H1259	apposition	UNDETERMINED	0	0	5	5
H2197	H2230	apposition	UNDETERMINED	0	0	5	5
H2205	H3605	apposition	CONTRADICTED	0	5	0	5
H2205	H7218	apposition	UNDETERMINED	0	1	4	5
H2205	H7453	apposition	UNDETERMINED	0	0	5	5
H2233	H3548	apposition	CONTRADICTED	0	3	2	5
H2233	H5650	apposition	UNDETERMINED	0	0	5	5
H2256	H4467	apposition	UNDETERMINED	0	0	5	5
H2340	H0776	apposition	CONTRADICTED	0	4	1	5
H2340	H1706	apposition	UNDETERMINED	0	0	5	5
H2340	H2100	apposition	UNDETERMINED	0	0	5	5
H2340	H2461	apposition	UNDETERMINED	0	0	5	5
H2340	H3427	apposition	CONTRADICTED	0	3	2	5
H2377	H1121	apposition	UNDETERMINED	0	2	3	5
H2398	H1121	apposition	UNDETERMINED	0	1	4	5
H2398	H2233	apposition	UNDETERMINED	0	0	5	5
