# Directed Hebrew hierarchy (broader -> narrower), assembled from apposition
# direction (BHSA grammar) + distributional inclusion (held-out verified, see
# build_hierarchy_dag.py). First hierarchy this project has built -- everything
# before this was flat pairwise 'similar' edges. Text-anchored, no SDBH/MARBLE.
broader_strong	narrower_strong	sources
H2677	H7206	distributional:1.00
H2691	H6442	distributional:1.00
H2719	H1698	distributional:0.91
H2748	H0825	apposition:1
H2781	H4148	apposition:1
H2781	H4923	apposition:1
H2822	H0653	distributional:1.00
H2850	H1622	distributional:1.00
H2850	H1706	apposition:1
H2850	H2100	apposition:1
H2850	H2340	distributional:0.80
H2850	H2461	apposition:1
H2850	H6522	distributional:1.00
H2860	H3947	apposition:1
H2896	H1706	apposition:1
H2896	H2100	apposition:1
H2896	H2461	apposition:1
H2896	H5158	apposition:1
H2983	H1622	distributional:1.00
H2983	H6522	distributional:0.89
H3027	H0251	apposition:1
H3027	H0676	distributional:0.86
H3027	H1489	apposition:1
H3027	H3318	apposition:1
H3027	H5030	apposition:3
H3027	H5104	apposition:1
H3027	H5608	apposition:1
H3027	H5650	apposition:2
H3027	H7676	apposition:1
H3117	H1755	apposition:1
H3117	H5769	apposition:1
H3117	H6256	apposition:2
H3117	H6486	apposition:1
H3117	H7966	apposition:1
H3117	H8141	apposition:2
H3158	H3761	distributional:1.00
H3196	H2534	apposition:1
H3196	H6071	apposition:1
H3196	H7416	apposition:1
H3206	H8267	apposition:1
H3220	H2348	distributional:1.00
H3220	H3996	apposition:1
H3220	H4417	apposition:2
H3220	H5488	distributional:0.92
H3220	H8121	apposition:1
H3220	H8415	apposition:1
H3228	H0334	apposition:1
H3372	H1215	apposition:1
H3374	H4172	distributional:1.00
H3427	H3669	apposition:2
H3427	H6522	apposition:1
H3467	H0046	apposition:2
H3499	H7604	apposition:1
H3519	H1420	distributional:1.00
H3519	H1926	apposition:1
H3519	H6996	apposition:1
H3519	H7036	apposition:1
H3532	H3849	distributional:1.00
H3548	H0727	apposition:9
H3548	H1285	apposition:5
H3548	H1323	apposition:1
H3548	H3603	apposition:1
H3548	H4720	apposition:1
H3548	H5375	apposition:9
H3548	H5592	apposition:1
H3548	H5715	apposition:1
H3548	H7218	apposition:1
H3548	H7626	apposition:1
H3548	H7782	apposition:1
H3548	H8104	apposition:1
H3548	H8334	apposition:3
H3548	H8628	apposition:1
H3605	H0929	distributional:0.84
H3605	H1419	distributional:0.81
H3605	H2945	distributional:1.00
H3605	H3627	distributional:0.86
H3605	H4245	distributional:1.00
H3605	H4284	distributional:0.86
H3605	H4467	distributional:0.91
H3605	H4475	distributional:1.00
H3605	H4736	distributional:0.86
H3605	H4916	distributional:1.00
H3605	H5647	distributional:1.00
H3605	H6297	distributional:0.88
H3605	H6951	distributional:0.91
H3605	H6996	distributional:0.87
H3605	H7379	distributional:0.83
H3605	H7399	distributional:0.91
H3605	H7488	distributional:0.80
H3605	H7611	distributional:0.92
H3605	H8199	distributional:0.88
H3605	H8403	distributional:0.83
H3627	H7198	apposition:1
H3627	H8522	apposition:1
H3627	H8641	apposition:1
H3669	H1622	distributional:1.00
H3669	H1706	apposition:1
H3669	H2100	apposition:1
H3669	H2340	distributional:0.90
H3669	H2461	apposition:1
H3669	H6522	distributional:1.00
H3674	H0671	apposition:2
H3701	H2487	distributional:1.00
H3701	H8641	apposition:1
H3774	H6432	distributional:1.00
H3778	H4751	apposition:1
H3801	H6446	apposition:1|distributional:0.80
H3820	H0761	apposition:1
H3820	H5030	apposition:1
H3820	H8267	apposition:1
H3851	H2230	apposition:1
H3851	H5311	apposition:1
H3878	H0727	apposition:2
H3878	H1285	apposition:2
H3878	H4908	apposition:2
H3878	H4931	apposition:2
H3878	H5375	apposition:2
H3878	H5592	apposition:1
H3878	H7523	apposition:1
H3878	H7626	apposition:1
H3878	H7778	apposition:1
H3878	H8104	apposition:3
H3878	H8334	apposition:2
H3882	H1282	apposition:1
H3882	H6129	apposition:1
H3899	H2471	distributional:0.86
H3899	H4682	distributional:1.00
H3899	H6720	distributional:1.00
H3978	H0402	distributional:1.00
H4043	H6793	distributional:0.86
H4043	H7982	distributional:1.00
H4057	H2850	apposition:1
H4057	H4420	apposition:1
H4057	H6160	distributional:0.85
H4196	H4639	apposition:1
H4219	H3257	distributional:1.00
H4219	H4518	distributional:1.00
H4219	H7086	distributional:1.00
H4289	H3257	distributional:1.00
H4294	H4731	apposition:1
H4294	H5387	apposition:1
H4294	H8597	apposition:1
H4325	H0098	distributional:0.80
H4325	H5869	apposition:1
H4325	H7579	distributional:1.00
H4325	H8415	apposition:1
H4397	H3887	apposition:1
H4405	H7843	apposition:1
H4421	H1368	apposition:1
H4428	H0001	apposition:4
H4428	H0113	apposition:5
H4428	H0802	apposition:2
H4428	H1330	apposition:1
H4428	H1368	apposition:1
H4428	H2022	apposition:1
H4428	H2428	apposition:1
H4428	H3289	distributional:1.00
H4428	H3427	apposition:1
H4428	H3778	apposition:1
H4428	H4082	distributional:0.81
H4428	H4410	distributional:0.88
H4428	H4436	distributional:0.80
H4428	H4475	distributional:1.00
H4428	H5387	distributional:0.86
H4428	H5631	distributional:0.96
H4428	H5650	apposition:1
H4428	H6346	distributional:0.80
H4428	H6370	apposition:1
H4428	H6635	apposition:1
H4428	H8104	apposition:3
H4428	H8334	apposition:2
H4437	H1907	apposition:1
H4437	H5461	apposition:1
H4455	H0957	apposition:1
H4503	H1061	distributional:1.00
H4503	H5262	distributional:0.83
H4541	H5695	apposition:1
H4581	H4261	apposition:1
H4581	H4885	apposition:1
H4687	H2708	apposition:1
H4720	H1347	apposition:1
H4720	H4261	apposition:1
H4720	H4263	apposition:1
H4720	H4581	apposition:1
H4725	H2975	apposition:1
H4725	H4629	apposition:1
H4725	H7342	apposition:1
H4731	H5278	apposition:1
H4733	H4054	apposition:3
H4735	H1581	apposition:1
H4818	H7036	apposition:1
H4885	H5947	apposition:1
H4888	H4842	apposition:1
H4888	H7545	apposition:1
H4899	H5057	apposition:1
H4908	H5715	apposition:1
H4940	H3498	apposition:1
H4941	H2708	distributional:0.82
H4960	H8106	apposition:1
H5030	H2492	distributional:1.00
H5030	H8267	apposition:1
H5045	H8219	distributional:1.00
H5061	H5424	distributional:0.83
H5104	H2850	apposition:1
H5104	H2975	apposition:1
H5104	H7342	apposition:1
H5158	H8415	apposition:1
H5159	H1347	apposition:1
H5288	H3627	apposition:4
H5288	H3878	apposition:2
H5288	H5375	apposition:4
H5288	H7270	apposition:1
H5288	H8334	apposition:2
H5291	H1330	apposition:3
H5315	H1323	apposition:2
H5315	H1818	apposition:1
H5315	H6430	apposition:1
H5359	H7966	apposition:1
H5387	H0269	apposition:1
H5387	H7148	apposition:1
H5560	H7058	distributional:0.83
H5612	H1540	apposition:1
H5612	H2856	apposition:1
H5612	H4736	apposition:1
H5631	H0644	apposition:1
H5631	H6370	apposition:1
H5631	H8248	apposition:1
H5632	H1907	apposition:1
H5633	H0796	apposition:1
H5633	H0832	apposition:1
H5633	H1663	apposition:1
H5633	H5841	apposition:1
H5633	H6139	apposition:1
H5650	H0519	apposition:1
H5650	H0606	apposition:1
H5650	H2205	apposition:1
H5650	H3611	apposition:1
H5650	H5030	apposition:17
H5650	H5104	apposition:1
H5650	H5159	apposition:1
H5650	H5676	apposition:1
H5650	H6780	apposition:1
H5650	H7495	apposition:1
H5650	H7626	apposition:1
H5650	H8198	distributional:0.85
H5674	H3498	apposition:1
H5674	H7725	apposition:1
H5713	H4150	apposition:1
H5713	H4294	apposition:1
H5713	H5387	apposition:1
H5713	H7148	apposition:1
H5769	H8077	apposition:1
H5775	H7431	distributional:0.83
H5785	H8359	distributional:1.00
H5795	H6842	distributional:1.00
H5797	H4268	apposition:1
H5797	H4731	apposition:1
H5797	H8597	apposition:1
H5869	H5030	apposition:1
H5869	H6951	apposition:1
H5892	H1323	apposition:1
H5892	H2205	apposition:1
H5892	H2715	apposition:1
H5892	H4054	apposition:3
H5892	H4467	apposition:1
H5892	H4733	distributional:1.00
H5892	H4908	apposition:1
H5892	H5945	apposition:1
H5892	H5947	apposition:1
H5892	H6913	apposition:1
H5892	H6918	apposition:2
H5892	H7151	apposition:1
H5930	H1242	apposition:1
H5930	H6153	apposition:1
H5945	H7069	apposition:1
H5971	H0251	apposition:1
H5971	H0376	apposition:3
H5971	H0802	apposition:2
H5971	H0972	apposition:1
H5971	H1004	apposition:2
H5971	H1121	apposition:6
H5971	H1323	apposition:1
H5971	H1350	apposition:1
H5971	H1471	apposition:2
H5971	H1616	apposition:1
H5971	H1995	apposition:1
H5971	H2205	distributional:0.83
H5971	H2945	apposition:1
H5971	H3427	apposition:1
H5971	H4001	apposition:2
H5971	H4264	apposition:1
H5971	H6041	apposition:1
H5971	H6951	distributional:0.80
H5971	H6957	apposition:4
H5971	H7611	apposition:1|distributional:0.83
H5971	H7626	apposition:1
H6041	H1800	apposition:1
H6041	H6471	apposition:1
H6086	H1918	distributional:1.00
H6086	H3712	apposition:1
H6086	H5158	apposition:1
H6086	H5687	apposition:1|distributional:1.00
H6086	H6057	apposition:1
H6086	H6160	apposition:1
H6086	H7848	distributional:1.00
H6086	H8559	apposition:1
H6124	H5348	distributional:1.00
H6154	H8359	distributional:1.00
H6160	H4417	apposition:3
H6389	H2989	apposition:1
H6430	H0339	apposition:1
H6430	H0796	apposition:1
H6430	H0832	apposition:1
H6430	H1663	apposition:1|distributional:0.80
H6430	H5841	apposition:1
H6430	H6139	apposition:1
H6430	H6189	apposition:1
H6430	H7611	apposition:1
H6440	H0113	apposition:1
H6440	H0251	apposition:3
H6440	H0639	apposition:1
H6440	H1060	apposition:1
H6440	H1404	apposition:1
H6440	H2740	apposition:1
H6440	H3548	apposition:3
H6499	H3532	distributional:0.91
H6522	H1622	distributional:1.00
H6529	H3712	apposition:1
H6529	H5687	apposition:1
H6529	H6057	apposition:1
H6529	H6160	apposition:1
H6529	H8559	apposition:1
H6629	H3532	distributional:0.82
H6629	H4830	apposition:1
H6635	H0046	apposition:1
H6635	H1368	apposition:2
H6635	H1964	apposition:1
H6635	H4634	apposition:1
H6635	H8334	apposition:1
H6662	H8549	apposition:1
H6664	H4302	apposition:1
H6666	H6520	apposition:1
H6697	H4268	apposition:1
H6918	H1254	apposition:1
H6924	H1755	apposition:1
H6924	H5608	apposition:1
H6924	H5769	apposition:1
H6944	H1350	apposition:1
H6944	H4791	apposition:1
H6944	H4842	apposition:1
H6944	H7545	apposition:1
H6944	H7676	apposition:1
H6944	H7677	apposition:1
H6944	H8641	distributional:0.86
H6963	H8469	apposition:1
H6975	H8069	apposition:1
H7198	H1369	apposition:1
H7198	H7225	apposition:1
H7218	H1419	apposition:1
H7218	H2374	apposition:1
H7218	H5387	apposition:1
H7218	H8269	apposition:4
H7272	H1800	apposition:1
H7272	H1916	distributional:0.80
H7272	H6471	apposition:1
H7307	H4899	apposition:1
H7307	H6346	apposition:1
H7323	H0327	apposition:1
H7323	H7409	apposition:1
H7393	H1270	apposition:1
H7453	H5726	apposition:2
H7523	H5221	apposition:1
H7626	H1425	distributional:1.00
H7626	H2270	apposition:1
H7626	H7206	distributional:1.00
H7676	H4744	apposition:1
H7704	H8124	apposition:2
H7785	H2373	distributional:1.00
H7785	H8573	distributional:1.00
H7794	H6499	apposition:1
H7891	H6496	apposition:1
H7892	H4210	apposition:1
H8034	H0413	apposition:1
H8034	H4886	apposition:1
H8034	H5769	apposition:1
H8048	H6723	apposition:1
H8048	H8322	apposition:1
H8064	H0676	apposition:1
H8064	H3427	apposition:6
H8064	H4349	apposition:6
H8064	H4639	apposition:1
H8064	H7549	distributional:1.00
H8069	H7898	apposition:1
H8081	H4842	apposition:1
H8081	H4888	distributional:1.00
H8081	H4960	apposition:1
H8081	H5560	distributional:0.80
H8081	H5561	distributional:1.00
H8081	H7545	apposition:1
H8081	H8106	apposition:1
H8130	H1060	apposition:1
H8141	H4643	apposition:1
H8141	H8059	apposition:1|distributional:1.00
H8269	H2428	apposition:1
H8269	H3289	distributional:1.00
H8269	H5631	distributional:0.83
H8269	H6485	apposition:1|distributional:1.00
H8316	H3980	apposition:1
H8334	H6486	apposition:1
H8441	H8251	apposition:1
H8451	H1293	apposition:1
H8451	H7045	apposition:1
H8478	H1060	apposition:1
H8504	H0948	distributional:1.00
H8641	H8573	distributional:0.83
