# Edges enforce_acyclic() dropped (reversed/tied/unscored under the generality-
# ordering filter) -- direction shown is as originally proposed by apposition/
# distributional, NOT re-derived. Candidate pool for optional LLM adjudication,
# see adjudicate_direction_llm.py. Distinct from hierarchy_dag_flagged.tsv (edges
# that DID survive assembly but direction_yardstick.py's held-out check
# CONTRADICTED).
broader_strong	narrower_strong	sources
H2340	H3427	apposition:1
H2377	H1121	apposition:1
H2398	H1121	apposition:1
H2398	H2233	apposition:1
H2398	H3515	apposition:1
H2398	H5771	apposition:1
H2398	H5971	apposition:1
H2398	H7489	apposition:1
H2406	H0776	apposition:1
H2406	H1706	apposition:1
H2406	H2132	apposition:1
H2406	H8081	apposition:1
H2416	H0001	apposition:1
H2416	H3605	apposition:3
H2428	H0376	apposition:1
H2428	H3605	apposition:1
H2428	H4428	apposition:1
H2428	H8269	apposition:3
H2445	H0825	apposition:1
H2472	H3915	apposition:2
H2532	H5159	apposition:1
H2532	H6643	apposition:1
H2534	H0430	apposition:1
H2593	H1004	apposition:1
H2593	H3211	apposition:1
H2625	H1419	apposition:1
H2625	H2428	apposition:1
H2719	H0376	apposition:1
H2719	H1121	apposition:1
H2719	H6430	apposition:1
H2752	H1121	apposition:1
H2850	H0776	apposition:1
H2859	H0001	apposition:2
H2859	H5291	apposition:2
H2860	H1323	apposition:1
H2896	H0776	apposition:2
H2896	H4325	apposition:1
H2896	H8064	apposition:1
H2898	H1964	apposition:1
H2898	H6918	apposition:1
H2945	H3605	apposition:1
H2945	H7998	apposition:1
H2983	H0776	apposition:2
H2983	H1706	apposition:1
H2983	H2100	apposition:1
H2983	H2461	apposition:1
H2983	H3427	apposition:2
H3018	H1121	apposition:1
H3018	H1241	apposition:1
H3018	H1323	apposition:1
H3018	H6629	apposition:1
H3027	H0001	apposition:1
H3027	H0430	apposition:2
H3027	H1121	apposition:3
H3027	H3605	apposition:1
H3027	H4428	apposition:3
H3064	H5971	apposition:1
H3117	H1121	apposition:1
H3117	H2416	apposition:1
H3117	H3548	apposition:1
H3117	H4428	apposition:5
H3173	H4553	apposition:1
H3206	H2233	apposition:1
H3206	H3027	apposition:1
H3206	H4639	apposition:1
H3218	H1419	apposition:1
H3218	H2428	apposition:1
H3220	H4325	apposition:1
H3220	H7227	apposition:1
H3228	H0376	apposition:1
H3228	H3027	apposition:1
H3228	H3225	apposition:1
H3289	H0001	apposition:1
H3289	H0413	apposition:1
H3289	H1368	apposition:1
H3289	H5704	apposition:1
H3289	H7965	apposition:1
H3289	H8269	apposition:1
H3372	H0376	apposition:1
H3372	H0571	apposition:1
H3372	H8130	apposition:1
H3394	H3605	apposition:1
H3394	H6635	apposition:1
H3394	H8064	apposition:1
H3427	H8064	apposition:2
H3476	H0571	apposition:1
H3476	H1697	apposition:1
H3519	H0113	apposition:1
H3519	H0430	apposition:1
H3519	H1004	apposition:1
H3519	H3605	apposition:1
H3519	H3627	apposition:1
H3532	H1121	apposition:3
H3532	H8141	apposition:3
H3548	H0376	apposition:1
H3548	H0802	apposition:1
H3548	H1121	apposition:10
H3548	H3605	apposition:1
H3556	H3605	apposition:1
H3556	H6635	apposition:1
H3556	H8064	apposition:1
H3563	H2534	apposition:1
H3610	H8162	apposition:1
H3618	H0802	apposition:1
H3627	H0376	apposition:1
H3627	H0430	apposition:2
H3627	H1004	apposition:1
H3669	H0776	apposition:3
H3669	H3427	apposition:2
H3669	H4428	apposition:2
H3701	H0430	apposition:1
H3701	H1004	apposition:1
H3778	H1471	apposition:1
H3824	H0001	apposition:1
H3851	H0068	apposition:1
H3851	H1259	apposition:1
H3871	H1285	apposition:2
H3878	H0376	apposition:1
H3878	H0802	apposition:2
H3878	H1004	apposition:1
H3878	H1121	apposition:3
H3878	H1323	apposition:1
H3878	H3548	apposition:1
H3878	H3605	apposition:1
H3882	H5175	apposition:2
H3914	H4174	apposition:1
H3914	H4639	apposition:1
H3974	H1419	apposition:1
H4033	H0776	apposition:2
H4033	H3605	apposition:1
H4057	H0776	apposition:2
H4057	H3605	apposition:1
H4093	H0376	apposition:1
H4150	H0376	apposition:1
H4150	H8034	apposition:1
H4194	H1121	apposition:1
H4194	H5650	apposition:1
H4196	H0430	apposition:3
H4196	H3027	apposition:1
H4210	H7892	apposition:2
H4268	H0430	apposition:1
H4275	H2506	apposition:1
H4283	H3117	apposition:1
H4294	H0001	apposition:2
H4294	H1121	apposition:1
H4294	H7626	apposition:1
H4334	H4467	apposition:1
H4334	H5892	apposition:1
H4407	H5892	apposition:1
H4421	H2428	apposition:1
H4428	H1121	apposition:1
H4437	H4428	apposition:1
H4437	H6346	apposition:1
H4438	H4428	apposition:2
H4455	H3499	apposition:1
H4581	H5869	apposition:1
H4581	H8597	apposition:1
H4583	H8064	apposition:2
H4682	H3899	apposition:1
H4682	H6040	apposition:1
H4687	H0113	apposition:1
H4687	H0430	apposition:2
H4687	H1121	apposition:1
H4720	H0430	apposition:1
H4720	H5315	apposition:1
H4720	H5797	apposition:1
H4720	H5869	apposition:1
H4725	H0776	apposition:1
H4725	H2022	apposition:1
H4725	H3027	apposition:1
H4725	H8064	apposition:2
H4735	H0120	apposition:1
H4735	H2543	apposition:1
H4735	H5315	apposition:1
H4735	H6629	apposition:1
H4756	H4428	apposition:1
H4794	H1121	apposition:1
H4818	H0113	apposition:1
H4818	H1004	apposition:1
H4854	H1121	apposition:1
H4854	H1323	apposition:1
H4864	H0430	apposition:1
H4864	H5650	apposition:1
H4885	H7151	apposition:1
H4899	H2233	apposition:2
H4908	H0168	apposition:1
H4908	H3605	apposition:1
H4908	H3627	apposition:1
H4931	H0430	apposition:1
H4940	H1121	apposition:7
H4940	H3878	apposition:1
H5002	H0430	apposition:1
H5002	H6635	apposition:1
H5016	H5030	apposition:1
H5030	H3820	apposition:1
H5031	H0802	apposition:1
H5104	H0776	apposition:1
H5104	H3027	apposition:1
H5104	H3605	apposition:1
H5158	H5869	apposition:1
H5159	H0251	apposition:1
H5159	H2022	apposition:1
H5257	H0776	apposition:1
H5257	H3427	apposition:1
H5278	H0430	apposition:1
H5288	H0376	apposition:1
H5288	H0430	apposition:1
H5288	H1004	apposition:1
H5288	H1121	apposition:1
H5288	H4428	apposition:1
H5288	H5030	apposition:1
H5288	H5650	apposition:1
H5315	H1121	apposition:1
H5359	H8141	apposition:1
H5360	H1964	apposition:1
H5387	H0001	apposition:3
H5387	H1004	apposition:1
H5387	H1121	apposition:6
H5387	H4150	apposition:1
H5387	H7218	apposition:4
H5411	H0802	apposition:1
H5411	H1121	apposition:1
H5411	H1323	apposition:1
H5439	H1323	apposition:1
H5439	H6430	apposition:1
H5483	H5971	apposition:1
H5566	H2145	apposition:1
H5566	H5347	apposition:1
H5566	H8403	apposition:1
H5608	H6635	apposition:1
H5608	H8269	apposition:1
H5612	H0430	apposition:1
H5612	H8451	apposition:1
H5631	H0802	apposition:2
H5631	H8104	apposition:3
H5631	H8269	apposition:2
H5632	H5461	apposition:1
H5632	H6346	apposition:1
H5650	H0001	apposition:5
H5650	H0376	apposition:1
H5650	H1004	apposition:1
H5650	H1121	apposition:1
H5650	H4428	apposition:1
H5668	H0269	apposition:1
H5668	H5650	apposition:1
H5674	H4421	apposition:1
H5676	H4217	apposition:1
H5676	H8121	apposition:1
H5680	H5650	apposition:1
H5695	H1121	apposition:1
H5695	H4541	apposition:2
H5695	H8141	apposition:1
H5713	H0001	apposition:1
H5739	H1004	apposition:1
H5739	H1471	apposition:1
H5739	H2416	apposition:1
H5739	H3605	apposition:1
H5869	H0430	apposition:1
H5869	H1121	apposition:2
H5892	H0001	apposition:2
H5892	H0376	apposition:1
H5892	H0430	apposition:1
H5892	H1004	apposition:1
H5892	H3605	apposition:1
H5895	H1121	apposition:1
H5930	H1320	apposition:1
H5930	H1818	apposition:1
H5945	H0776	apposition:1
H5945	H8064	apposition:1
H5971	H3605	apposition:5
H6038	H3374	apposition:1
H6160	H3220	apposition:3
H6231	H1323	apposition:1
H6231	H1330	apposition:1
H6363	H1060	apposition:1
H6363	H3605	apposition:1
H6382	H0001	apposition:1
H6382	H0413	apposition:1
H6382	H1368	apposition:1
H6382	H5704	apposition:1
