# BHSA clause-level dependency (candidate #6, never built before 2026-08-15): dependent_ref depends on mother_ref via `rela`. Discourse structure, not a word-pair signal -- see build_hierarchy_relations.py.
dependent_ref	mother_ref	rela
Genesis 11:6	Genesis 11:6	Adju
Genesis 11:7	Genesis 11:7	Adju
Genesis 11:7	Genesis 11:7	Adju
Genesis 11:8	Genesis 11:8	Adju
Genesis 11:11	Genesis 11:11	Adju
Genesis 11:13	Genesis 11:13	Adju
Genesis 11:15	Genesis 11:15	Adju
Genesis 11:17	Genesis 11:17	Adju
Genesis 11:19	Genesis 11:19	Adju
Genesis 11:21	Genesis 11:21	Adju
Genesis 11:23	Genesis 11:23	Adju
Genesis 11:25	Genesis 11:25	Adju
Genesis 11:31	Genesis 11:31	Adju
Genesis 12:1	Genesis 12:1	Attr
Genesis 12:4	Genesis 12:4	Adju
Genesis 12:4	Genesis 12:4	Adju
Genesis 12:5	Genesis 12:5	Attr
Genesis 12:5	Genesis 12:5	Attr
Genesis 12:5	Genesis 12:5	Adju
Genesis 12:7	Genesis 12:7	Attr
Genesis 12:10	Genesis 12:10	Adju
Genesis 12:11	Genesis 12:11	Adju
Genesis 12:11	Genesis 12:11	Adju
Genesis 12:11	Genesis 12:11	Objc
Genesis 12:12	Genesis 12:12	Adju
Genesis 12:13	Genesis 12:13	Objc
Genesis 12:14	Genesis 12:14	Adju
Genesis 12:14	Genesis 12:14	Objc
Genesis 12:18	Genesis 12:18	Objc
Genesis 12:20	Genesis 12:20	RgRc
Genesis 13:1	Genesis 13:1	RgRc
Genesis 13:3	Genesis 13:3	Attr
Genesis 13:3	Genesis 13:3	Attr
Genesis 13:4	Genesis 13:4	Attr
Genesis 13:5	Genesis 13:5	Attr
Genesis 13:6	Genesis 13:6	Adju
Genesis 13:6	Genesis 13:6	Cmpl
Genesis 13:10	Genesis 13:10	Objc
Genesis 13:10	Genesis 13:10	Adju
Genesis 13:10	Genesis 13:10	Adju
Genesis 13:11	Genesis 13:11	Adju
Genesis 13:14	Genesis 13:14	Adju
Genesis 13:14	Genesis 13:14	Attr
Genesis 13:15	Genesis 13:15	Attr
Genesis 13:15	Genesis 13:15	Resu
Genesis 13:16	Genesis 13:16	Attr
Genesis 13:16	Genesis 13:16	Adju
Genesis 13:16	Genesis 13:16	Cmpl
Genesis 13:18	Genesis 13:18	Attr
Genesis 14:5	Genesis 14:5	Attr
Genesis 14:6	Genesis 14:6	Attr
Genesis 14:7	Genesis 14:7	Attr
Genesis 14:14	Genesis 14:14	Objc
Genesis 14:15	Genesis 14:15	Attr
Genesis 14:17	Genesis 14:17	Adju
Genesis 14:17	Genesis 14:17	Adju
Genesis 14:17	Genesis 14:17	Adju
Genesis 14:17	Genesis 14:17	Attr
Genesis 14:20	Genesis 14:20	Attr
Genesis 14:23	Genesis 14:23	RgRc
Genesis 14:24	Genesis 14:24	Objc
Genesis 14:24	Genesis 14:24	Coor
Genesis 14:24	Genesis 14:24	Attr
Genesis 15:1	Genesis 15:1	Adju
Genesis 15:1	Genesis 15:1	Coor
Genesis 15:2	Genesis 15:2	ReVo
Genesis 15:2	Genesis 15:2	Coor
Genesis 15:2	Genesis 15:2	Resu
Genesis 15:4	Genesis 15:4	Adju
Genesis 15:4	Genesis 15:4	Subj
Genesis 15:4	Genesis 15:4	Resu
Genesis 15:5	Genesis 15:5	Cmpl
Genesis 15:7	Genesis 15:7	Attr
Genesis 15:7	Genesis 15:7	Adju
Genesis 15:7	Genesis 15:7	Adju
Genesis 15:8	Genesis 15:8	Objc
Genesis 15:10	Genesis 15:10	Cmpl
Genesis 15:12	Genesis 15:12	Adju
Genesis 15:13	Genesis 15:13	Objc
Genesis 15:13	Genesis 15:13	Attr
Genesis 15:13	Genesis 15:13	Coor
Genesis 15:14	Genesis 15:14	Attr
Genesis 15:17	Genesis 15:17	Attr
Genesis 15:18	Genesis 15:18	Adju
Genesis 16:2	Genesis 16:2	Adju
Genesis 16:3	Genesis 16:3	Adju
Genesis 16:4	Genesis 16:4	Objc
Genesis 16:5	Genesis 16:5	Objc
Genesis 16:6	Genesis 16:6	Objc
Genesis 16:8	Genesis 16:8	ReVo
Genesis 16:8	Genesis 16:8	Coor
Genesis 16:13	Genesis 16:13	Attr
Genesis 16:13	Genesis 16:13	Cmpl
Genesis 16:15	Genesis 16:15	Attr
Genesis 16:16	Genesis 16:16	Adju
Genesis 17:3	Genesis 17:3	Adju
Genesis 17:4	Genesis 17:4	Resu
Genesis 17:4	Genesis 17:4	Coor
Genesis 17:7	Genesis 17:7	Adju
Genesis 17:10	Genesis 17:10	Attr
Genesis 17:12	Genesis 17:12	Attr
Genesis 17:14	Genesis 17:14	Attr
Genesis 17:14	Genesis 17:14	Resu
Genesis 17:15	Genesis 17:15	Resu
Genesis 17:15	Genesis 17:15	Coor
Genesis 17:17	Genesis 17:17	Resu
Genesis 17:21	Genesis 17:21	Attr
Genesis 17:22	Genesis 17:22	Adju
Genesis 17:23	Genesis 17:23	Adju
Genesis 17:24	Genesis 17:24	Adju
Genesis 17:25	Genesis 17:25	Adju
Genesis 18:1	Genesis 18:1	Adju
Genesis 18:2	Genesis 18:2	Adju
Genesis 18:5	Genesis 18:5	Adju
Genesis 18:7	Genesis 18:7	Adju
Genesis 18:8	Genesis 18:8	Attr
Genesis 18:11	Genesis 18:11	Coor
Genesis 18:11	Genesis 18:11	Adju
Genesis 18:12	Genesis 18:12	Adju
Genesis 18:12	Genesis 18:12	Adju
Genesis 18:13	Genesis 18:13	Adju
Genesis 18:15	Genesis 18:15	Adju
Genesis 18:16	Genesis 18:16	Adju
Genesis 18:17	Genesis 18:17	Objc
Genesis 18:19	Genesis 18:19	Adju
Genesis 18:19	Genesis 18:19	Coor
Genesis 18:19	Genesis 18:19	Adju
Genesis 18:19	Genesis 18:19	Coor
Genesis 18:19	Genesis 18:19	Objc
Genesis 18:20	Genesis 18:20	Resu
Genesis 18:20	Genesis 18:20	Resu
Genesis 18:21	Genesis 18:21	Objc
Genesis 18:21	Genesis 18:21	Attr
Genesis 18:22	Genesis 18:22	Resu
Genesis 18:24	Genesis 18:24	Attr
Genesis 18:25	Genesis 18:25	Cmpl
Genesis 18:25	Genesis 18:25	Adju
Genesis 18:25	Genesis 18:25	Coor
Genesis 18:27	Genesis 18:27	Adju
Genesis 18:29	Genesis 18:29	Adju
Genesis 18:31	Genesis 18:31	Adju
Genesis 18:33	Genesis 18:33	Adju
Genesis 18:33	Genesis 18:33	Adju
Genesis 19:1	Genesis 19:1	Adju
Genesis 19:1	Genesis 19:1	Adju
Genesis 19:5	Genesis 19:5	Attr
Genesis 19:8	Genesis 19:8	Attr
Genesis 19:9	Genesis 19:9	Adju
Genesis 19:9	Genesis 19:9	Adju
Genesis 19:11	Genesis 19:11	Attr
Genesis 19:11	Genesis 19:11	Adju
Genesis 19:12	Genesis 19:12	RgRc
Genesis 19:13	Genesis 19:13	Adju
Genesis 19:15	Genesis 19:15	Adju
Genesis 19:15	Genesis 19:15	Attr
Genesis 19:17	Genesis 19:17	Adju
Genesis 19:19	Genesis 19:19	Attr
Genesis 19:19	Genesis 19:19	Adju
Genesis 19:19	Genesis 19:19	Cmpl
Genesis 19:20	Genesis 19:20	Adju
Genesis 19:21	Genesis 19:21	Adju
Genesis 19:21	Genesis 19:21	Attr
Genesis 19:22	Genesis 19:22	Cmpl
Genesis 19:22	Genesis 19:22	Adju
Genesis 19:27	Genesis 19:27	Attr
Genesis 19:29	Genesis 19:29	Adju
Genesis 19:29	Genesis 19:29	Adju
Genesis 19:29	Genesis 19:29	Attr
Genesis 19:30	Genesis 19:30	Adju
Genesis 19:31	Genesis 19:31	Adju
Genesis 19:33	Genesis 19:33	Adju
Genesis 19:33	Genesis 19:33	Coor
Genesis 19:35	Genesis 19:35	Adju
Genesis 19:35	Genesis 19:35	Coor
Genesis 20:3	Genesis 20:3	Attr
Genesis 20:3	Genesis 20:3	Coor
Genesis 20:6	Genesis 20:6	Objc
Genesis 20:6	Genesis 20:6	Adju
Genesis 20:6	Genesis 20:6	Adju
Genesis 20:7	Genesis 20:7	Objc
Genesis 20:7	Genesis 20:7	RgRc
Genesis 20:9	Genesis 20:9	Attr
Genesis 20:10	Genesis 20:10	Objc
Genesis 20:13	Genesis 20:13	Adju
Genesis 20:13	Genesis 20:13	Attr
Genesis 20:13	Genesis 20:13	Attr
Genesis 20:16	Genesis 20:16	RgRc
Genesis 21:1	Genesis 21:1	Adju
Genesis 21:1	Genesis 21:1	Adju
Genesis 21:2	Genesis 21:2	Attr
Genesis 21:3	Genesis 21:3	Attr
Genesis 21:3	Genesis 21:3	Attr
Genesis 21:4	Genesis 21:4	Adju
Genesis 21:5	Genesis 21:5	Adju
Genesis 21:6	Genesis 21:6	RgRc
Genesis 21:8	Genesis 21:8	RgRc
