# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H3878	H0376	1
H3878	H7523	1
H4725	H4629	1
H1121	H0673	1
H5002	H0430	1
H3618	H0802	1
H6635	H4634	1
H2416	H4940	1
H2416	H0001	1
H2719	H6430	1
H1004	H3548	1
H0001	H3548	1
H5650	H4428	1
H0341	H4428	1
H2205	H7453	1
H1121	H1323	1
H1004	H0001	1
H8147	H1416	1
H0376	H1416	1
H1121	H0341	1
H1121	H0886	1
H3605	H1995	1
H5971	H1995	1
H4428	H5650	1
H0802	H2850	1
H5668	H0269	1
H4428	H1330	1
H5288	H1121	1
H5288	H4428	1
H4794	H1121	1
H1389	H0972	1
H1121	H4259	1
H1121	H0266	1
H1121	H2043	1
H1121	H4602	1
H1121	H1526	1
H0251	H4428	1
H3605	H5650	1
H0376	H5650	1
H4931	H0430	1
H1121	H2416	1
H3914	H4639	1
H3914	H4174	1
H2091	H5458	1
H2205	H3605	1
H2205	H7218	1
H2205	H4294	1
H3605	H5387	1
H3605	H0001	1
H7218	H5387	1
H7218	H0001	1
H4294	H5387	1
H4687	H2708	1
H1004	H4428	1
H0802	H8283	1
H0310	H6722	1
H0310	H8251	1
H0310	H5984	1
H0802	H0269	1
H0269	H1377	1
H3824	H0001	1
H1323	H6722	1
H0802	H1173	1
H0802	H1004	1
H8147	H1121	1
H8147	H1100	1
H0376	H2715	1
H5892	H2205	1
H5892	H2715	1
H5650	H0376	1
H0113	H0376	1
H0113	H0430	1
H5288	H0376	1
H5288	H0430	1
H5650	H3611	1
H5288	H5030	1
H0310	H0001	1
H8147	H3605	1
H8147	H3318	1
H8147	H7676	1
H3027	H3605	1
H3027	H3318	1
H3027	H7676	1
H3548	H8104	1
H3548	H5592	1
H4428	H1121	1
H4194	H1121	1
H4541	H8147	1
H4541	H5695	1
H1697	H4428	1
H1004	H1588	1
H5031	H0802	1
H0802	H1121	1
H5608	H8269	1
H5608	H6635	1
H2377	H1121	1
H1471	H5971	1
H1471	H3515	1
H1471	H5771	1
H2398	H5971	1
H2398	H3515	1
H2398	H5771	1
H1471	H2233	1
H1471	H7489	1
H2398	H2233	1
H2398	H7489	1
H1471	H1121	1
H1471	H7843	1
H2398	H1121	1
H2398	H7843	1
H6635	H0046	1
H2022	H1004	1
H2022	H0430	1
H4428	H6635	1
H8316	H3980	1
H8316	H0784	1
H6382	H0413	1
H6382	H1368	1
H3289	H0413	1
H3289	H1368	1
H6382	H0001	1
H6382	H5704	1
H3289	H0001	1
H3289	H5704	1
H6382	H8269	1
H6382	H7965	1
H3289	H8269	1
H3289	H7965	1
H2022	H1389	1
H1323	H1389	1
H1347	H1998	1
H1966	H1121	1
H1966	H7837	1
H4196	H4639	1
H4196	H3027	1
H4725	H2022	1
H8034	H2022	1
H6635	H2022	1
H5892	H7151	1
H5892	H5947	1
H1993	H7151	1
H1993	H5947	1
H4818	H7036	1
H4818	H1004	1
H4818	H0113	1
H3519	H7036	1
H3519	H1004	1
H3519	H0113	1
H3605	H3627	1
H3605	H6996	1
H3519	H3605	1
H3519	H3627	1
H3519	H6996	1
H1004	H3627	1
H1004	H6996	1
H0001	H3605	1
