# source=UBS MARBLE SDBG (Louw-Nida) domain-name mapping; license=CC-BY-SA (UBS open-license); reference-only
code	label
078004	Completamente, Suficiente [Grado Completivo]
078005	Hasta, Tanto como, En la medida que [Marca extendida de grado]
079001	Físico [Material], Espiritual
079002	Natural [Humano], Espiritual
079003	Sólido, Líquido
079004	Hermoso, Feo
079005	Glorioso
079006	Transparente
079007	Color
079008	Dulce, Amargo, Insípido
079009	Fragancia, Olor
079010	Limpio, Sucio
079011	Salpicado, Sin Salpicaduras
079012	Manchado, Sin manchas
079013	Fuerte, Débil
079014	Caliente, Tibio, Frío
079015	Húmedo, seco
079016	Desigual [áspero], nivelado [liso]
079017	Recto, Torcido
079018	Formas bidimensionales y tridimensionales
079019	Afilado
079020	Puro, sin adulterar, sin diluir
079021	Suave, tierno
079022	Masculino, Femenino
079023	Formas
079024	Abierto, cerrado
079025	Cubierto
079026	Envuelto
079027	Enrollado
079028	Grande, pequeño
079029	Perfecto
080001	Espacio, Lugar
080002	Límites, fronteras espaciales
081001	Medida, Medir
081002	Alto, Bajo, Profundo
081003	Largo, corto, lejano
081004	Estrecho, ancho
081005	Medidas específicas de volumen
081006	Medidas específicas de longitud
082001	Norte, Sur, Este, Oeste
082002	Izquierda, Derecha, Adelante, Opuesto
083001	Aquí, Ahí
083002	Dónde, en algún lugar, en todas partes
083003	En medio, Entre, En, Dentro
083004	Alrededor, Sobre, Fuera
083005	En, Al lado, Cerca, Lejos
083006	Delante de, Frente a frente, Detrás de, Detrás de
083007	Opuesto a, Enfrente de, Al cruzar de, a cierta distancia de
083008	En, Sobre, En la superficie de
083009	Encima, Debajo
083010	Más allá, al otro lado de
084001	Extensión de una Fuente
084002	Extensión hacia una meta
084003	Extensión a lo largo de un camino
085001	Estar en un lugar
085002	Poner, colocar
085003	Permanecer, Quedarse
085004	Dejar en un lugar
085005	Habitar, Residir
086001	Pesado, Ligero
086002	Libra, Talento [Unidades específicas de peso]
087	Estatus
087001	Posición, Rango
087002	Honor o respeto en relación con el estatus
087003	De alto rango o estatus [incluye a las personas de alto estatus]
087004	De bajo rango o estatus [incluye a las personas de bajo estatus]
087005	Esclavo, libre
088001	Bondad
088002	Justo, Recto
088003	Santo, Puro
088004	Perfecto, Perfección
088005	Honestidad, Sinceridad
088006	Modestia, Ser Correcto
088007	Humildad
088008	Gentileza, Suavidad
088009	Bondad, Dureza
088010	Misericordia, Despiadado
088011	Dominio Propio, Falta de Dominio Propio
088012	Comportamiento Sensible, Comportamiento Insensible
088013	Comportamiento Maduro
088014	Comportamiento pacífico
088015	Malo, Malvado, Dañino, Perjudicial
088016	Tratar mal
088017	Actuar con dureza
088018	Actuar Ilegalmente
088019	Explotar
088020	Actuar con vergüenza
088021	Desviar, extraviar, engañar
088022	Envidia, celos
088023	Resentido, guardar rencor
088024	Resentido, estar indignado con
088025	Despreciar, Desdeñar, Menospreciar
088026	Odiar, Tener Odio
088027	Arrogancia, Altanería, Orgullo
088028	Obstinación
088029	Hipocresía, Pretensión
088030	Mostrar favoritismo, prejuicio
088031	Ser un entrometido
088032	Pereza, Ociosidad
088033	Vida extravagante, Vida destemplada
088034	Impureza
088035	Libertinaje, Perversión
088036	Mala conducta sexual
088037	Embriaguez
088038	Pecado, maldad, culpa
089003	Origen
089004	Especificación
089005	Relaciones que implican correspondencias [Isomorfismos]
089006	Base
089007	Causa y/o Razón
089008	Resultado
089009	Propósito
089010	Condición
089011	Concesión
089012	Medios
089013	Circunstancias concurrentes
089014	Manera
089015	Suma secuencial
089016	Distribución
089017	Suma
089018	Vinculación
089019	Equivalencia
089020	Asociación
089021	Disociación
089022	Relación combinada
089023	Contraste
089024	Relación alternativa
089025	Sustancia
090001	Agente, personal o no personal, causal o inmediato, directo o indirecto
090002	Instrumento
090003	Origen de un evento o actividad
090004	Responsabilidad
090005	Punto de vista Participante
090006	Contenido
090007	Garante como Participante con Juramento
090008	Oposición
090009	Beneficio
090010	Participante de Razón
090011	Agente de un suceso numerable
090012	Agente en un papel causativo marcado por verbos
090013	El que experimenta
090014	Provocar la experiencia
091001	Marcadores de transición
091002	Marcadores de énfasis
091003	Marcadores de atención
091004	Marcador de dirección directa
091005	Marcadores de cláusulas identificativas y explicativas [epexegéticas].
092001	Hablante
092002	El hablante y los asociados al hablante [exclusivo e inclusivo]
092003	Receptor, receptores
092004	De quién o qué se habla o escribe
092005	Referencia recíproca
092006	Referencia relativa
092007	Referencia demostrativa o deíctica
092008	Adjunto enfático
093001	Personas
093002	Lugares
