strong	gloss	translit
H394	cruel	akh.za.ri
H395	cruel	akh.ze.riy.yut
H396	food	a.khi.lah
H397	Achish	a.khish
H398	eat	a.khal
H399	devour	a.khal
H400	food	o.khel
H401	`worn out`	u.khal
H402	food	okh.lah
H403	surely	a.khen
H404	crave	a.khaph
H405	burden	e.kheph
H406	farmer	ik.kar
H407	Achshaph	akh.shaph
H408	not	al
H409	not	al
H410	God	el
H411	these	el
H412	these	el
H413	to(wards)	el
H414	Ela	e.la
H415	El-Elohe-Israel	el e.lo.he yis.ra.el
H416	El-bethel	el bet-el
H417	hail	el.ga.vish
H418	algum	al.gum.mim
H419	Eldad	el.dad
H420	Eldaah	el.da.ah
H421	wail	a.lah
H422	swear	a.lah
H423	oath	a.lah
H424	oak	e.lah
H425	Elah	e.lah
H426	god	e.lah
H427	oak	al.lah
H428	these	el.leh
H429	these	el.leh
H430	God	e.lo.him
H431	behold	a.lu
H432	except	il.lu
H433	god	e.lo.ah
H434	worthless	e.lul
H435	Elul	e.lul
H436	Oak	e.lon
H437	oak	al.lon
H438	oak	al.lon
H439	Allon-bacuth	al.lon ba.khut
H440	Elonite	e.lo.ni
H441	tame	al.luph
H442	Alush	a.lush
H443	Elzabad	el.za.vad
H444	corrupt	a.lach
H445	Elhanan	el.cha.nan
H446	Eliab	e.li.av
H447	Eliel	e.li.el
H448	Eliathah	e.li.a.tah
H449	Elidad	e.li.dad
H450	Eliada	el.ya.da
H451	fat tail	al.yah
H452	Elijah	e.liy.yah
H453	Elihu	e.li.hu
H454	Eliehoenai	el.ye.ho.e.nay
H455	Eliahba	el.yach.ba
H456	Elihoreph	e.li.cho.reph
H457	idol	e.lil
H458	Elimelech	e.li.me.lekh
H459	these	il.len
H460	Eliasaph	el.ya.saph
H461	Eliezer	e.li.e.zer
H462	Elienai	e.li.e.nay
H463	Eliam	e.li.am
H464	Eliphaz	e.li.phaz
H465	Eliphal	e.li.phal
H466	Eliphelehu	e.liph.le.hu
H467	Eliphelet	e.li.phe.let
H468	Elizur	e.li.tsur
H469	Elizaphan	e.li.tsa.phan
H470	Elika	e.li.qa
H471	Eliakim	el.ya.qim
H472	Elisheba	e.li.she.va
H473	Elishah	e.li.shah
H474	Elishua	e.li.shu.a
H475	Eliashib	el.ya.shiv
H476	Elishama	e.li.sha.ma
H477	Elisha	e.li.sah
H478	Elishaphat	e.li.sha.phat
H479	these	il.lekh
H480	woe!	al.lay
H481	be dumb	a.lam
H482	silence	e.lem
H483	mute	il.lem
H484	almug	al.mug.gim
H485	sheaf	a.lum.mah
H486	Almodad	al.mo.dad
H487	Allammelech	al.lam.me.lekh
H488	forsaken	al.man
H489	widower	al.mon
H490	widow	al.ma.nah
H491	widowhood	al.ma.nut
H492	someone	al.mo.ni
H493	Elnaam	el.na.am
H494	Elnathan	el.na.tan
H495	Ellasar	el.la.sar
H496	Elead	el.ad
H497	Eleadah	el.a.dah
H498	Eluzai	el.u.zay
H499	Eleazar	el.a.zar
H500	Elealeh	el.a.le
H501	Eleasah	el.a.sah
H502	teach	a.laph
H503	produce thousands	a.laph
H504	cattle	e.leph
H505	thousand	e.leph
H506	thousand	a.laph
H507	Haeleph	e.leph
H508	Elpaal	el.pa.al
H509	urge	a.lats
H510	army	al.qum
H511	Elkanah	el.qa.nah
H512	Elkoshite	el.qo.shi
H513	Eltolad	el.to.lad
H514	Eltekeh	el.te.qe
H515	Eltekon	el.te.qon
H516	Do Not Destroy	al tash.chet
H517	mother	em
H518	if	im
H519	maidservant	a.mah
H520	cubit	am.mah
H521	cubit	am.mah
H522	Ammah	am.mah
H523	people	um.mah
H524	people	um.mah
H525	artisan	a.mon
H526	Amon	a.mon
H527	multitude	a.mon
H528	Amon	a.mon
H529	faithful	e.mun
H530	faithfulness	e.mu.nah
H531	Amoz	a.mots
H532	Ami	a.mi
H533	strong	am.mits
H534	top	a.mir
H535	weaken	a.mal
H536	weak	um.lal
H537	weak	a.me.lal
H538	Amam	a.mam
H539	be faithful	a.man
H540	trust	a.man
H541	turn right	a.man
H542	artisan	a.man
H543	amen	a.men
