strong	gloss	translit
G101	be impossible	adunateō
G102	unable	adunatos
G103	sing	adō
G104	always	aei
G105	eagle	aetos
G106	unleavened	azumos
G107	Azor	Azōr
G108	Azotus	Azōtos
G109	air	aēr
G110	immortality	athanasia
G111	unlawful	athemitos
G112	without God	atheos
G113	lawless	athesmos
G114	reject	atheteō
G115	nullification	athetēsis
G116	Athens	Athēnai
G117	Athenian	Athēnaios
G118	compete	athleō
G119	struggle	athlēsis
G120	be discouraged	athumeō
G121	innocent	athōos
G122	goat's	aigeios
G123	shore	aigialos
G124	Egyptian	Aiguptios
G125	Egypt	Aiguptos
G126	eternal	aidios
G127	modesty	aidōs
G128	Ethiopian	Aithiops
G129	blood	ahima
G130	bloodshed	ahimatekchusia
G131	bleed	ahimorroeō
G132	Aeneas	Aineas
G133	praise	ainesis
G134	praise	aineō
G135	obscure thing	ainigma
G136	praise	ainos
G137	Aenon	Ainōn
G138	choose	ahireō
G139	sect	ahiresis
G140	choose	ahiretizō
G141	schismatic	ahiretikos
G142	take up	airō
G143	perceive	aisthanomai
G144	insight	aisthēsis
G145	sense	aisthētērion
G146	greedy	aischrokerdēs
G147	greedily	aischrokerdōs
G148	obscenity	aischrologia
G149	shameful	aischron
G150	shameful	aischros
G151	obscenity	aischrotēs
G152	shame	aischunē
G153	be ashamed	aischunō
G154	ask	aiteō
G155	request	aitēma
G156	cause	aitia
G157	charge	aitiama
G158	reason for charge	aition
G159	causer	aitios
G160	sudden	aiphnidios
G161	captivity	aichmalōsia
G162	take captive	aichmalōteuō
G163	capture	aichmalōtizō
G164	captive	aichmalōtos
G165	age	aiōn
G166	eternal	aiōnios
G167	impurity	akatharsia
G168	uncleanness	akathartēs
G169	unclean	akathartos
G170	lack opportunity	akaireō
G171	unseasonably	akairōs
G172	innocent	akakos
G173	thorn	akantha
G174	thorny	akanthinos
G175	unfruitful	akarpos
G176	beyond reproach	akatagnōstos
G177	uncovered	akatakaluptos
G178	uncondemned	akatakritos
G179	indestructible	akatalutos
G180	unceasing	akatapaustos
G181	disorder	akatastasia
G182	restless	akatastatos
G183	uncontrollable	akataschetos
G184	Akeldama	Akeldama
G185	innocent	akeraios
G186	unwavering	aklinēs
G187	ripen	akmazō
G188	still	akmēn
G189	hearing	akoē
G190	follow	akoloutheō
G191	hear	akouō
G192	self-indulgence	akrasia
G193	intemperate	akratēs
G194	undiluted	akratos
G195	strictness	akribeia
G196	strictest	akribestatos
G197	stricter	akribesteron
G198	be exactly	akriboō
G199	exactly	akribōs
G200	locust	akris
G201	hall	akroatērion
G202	hearer	akroatēs
G203	uncircumcision	akrobustia
G204	cornerstone	akrogōniaios
G205	fine spoils	akrothinion
G206	end	akron
G207	Aquila	Akulas
G208	nullify	akuroō
G209	freely	akōlutōs
G210	unwilling	akōn
G211	jar	alabastron
G212	boasting	alazoneia
G213	braggart	alazōn
G214	wail	alalazō
G215	inexpressible	alalētos
G216	mute	alalos
G217	salt	halas
G218	anoint	aleiphō
G219	crowing	alektorophōnia
G220	rooster	alektōr
G221	Alexandrian	Alexandreus
G222	Alexandria	Alexandrinos
G223	Alexander	Alexandros
G224	flour	aleuron
G225	truth	alētheia
G226	be truthful	alētheuō
G227	true	alēthēs
G228	true	alēthinos
G229	grind	alēthō
G230	truly	alēthōs
G231	fisherman	halieus
G232	fish	halieuō
G233	salt	halizō
G234	defilement	alisgēma
G235	but	alla
G236	change	allassō
G237	from elsewhere	allachothen
G238	use an analogy	allēgoreō
G239	hallelujah	allēlouia
G240	one another	allēlōn
G241	foreign	allogenēs
G242	spring	hallomai
G243	another	allos
G244	meddler	allotriepiskopos
G245	another’s	allotrios
G246	foreign	allophulos
G247	otherwise	allōs
G248	thresh	aloaō
G249	unreasonable	alogos
G250	aloes	aloē
G251	salt	hals
G252	salty	halukos
G253	without anxiety	alupos
G254	chain	halusis
G255	unprofitable	alusitelēs
G256	Alphaeus	Alphaios
G257	threshing-floor	halōn
G258	fox	alōpēx
G259	capture	halōsis
G260	together	hama
G261	ignorant	amathēs
G262	unfading	amarantinos
G263	unfading	amarantos
G264	sin	hamartanō
G265	sin	hamartēma
G266	sin	hamartia
G267	without witness	amarturos
G268	sinful	hamartōlos
G269	peacable	amachos
G270	mow	amaō
G271	amethyst	amethustos
G272	neglect	ameleō
G273	blameless	amemptos
G274	blamelessly	amemptōs
G275	untroubled	amerimnos
G276	unchangeable	ametathetos
G277	immovable	ametakinētos
G278	irrevocable	ametamelētos
G279	unrepentant	ametanoētos
G280	immoderate	ametros
G281	amen	amēn
G282	motherless	amētōr
G283	pure	amiantos
G284	Amminadab	Aminadab
G285	sand	ammos
G286	lamb	amnos
G287	repayment	amoibē
G288	vine	ampelos
G289	vine-worker	ampelourgos
G290	vineyard	ampelōn
G291	Ampliatus	Amplias
G292	defend	amunō
G293	net	amphiblēstron
G294	clothe	amphiennumi
G295	Amphipolis	Amphipolis
G296	street	amphodon
G297	both	amphoteros
G298	blameless	amōmētos
G299	blameless	amōmos
G300	Amos	Amōn
G301	Amos	Amōs
G302	if	an
G303	each	ana
G304	stairs	anabathmos
G305	ascend	anabainō
G306	defer	anaballō
G307	pull up	anabibazō
G308	look up	anablepō
G309	recovery of sight	anablepsis
G310	cry out	anaboaō
G311	delay	anabolē
G312	report	anangellō
G313	beget	anagennaō
G314	read	anaginōskō
G315	compel	anagkazō
G316	necessary	anagkaios
G317	necessarily	anagkastōs
G318	necessity	anagkē
G319	recognize	anagnōrizō
G320	reading	anagnōsis
G321	lead	anagō
G322	appoint	anadeiknumi
G323	public appearance	anadeixis
G324	receive	anadechomai
G325	deliver	anadidōmi
G326	revive	anazaō
G327	search	anazēteō
G328	gird	anazōnnumi
G329	rekindle	anazōpureō
G330	renew	anathallō
G331	devoted	anathema
G332	take an oath	anathematizō
G333	contemplate	anatheōreō
G334	vow offering	anathēma
G335	shamelessnes	anaideia
G336	murder	anairesis
G337	kill	anaireō
G338	innocent	anaitios
G339	sit up	anakathizō
G340	restore	anakainizō
G341	renew	anakainoō
G342	renewal	anakainōsis
G343	unveil	anakaluptō
G344	return	anakamptō
G345	recline	anakeimai
G346	summarise	anakephalaioomai
G347	recline	anaklinō
G348	restrain	anakoptō
G349	yell	anakrazō
G350	investigate	anakrinō
G351	investigation	anakrisis
G352	straighten up	anakuptō
G353	take up	analambanō
G354	ascension	analēpsis
G355	consume	analiskō
G356	proportion	analogia
G357	consider	analogizomai
G358	unsalty	analos
G359	departure	analusis
G360	depart	analuō
G361	sinless	anamartētos
G362	await	anamenō
G363	remind	anamimnēskō
G364	remembrance	anamnēsis
G365	renew	ananeoomai
G366	regain senses	ananēphō
G367	Ananias	Ananias
G368	indisputable	anantirrētos
G369	without objection	anantirrētōs
G370	unworthy	anaxios
G371	unworthily	anaxiōs
G372	rest	anapausis
G373	give rest	anapauō
G374	persuade	anapeithō
G375	send back	anapempō
G376	crippled	anapēros
G377	recline	anapiptō
G378	fulfil	anaplēroō
G379	inexcusable	anapologētos
G380	unroll	anaptussō
G381	set fire	anaptō
G382	countless	anarithmētos
G383	incite	anaseiō
G384	upset	anaskeuazō
G385	pull up	anaspaō
G386	resurrection	anastasis
G387	cause trouble	anastatoō
G388	recrucify	anastauroō
G389	sigh deeply	anastenazō
G390	live	anastrephō
G391	behaviour	anastrophē
G392	compile	anatassō
G393	rise	anatellō
G394	set before	anatithēmi
G395	east	anatolē
G396	overturn	anatrepō
G397	bring up	anatrephō
G398	appear	anaphainō
G399	carry up	anapherō
G400	exclaim	anaphōneō
G401	outpouring	anachusis
G402	leave	anachōreō
G403	refreshment	anapsuxis
G404	refresh	anapsuchō
G405	slave-trader	andrapodistēs
G406	Andrew	Andreas
G407	act like a man	andrizō
G408	Andronicus	Andronikos
G409	murderer	androphonos
G410	irreproachable	anegklētos
G411	indescribable	anekdiēgētos
G412	inexpressible	aneklalētos
G413	inexhaustible	anekleiptos
G414	bearable	anektos
G415	merciless	aneleēmōn
G416	be wind-blown	anemizomai
G417	wind	anemos
G418	impossible	anendektos
G419	unsearchable	anexereunētos
G420	not resentful	anexikakos
G421	unsearchable	anexichniastos
G422	unashamed	anepaischuntos
G423	irreproachable	anepilēptos
G424	go up	anerchomai
G425	rest	anesis
G426	question	anetazō
G427	without	aneu
G428	unsuitable	aneuthetos
G429	find	aneuriskō
G430	endure	anechō
G431	cousin	anepsios
G432	dill	anēthon
G433	be fitting	anēkō
G434	brutal	anēmeros
G435	man	anēr
G436	oppose	anthistēmi
G437	praise	anthomologeomai
G438	flower	anthos
G439	charcoal fire	anthrakia
G440	charcoal	anthrax
G441	people-pleaser	anthrōpareskos
G442	human	anthrōpinos
G443	murderer	anthrōpoktonos
G444	human	anthrōpos
G445	proconsul	anthupateuō
G446	proconsul	anthupatos
G447	loosen	aniēmi
G448	merciless	anileōs
G449	unwashed	aniptos
G450	arise	anistēmi
G451	Anna	Anna
G452	Annas	Annas
G453	foolish	anoētos
G454	folly	anoia
G455	open	anoigō
G456	rebuild	anoikodomeō
G457	opening	anoixis
G458	lawlessness	anomia
G459	lawless	anomos
G460	without law	anomōs
G461	restore	anorthoō
G462	unholy	anosios
G463	tolerance	anochē
G464	struggle	antagōnizomai
G465	in exchange	antallagma
G466	fill again	antanaplēroō
G467	repay	antapodidōmi
G468	repayment	antapodoma
G469	reward	antapodosis
G470	contradict	antapokrinomai
G471	contradict	anteipon
G472	cling to	antechō
G473	for	anti
G474	discuss	antiballō
G475	oppose	antidiatithēmi
G476	opponent	antidikos
G477	opposition	antithesis
G478	resist	antikathistēmi
G479	invite in return	antikaleō
G480	be an opponent	antikeimai
G481	opposite	antikru
G482	help	antilambanō
G483	dispute	antilegō
G484	help	antilēpsis
G485	dispute	antilogia
G486	retaliate	antiloidoreō
G487	ransom	antilutron
G488	return	antimetreō
G489	recompense	antimisthia
G490	Antioch	Antiocheia
G491	Antiochian	Antiocheus
G492	pass	antiparerchomai
G493	Antipas	Antipas
G494	Antipatris	Antipatris
G495	opposite	antiperan
G496	resist	antipiptō
G497	wage war against	antistrateuomai
G498	resist	antitassō
G499	representation	antitupos
G500	antichrist	antichristos
G501	draw	antleō
G502	bucket	antlēma
G503	face	antophthalmeō
G504	waterless	anudros
G505	genuine	anupokritos
G506	insubordinate	anupotaktos
G507	above	anō
G508	upper room	anōgeon
G509	from above	anōthen
G510	interior	anōterikos
G511	higher	anōteros
G512	useless	anōphelēs
G513	axe	axinē
G514	worthy	axios
G515	deem worthy	axioō
G516	appropriately	axiōs
G517	invisible	aoratos
G518	announce	apangellō
G519	strangle	apagchō
G520	lead away	apagō
G521	uninstructed	apaideutos
G522	take away	apairō
G523	demand	apaiteō
G524	become callous	apalgeō
G525	release	apallassō
G526	alienate	apallotrioō
G527	tender	hapalos
G528	meet	apantaō
G529	meeting	apantēsis
G530	once	hapax
G531	permanent	aparabatos
G532	unprepared	aparaskeuastos
G533	deny	aparneomai
G534	henceforth	aparti
G535	completion	apartismos
G536	firstfruits	aparchē
G537	all	hapas
G538	trick	apataō
G539	deceit	apatē
G540	fatherless	apatōr
G541	radiance	apaugasma
G542	fix one's eyes	apeidon
G543	disobedience	apeitheia
G544	disobey	apeitheō
G545	disobedient	apeithēs
G546	threaten	apeileō
G547	threat	apeilē
G548	be away	apeimi
G549	go	apeimi
G550	renounce	apeipon
G551	untempted	apeirastos
G552	unacquainted	apeiros
G553	expect	apekdechomai
G554	take off	apekduomai
G555	removal	apekdusis
G556	eject	apelaunō
G557	discredit	apelegmos
G558	freed	apeleutheros
G559	Apelles	Apellēs
G560	despair	apelpizō
G561	opposite	apenanti
G562	endless	aperantos
G563	undistracted	aperispastōs
G564	uncircumcised	aperitmētos
G565	go away	aperchomai
G566	receive	apechei
G567	refrain	apechomai
G568	have in full	apechō
G569	disbelieve	apisteō
G570	unbelief	apistia
G571	unbelieving	apistos
G572	openness	haplotēs
G573	sound	haplous
G574	without reserve	haplōs
G575	away from	apo
G576	get out	apobainō
G577	throw away	apoballō
G578	look ahead	apoblepō
G579	rejected	apoblētos
G580	deprivation	apobolē
G581	cease to be	apogenomenos
G582	census	apographē
G583	register	apographō
G584	display	apodeiknumi
G585	demonstration	apodeixis
G586	tithe	apodekatoō
G587	pleasing	apodektos
G588	receive	apodechomai
G589	go abroad	apodēmeō
G590	absent	apodēmos
G591	pay	apodidōmi
G592	divide	apodiorizō
G593	reject	apodokimazō
G594	acceptance	apodochē
G595	removal	apothesis
G596	storehouse	apothēkē
G597	store up	apothēsaurizō
G598	crowd up to	apothlibō
G599	die	apothnēskō
G600	restore	apokathistēmi
G601	reveal	apokaluptō
G602	revelation	apokalupsis
G603	eager expectation	apokaradokia
G604	reconcile	apokatallassō
G605	restoration	apokatastasis
G606	lay up	apokeimai
G607	behead	apokephalizō
G608	shut	apokleiō
G609	cut off	apokoptō
G610	verdict	apokrima
G611	answer	apokrinō
G612	answer	apokrisis
G613	conceal	apokruptō
G614	concealed	apokruphos
G615	kill	apokteinō
G616	generate	apokueō
G617	roll away	apokuliō
G618	get back	apolambanō
G619	enjoyment	apolausis
G620	leave	apoleipō
G621	lick	apoleichō
G622	destroy	apolluō
G623	Apollyon	Apolluōn
G624	Apollonia	Apollōnia
G625	Apollos	Apollōs
G626	defend oneself	apologeomai
G627	defence	apologia
G628	wash off	apolouō
G629	redemption	apolutrōsis
G630	release	apoluō
G631	wipe off	apomassō
G632	render as due	aponemō
G633	wash off	aponiptō
G634	fall from	apopiptō
G635	mislead	apoplanaō
G636	set sail	apopleō
G637	wash off	apoplunō
G638	choke	apopnigō
G639	be perplexed	aporeō
G640	perplexity	aporia
G641	throw off	aporriptō
G642	orphan	aporphanizō
G643	pack up	aposkeuazō
G644	shadow	aposkiasma
G645	draw away	apospaō
G646	apostasy	apostasia
G647	divorce	apostasion
G648	unroof	apostegazō
G649	send	apostellō
G650	defraud	apostereō
G651	apostleship	apostolē
G652	apostle	apostolos
G653	interrogate	apostomatizō
G654	turn away	apostrephō
G655	abhor	apostugeō
G656	excommunicated	aposunagōgos
G657	leave	apotassō
G658	complete	apoteleō
G659	put aside	apotithēmi
G660	shake off	apotinassō
G661	repay	apotinō
G662	be bold	apotolmaō
G663	severity	apotomia
G664	severely	apotomōs
G665	avoid	apotrepō
G666	absence	apousia
G667	carry off	apopherō
G668	escape	apopheugō
G669	declare	apophthengomai
G670	unload	apophortizomai
G671	using up	apochrēsis
G672	leave	apochōreō
G673	separate from	apochōrizō
G674	faint	apopsuchō
G675	of Appius	Appios
G676	unapproachable	aprositos
G677	not giving offence	aproskopos
G678	impartially	aprosōpolēptōs
G679	without falling	aptaistos
G680	touch	haptō
G681	touch	haptō
G682	Apphia	Apphia
G683	reject	apōtheō
G684	destruction	apōleia
G685	curse	ara
G686	therefore	ara
G687	no?	ara
G688	Arabia	Arabia
G689	Ram	Aram
G690	Arabian	Araps
G691	be idle	argeō
G692	idle	argos
G693	silver	argureos
G694	money	argurion
G695	silversmith	argurokopos
G696	silver	arguros
G697	Areopagus	Areios Pagos
G698	Areopagite	Areopagitēs
G699	pleasing	areskeia
G700	please	areskō
G701	pleasing	arestos
G702	Aretas	Aretas
G703	virtue	aretē
G704	lamb	arēn
G705	number	arithmeō
G706	number	arithmos
G707	Arimathea	Arimathaia
G708	Aristarchus	Aristarchos
G709	eat early meal	aristaō
G710	left	aristeros
G711	Aristobulus	Aristoboulos
G712	early meal	ariston
G713	sufficient	arketos
G714	be sufficient	arkeō
G715	bear	arktos
G716	chariot	harma
G717	Armageddon	Armageddōn
G718	betroth	harmozō
G719	joint	harmos
G720	deny	arneomai
G721	lamb	arnion
G722	plow	arotriaō
G723	plow	arotron
G724	plunder	harpagē
G725	something to grasp	harpagmos
G726	seize	harpazō
G727	rapacious	harpax
G728	guarantee	arrabōn
G729	seamless	arraphos
G730	male	arrēn, arsēn
G731	inexpressible	arrētos
G732	ill	arrōstos
G733	sodomite	arsenokoitēs
G734	Artemas	Artemas
G735	Artemis	Artemis
G736	foresail	artemōn
G737	now	arti
G738	newborn	artigennētos
G739	competent	artios
G740	bread	artos
G741	season	artuō
G742	Arphaxad	Arphaxad
G743	archangel	archangelos
G744	ancient	archaios
G745	Archelaus	Archelaos
G746	beginning	archē
G747	founder	archēgos
G748	high-priestly	archieratikos
G749	high-priest	archiereus
G750	chief shepherd	archipoimēn
G751	Archippus	Archippos
G752	synagogue leader	archisunagōgos
G753	master-builder	architektōn
G754	chief tax collector	architelōnēs
G755	head waiter	architriklinos
G756	rule	archomai
G757	be first	archō
G758	ruler	archōn
G759	spices	arōma
G760	Asaph	Asa
G761	unshakable	asaleutos
G762	unquenchable	asbestos
G763	ungodlinessness	asebeia
G764	be ungodly	asebeō
G765	ungodly	asebēs
G766	debauchery	aselgeia
G767	insignificant	asēmos
G768	Asher	Asēr
G769	weakness	astheneia
G770	be weak	astheneō
G771	weakness	asthenēma
G772	weak	asthenēs
G773	Asia	Asia
G774	Asian	Asianos
G775	Asiarch	Asiarchēs
G776	fasting	asitia
G777	fasting	asitos
G778	strive	askeō
G779	wineskin	askos
G780	gladly	asmenōs
G781	unwise	asophos
G782	pay respects to	aspazomai
G783	salutation	aspasmos
G784	spotless	aspilos
G785	asp	aspis
G786	irreconcilable	aspondos
G787	assarion	assarion
G788	nearer	asson
G789	Assos	Assos
G790	be unsettled	astateō
G791	beautiful	asteios
G792	star	astēr
G793	unstable	astēriktos
G794	unfeeling	astorgos
G795	deviate	astocheō
G796	lightning	astrapē
G797	flash	astraptō
G798	star	astron
G799	Asyncritus	Asugkritos
G800	discordant	asumphōnos
G801	senseless	asunetos
G802	untrustworthy	asunthetos
G803	security	asphaleia
G804	secure	asphalēs
G805	secure	asphalizō
G806	securely	asphalōs
G807	act improperly	aschēmoneō
G808	indecency	aschēmosunē
G809	indecent	aschēmōn
G810	debauchery	asōtia
G811	wildly	asōtōs
G812	be idle	atakteō
G813	disorderly	ataktos
G814	idly	ataktōs
G815	childless	ateknos
G816	gaze	atenizō
G817	without	ater
G818	dishonor	atimazō
G819	dishonour	atimia
G820	dishonored	atimos
G821	disgrace	atimoō
G822	vapor	atmis
G823	instant	atomos
G824	wrong	atopos
G825	Attalia	Attaleia
G826	see	augazō
G827	daybreak	augē
G828	Augustus	Augoustos
G829	self-willed	authadēs
G830	self-chosen	authairetos
G831	domineer	authenteō
G832	play the flute	auleō
G833	palace	aulē
G834	flute player	aulētēs
G835	spend the night	aulizomai
G836	flute	aulos
G837	grow	auxanō
G838	growth	auxēsis
G839	tomorrow	aurion
G840	severe	austēros
G841	self-sufficiency	autarkeia
G842	self-sufficient	autarkēs
G843	self-condemned	autokatakritos
G844	by itself	automatos
G845	eyewitness	autoptēs
G846	it	autos
G847	there	autou
G849	with one’s own hand	autocheir
G850	dingy	auchmēros
G851	remove	aphaireō
G852	hidden	aphanēs
G853	destroy	aphanizō
G854	disappearance	aphanismos
G855	disappearing	aphantos
G856	latrine	aphedrōn
G857	unsparing	apheidia
G858	sincerity	aphelotēs
G859	forgiveness	aphesis
G860	joint	haphē
G861	incorruptibility	aphtharsia
G862	incorruptible	aphthartos
G863	release	aphiēmi
G864	reach	aphikneomai
G865	hating good	aphilagathos
G866	not greedy	aphilarguros
G867	departure	aphixis
G868	leave	aphistēmi
G869	suddenly	aphnō
G870	fearlessly	aphobōs
G871	make like	aphomoioō
G872	consider	aphoraō
G873	separate	aphorizō
G874	opportunity	aphormē
G875	foam	aphrizō
G876	foam	aphros
G877	foolishness	aphrosunē
G878	foolish	aphrōn
G879	fall sleep	aphupnoō
G880	mute	aphōnos
G881	Ahaz	Achaz
G882	Achaia	Achaia
G883	Achaicus	Achaikos
G884	ungrateful	acharistos
G885	Achim	Acheim
G886	not man-made	acheiropoiētos
G887	mist	achlus
G888	worthless	achreios
G889	make worthless	achreioō
G890	useless	achrēstos
G891	until	achri
G892	chaff	achuron
G893	not a liar	apseudēs
G894	wormwood	apsinthos
G895	lifeless	apsuchos
G896	Baal	Baal
G897	Babylon	Babulōn
G898	standing	bathmos
G899	depth	bathos
G900	dig deep	bathunō
G901	deep	bathus
G902	palm branch	baion
G903	Balaam	Balaam
G904	Balak	Balak
G905	purse	ballantion
G906	throw	ballō
G907	baptize	baptizō
G908	baptism	baptisma
G909	baptism	baptismos
G910	one who baptizes	Baptistēs
G911	dip	baptō
G912	Barabbas	Barabbas
G913	Barak	Barak
G914	Barachiah	Barachias
G915	barbarian	barbaros
G916	burden	bareō
G917	difficultly	bareōs
G918	Bartholomew	Bartholomaios
G919	Bar-Jesus	Bariēsous
G920	Bar-Jonah	Bariōnas
G921	Barnabas	Barnabas
G922	burden	baros
G923	Barsabbas	Barsabas
G924	Bartimaeus	Bartimaios
G925	weigh down	barunō
G926	weighty	barus
G927	expensive	barutimos
G928	torture	basanizō
G929	torment	basanismos
G930	torturer	basanistēs
G931	torment	basanos
G932	kingdom	basileia
G933	palace	basileion
G934	kingly	basileios
G935	king	basileus
G936	reign	basileuō
G937	royal	basilikos
G938	queen	basilissa
G939	foot	basis
G940	bewitch	baskainō
G941	carry	bastazō
G942	thorn bush	batos
G943	bath	batos
G944	frog	batrachos
G945	babble	battologeō
G946	abomination	bdelugma
G947	abominable	bdeluktos
G948	abhor	bdelussomai
G949	firm	bebaios
G950	confirm	bebaioō
G951	confirmation	bebaiōsis
G952	profane	bebēlos
G953	profane	bebēloō
G954	Beelzebul	Beelzeboul
G955	Belial	Belial
G956	arrow	belos
G957	better	beltiōn
G958	Benjamin	Beniamin
G959	Bernice	Bernikē
G960	Berea	Beroia
G961	Berean	Beroiaios
G962	Bethany	Bēthabara
G963	Bethany	Bēthania
G964	Bethesda	Bēthesda
G965	Bethlehem	Bēthleem
G966	Bethsaida	Bēthsaida
G967	Bethphage	Bēthphagē
G968	judgement seat	bēma
G969	beryl	bērullos
G970	force	bia
G971	force	biazō
G972	strong	biaios
G973	forceful person	biastēs
G974	little scroll	biblaridion
G975	scroll	biblion
G976	book	biblos
G977	eat	bibrōskō
G978	Bithynia	Bithunia
G979	life	bios
G980	live	bioō
G981	lifestyle	biōsis
G982	of this life	biōtikos
G983	harmful	blaberos
G984	hurt	blaptō
G985	sprout	blastanō
G986	Blastus	Blastos
G987	blaspheme	blasphēmeō
G988	blasphemy	blasphēmia
G989	blasphemous	blasphēmos
G990	look	blemma
G991	see	blepō
G992	must be put	blēteon
G993	Boanerges	Boanerges
G994	cry out	boaō
G995	outcry	boē
G996	help	boētheia
G997	help	boētheō
G998	helper	boēthos
G999	pit	bothunos
G1000	throwing	bolē
G1001	sound	bolizō
G1002	arrow	bolis
G1003	Boaz	Booz
G1004	mire	borboros
G1005	north	borras
G1006	feed	boskō
G1007	Beor	Bosor, Beōr
G1008	crop	botanē
G1009	bunch of grapes	botrus
G1010	member of a council	bouleutēs
G1011	plan	bouleuō
G1012	plan	boulē
G1013	plan	boulēma
G1014	plan	boulomai
G1015	hill	bounos
G1016	ox	bous
G1017	prize	brabeion
G1018	rule	brabeuō
G1019	delay	bradunō
G1020	sail slowly	braduploeō
G1021	slow	bradus
G1022	slowness	bradutēs
G1023	arm	brachiōn
G1024	little	brachus
G1025	infant	brephos
G1026	rain down	brechō
G1027	thunder	brontē
G1028	rain	brochē
G1029	restraint	brochos
G1030	gnashing	brugmos
G1031	gnash	bruchō
G1032	pour	bruō
G1033	food	brōma
G1034	edible	brōsimos
G1035	eating	brōsis
G1036	sink	buthizō
G1037	deep	buthos
G1038	tanner	burseus
G1039	fine linen	bussinos
G1040	fine linen	bussos
G1041	altar	bōmos
G1042	Gabbatha	gabbatha
G1043	Gabriel	Gabriēl
G1044	gangrene	gangraina
G1045	Gad	Gad
G1046	Gadara	Gadarēnos
G1047	treasury	gaza
G1048	Gaza	Gaza
G1049	treasury	gazophulakion
G1050	Gaius	Gaios
G1051	milk	gala
G1052	Galatian	Galatēs
G1053	Galatia	Galatia
G1054	Galatia	Galatikos
G1055	calm	galēnē
G1056	Galilee	Galilaia
G1057	Galilean	Galilaios
G1058	Gallio	Galliōn
G1059	Gamaliel	Gamaliēl
G1060	marry	gameō
G1061	give in marriage	gamiskō, gamizō
G1062	wedding	gamos
G1063	for	gar
G1064	belly	gastēr
G1065	indeed	ge
G1066	Gideon	Gedeōn
G1067	hell	geenna
G1068	Gethsemane	Gethsēmanē
G1069	neighbour	geitōn
G1070	laugh	gelaō
G1071	laughter	gelōs
G1072	fill	gemizō
G1073	be full	gemō
G1074	generation	genea
G1075	trace genealogy	genealogeō
G1076	genealogy	genealogia
G1077	birthday	genesia, genethlios
G1078	origin	genesis
G1079	birth	genetē
G1080	beget	gennaō
G1081	offspring	gennēma
G1082	Gennesaret	Gennēsaret
G1083	birth	gennēsis
G1084	born	gennētos
G1085	family	genos
G1086	Gerasene	Gerasēnos
G1087	council of elders	gerousia
G1088	old man	gerōn
G1089	taste	geuō
G1090	farm	geōrgeō
G1091	farm field	geōrgion
G1092	farmer	geōrgos
G1093	earth	gē
G1094	old age	gēras
G1095	grow old	gēraskō
G1096	be	ginomai
G1097	know	ginōskō
G1098	sweet wine	gleukos
G1099	sweet	glukus
G1100	tongue	glōssa
G1101	moneybag	glōssokomon
G1102	one who bleaches	gnapheus
G1103	genuine	gnēsios
G1104	genuinely	gnēsiōs
G1105	darkness	gnophos
G1106	resolution	gnōmē
G1107	make known	gnōrizō
G1108	knowledge	gnōsis
G1109	expert in	gnōstēs
G1110	acquainted with	gnōstos, gnōrimos
G1111	murmur	gonguzō
G1112	murmuring	gongusmos
G1113	murmurer	gongustēs
G1114	imposter	goēs
G1115	Golgotha	Golgotha
G1116	Gomorrah	Gomorra
G1117	cargo	gomos
G1118	parent	goneus
G1119	knee	gonu
G1120	kneel	gonupeteō
G1121	something written	gramma
G1122	scribe	grammateus
G1123	written	graptos
G1124	writing	graphē
G1125	write	graphō
G1126	old wives’ tale	graōdēs
G1127	keep watch	grēgoreō
G1128	train	gumnazō
G1129	training	gumnasia
G1130	be naked	gumnēteuō, gumniteuō
G1131	naked	gumnos
G1132	nakedness	gumnotēs
G1133	weak-willed woman	gunaikarion
G1134	feminine	gunaikeios
G1135	woman	gunē
G1136	Gog	Gōg
G1137	corner	gōnia
G1138	David	Daueid, Dauid, Dabid
G1139	be demonised	daimonizomai
G1140	demon	daimonion
G1141	demonic	daimoniōdēs
G1142	demon	daimōn
G1143	bite	daknō
G1144	teardrop	dakru, dakruon
G1145	weep	dakruō
G1146	ring	daktulios
G1147	finger	daktulos
G1148	Dalmanutha	Dalmanoutha
G1149	Dalmatia	Dalmatia
G1150	tame	damazō
G1151	heifer	damalis
G1152	Damaris	Damaris
G1153	Damascus	Damaskēnos
G1154	Damascus	Damaskos
G1155	lend	daneizō
G1156	debt	daneion
G1157	moneylender	daneistēs
G1158	Daniel	Daniēl
G1159	spend	dapanaō
G1160	cost	dapanē
G1161	then	de
G1162	petition	deēsis
G1163	be necessary	dei
G1164	example	deigma
G1165	disgrace	deigmatizō
G1166	show	deiknuō
G1167	timidity	deilia
G1168	be timid	deiliaō
G1169	timid	deilos
G1170	certain one	deina
G1171	terribly	deinōs
G1172	dine	deipneō
G1173	dinner	deipnon
G1174	religious	deisidaimōn
G1175	religion	deisidaimonia
G1176	ten	deka
G1177	twelve	dekaduo
G1178	fifteen	dekapente
G1179	Decapolis	Dekapolis
G1180	fourteen	dekatessares
G1181	tenth	dekatē
G1182	tenth	dekatos
G1183	tithe	dekatoō
G1184	acceptable	dektos
G1185	entice	deleazō
G1186	tree	dendron
G1187	slinger	dexiolabos
G1188	right	dexios
G1189	pray	deomai
G1190	Derbe	Derbaios
G1191	Derbe	Derbē
G1192	leather	derma
G1193	made of leather	dermatinos
G1194	beat up	derō
G1195	bind	desmeuō
G1196	shackle	desmeō
G1197	bundle	desmē
G1198	prisoner	desmios
