# OT-in-NT quotations via LXX Strong's overlap (IDF-weighted); shoresh lxx.build_quotations
# ot_ref is Masoretic/English numbering; vrs=lxx? marks a boundary Psalm left in LXX numbering (needs V1 verse-map)
nt_ref	ot_ref	confidence	vrs	n_shared	score	shared_strongs
MAT 6:3	GEN 24:49	high	mt	3	0.506	G0710,1188,4160
MAT 6:3	JOB 23:9	high	mt	3	0.5	G0710,1188,4160
MAT 6:4	DEU 24:13	med	mt	3	0.37	G0591,1510,1654
MAT 6:6	2KI 4:33	med	mt	3	0.373	G1525,2374,4336
MAT 6:6	JDG 3:24	med	mt	3	0.346	G1525,2374,5009
MAT 6:6	EZK 46:12	med	mt	3	0.318	G0991,2374,2808
MAT 6:9	PSS 8:22	med	mt	3	0.418	G0037,3686,3962
MAT 6:10	1CH 29:30	med	mt	3	0.42	G0932,1093,1096
MAT 6:14	EZK 20:27	med	mt	3	0.367	G0444,3900,3962
MAT 6:15	EZK 20:27	high	mt	3	0.473	G0444,3900,3962
MAT 6:16	GEN 40:7	med	mt	3	0.329	G3004,4383,4659
MAT 6:23	DAN 2:22	high	mt	3	0.531	G4652,4655,5457
MAT 6:23	JER 13:16	med	mt	3	0.413	G4652,4655,5457
MAT 6:23	AMO 5:18	med	mt	3	0.407	G1510,4655,5457
MAT 6:24	GEN 29:30	med	mt	3	0.385	G0025,1398,2087
MAT 6:24	WIS 11:24	med	mt	3	0.337	G0025,3404,3762
MAT 6:24	ISA 56:6	med	mt	4	0.33	G0025,0472,1398,2962
MAT 6:25	ZEP 1:8	med	mt	3	0.35	G1510,1742,1746
MAT 6:29	PSA 45:14	med	mt	3	0.412	G1391,3956,4016
MAT 7:3	GEN 45:12	med	mt	3	0.314	G0080,0991,3788
MAT 7:7	SNG 5:6	med	mt	3	0.341	G0455,2147,2212
MAT 7:8	SNG 5:6	med	mt	3	0.336	G0455,2147,2212
MAT 7:11	ECC 4:17	med	mt	3	0.356	G1390,1492,1510
MAT 7:11	NUM 3:9	med	mt	3	0.328	G1325,1390,1510
MAT 7:12	1KI 21:35	high	mt	3	0.589	G0444,2309,4396
MAT 7:12	4MA 18:10	high	mt	3	0.518	G1510,3551,4396
MAT 7:12	EST 6:6	high	mt	3	0.507	G0444,2309,4160
MAT 7:13	ISA 33:21	med	mt	4	0.392	G1510,2149,3598,4116
MAT 7:17	1KI 16:30	med	mt	3	0.422	G3956,4160,4190
MAT 7:17	EZK 17:8	med	mt	3	0.386	G2570,2590,4160
MAT 7:17	1KI 16:25	med	mt	3	0.378	G3956,4160,4190
MAT 7:18	EZK 17:8	med	mt	3	0.445	G2570,2590,5342
MAT 7:19	DAN 2:40	med	mt	3	0.33	G1186,1581,3956
MAT 7:19	EZK 17:8	med	mt	3	0.322	G2570,2590,4160
MAT 7:21	1MA 3:60	high	mt	3	0.707	G2307,3772,4160
MAT 7:21	1KI 5:22	high	mt	4	0.511	G2307,3004,3956,4160
MAT 7:21	4MA 18:16	high	mt	3	0.495	G2307,3004,4160
MAT 7:22	PSA 96:5	med	mt	3	0.424	G1140,2962,4160
MAT 7:22	EZK 30:2	med	mt	3	0.333	G2250,2962,4395
MAT 7:22	EZK 13:2	med	mt	3	0.321	G2046,2962,4395
MAT 7:24	1KI 5:21	med	mt	3	0.328	G0191,3056,5429
MAT 8:3	JER 1:9	high	mt	3	0.482	G0680,1614,5495
MAT 8:3	SIR 15:16	med	mt	3	0.408	G1614,2309,5495
MAT 8:4	NUM 7:11	med	mt	3	0.323	G1435,3475,4374
MAT 8:4	LEV 27:11	med	mt	3	0.311	G1435,2409,4374
MAT 8:6	4MA 16:15	med	mt	3	0.405	G0928,3004,3816
MAT 8:9	1MA 11:27	med	mt	3	0.323	G0243,2192,4160
MAT 8:9	1MA 1:13	med	mt	3	0.314	G1849,4160,4198
MAT 8:9	2MA 14:39	med	mt	3	0.308	G2192,4160,4757
MAT 8:11	ZEC 8:7	med	mt	3	0.377	G0395,1424,3004
MAT 8:11	LEV 26:42	med	mt	3	0.356	G0011,2384,2464
MAT 8:11	EXO 4:5	med	mt	3	0.352	G0011,2384,2464
MAT 8:16	PRO 36:26	med	mt	3	0.36	G1096,2323,4183
MAT 8:16	PRO 19:6	med	mt	4	0.35	G1096,2323,3956,4183
MAT 8:20	1KI 21:10	med	mt	3	0.315	G0258,3004,5207
MAT 8:21	GEN 15:15	med	mt	3	0.403	G0565,2290,3962
MAT 8:21	TOB 14:12	med	mt	3	0.335	G0565,2290,3962
MAT 8:22	GEN 23:8	med	mt	3	0.413	G2290,3004,3498
MAT 8:22	TOB 2:8	med	mt	3	0.399	G2290,3004,3498
MAT 8:24	ISA 48:18	med	mt	3	0.337	G1096,2281,2949
MAT 8:24	JON 1:5	med	mt	3	0.31	G2281,2518,4143
MAT 8:25	JDG 2:16	high	mt	3	0.534	G1453,2962,4982
MAT 8:25	JDG 3:9	med	mt	3	0.394	G1453,2962,4982
MAT 8:25	JDG 2:18	med	mt	3	0.363	G1453,2962,4982
MAT 8:29	4MA 16:15	med	mt	3	0.363	G0928,3004,3708
MAT 8:30	GEN 29:7	med	mt	3	0.359	G1006,1510,4183
MAT 8:33	1KI 12:16	med	mt	3	0.379	G0565,1006,3956
MAT 9:5	PRO 6:22	med	mt	3	0.367	G1453,1510,4043
MAT 9:6	SIR 10:4	med	mt	3	0.324	G1093,1453,1849
MAT 9:8	1MA 10:8	med	mt	3	0.407	G1325,1849,5399
MAT 9:9	NUM 22:20	med	mt	3	0.37	G0190,0444,0450
MAT 9:13	HOS 6:6	med	mt	3	0.375	G1656,2309,2378
MAT 9:15	NEH 1:4	med	mt	4	0.346	G1510,2250,3522,3996
MAT 9:15	JOS 9:17	med	mt	3	0.315	G0522,2064,5207
MAT 9:17	JOS 9:13	med	mt	4	0.436	G0779,2537,3631,4486
MAT 9:17	JOS 9:4	med	mt	3	0.376	G0779,3631,3820
MAT 9:18	NUM 10:4	med	mt	3	0.324	G0758,1520,4334
MAT 9:18	1KI 21:13	med	mt	5	0.317	G1520,3004,3708,4334,5495
MAT 9:18	2CH 30:12	med	mt	4	0.305	G0758,1520,2064,5495
MAT 9:23	1MA 1:29	med	mt	3	0.351	G0758,2064,3793
MAT 9:27	EXO 32:17	med	mt	3	0.304	G2424,2896,3004
MAT 9:28	JER 25:8	med	mt	3	0.409	G2962,3004,4100
MAT 9:28	JOS 4:15	med	mt	3	0.363	G2424,2962,3004
MAT 9:28	JOS 20:1	med	mt	3	0.335	G2424,2962,3004
MAT 9:29	ZEC 2:12	high	mt	3	0.474	G0680,3004,3788
MAT 9:35	DEU 7:15	med	mt	3	0.311	G3119,3554,3956
MAT 9:36	EZK 34:5	med	mt	3	0.379	G1510,4166,4263
MAT 9:36	2CH 18:16	med	mt	4	0.364	G1510,2192,4166,4263
MAT 9:36	NUM 27:17	med	mt	3	0.36	G1510,4166,4263
MAT 10:1	DEU 7:15	med	mt	3	0.385	G3119,3554,3956
MAT 10:5	2KI 17:29	high	mt	3	0.534	G1484,4172,4541
MAT 10:5	1SA 21:1	med	mt	3	0.337	G0565,1525,4172
MAT 10:6	EZK 36:37	med	mt	3	0.428	G2474,3624,4263
MAT 10:7	1ES 2:1	med	mt	3	0.364	G0932,2784,3004
MAT 10:7	2CH 36:22	med	mt	3	0.36	G0932,2784,3004
MAT 10:9	DAN 2:45	med	mt	3	0.448	G0696,5475,5557
MAT 10:11	JOS 15:59	high	mt	3	0.484	G1510,2968,4172
MAT 10:13	2KI 9:19	med	mt	3	0.404	G1515,1994,2064
MAT 10:14	ODA 4:5	med	mt	3	0.366	G1831,3056,4228
MAT 10:14	HAB 3:5	med	mt	3	0.366	G1831,3056,4228
MAT 10:15	GEN 14:2	high	mt	3	0.619	G1116,1510,4670
MAT 10:15	AMO 4:11	high	mt	3	0.602	G1116,3004,4670
MAT 10:15	GEN 14:8	high	mt	3	0.515	G1116,1510,4670
MAT 10:20	JOB 32:18	high	mt	3	0.469	G1510,2980,4151
MAT 10:21	EXO 21:15	med	mt	3	0.354	G2288,2289,3962
MAT 10:23	1MA 15:11	high	mt	3	0.542	G1377,2064,5343
MAT 10:24	1CH 17:26	med	mt	3	0.303	G1401,1510,2962
MAT 10:25	1KI 20:28	med	mt	3	0.315	G1096,1401,2962
MAT 10:26	LJE 1:22	med	mt	3	0.412	G1097,1510,5399
MAT 10:26	LJE 1:28	med	mt	3	0.412	G1097,1510,5399
MAT 10:26	LJE 1:64	med	mt	3	0.412	G1097,1510,5399
MAT 10:27	JER 35:7	med	mt	3	0.341	G0191,3004,3775
MAT 10:30	ISA 7:20	med	mt	3	0.378	G1510,2359,2776
MAT 10:34	JER 12:12	med	mt	4	0.332	G1093,1515,2064,3162
MAT 10:35	MIC 7:6	high	mt	5	0.683	G2364,3384,3565,3962,3994
MAT 10:35	TOB 11:17	med	mt	5	0.426	G2064,2364,3384,3565,3962
MAT 10:35	EZK 23:2	med	mt	3	0.404	G0444,2364,3384
MAT 10:37	GEN 27:14	high	mt	3	0.576	G3384,3962,5368
MAT 10:37	EZK 23:2	med	mt	4	0.415	G1510,2364,3384,5207
MAT 10:37	LEV 21:2	med	mt	4	0.398	G2364,3384,3962,5207
MAT 10:39	SIR 27:16	high	mt	3	0.485	G0622,2147,5590
MAT 11:3	JER 17:15	med	mt	3	0.36	G1510,2064,3004
MAT 11:4	2CH 10:16	med	mt	5	0.373	G0191,0611,0991,3004,4198
MAT 11:4	JOS 1:16	med	mt	3	0.357	G0611,2424,4198
MAT 11:5	ISA 42:18	high	mt	4	0.554	G0191,0308,2974,5185
MAT 11:5	ISA 35:5	med	mt	3	0.387	G0191,2974,5185
MAT 11:10	2KI 14:8	high	mt	4	0.528	G0032,0649,3708,4383
MAT 11:10	EXO 23:20	med	mt	4	0.427	G0032,0649,3598,4383
MAT 11:10	JDG 6:22	med	mt	4	0.386	G0032,1510,3708,4383
MAT 11:11	JOB 25:4	high	mt	3	0.523	G1084,1135,1510
MAT 11:11	JOB 15:14	med	mt	3	0.429	G1084,1135,1510
MAT 11:11	JOB 11:2	med	mt	4	0.421	G1084,1135,1510,3004
MAT 11:13	2CH 18:11	med	mt	3	0.408	G3956,4395,4396
MAT 11:15	PSA 113:14	high	lxx?	3	1.0	G0191,2192,3775
MAT 11:18	JOB 1:18	med	mt	4	0.325	G2064,2068,3004,4095
MAT 11:22	1MA 5:15	high	mt	3	0.546	G3004,4605,5184
MAT 11:22	JER 29:4	high	mt	3	0.483	G2250,4605,5184
MAT 11:22	JDT 2:28	med	mt	3	0.448	G1510,4605,5184
MAT 11:23	PSA 139:8	med	mt	3	0.435	G0086,2597,3772
MAT 11:23	JOB 7:9	med	mt	3	0.408	G0086,2597,3772
MAT 11:24	EZK 16:56	med	mt	3	0.423	G1510,2250,4670
MAT 11:25	JOB 15:18	med	mt	3	0.409	G2928,3962,4680
MAT 11:25	ISA 29:14	med	mt	3	0.34	G2928,4680,4908
MAT 11:25	PRO 17:24	med	mt	3	0.311	G1093,4680,4908
MAT 11:27	JOS 21:44	med	mt	4	0.365	G3762,3860,3956,3962
MAT 11:27	1MA 3:34	med	mt	3	0.338	G1014,3860,3956
MAT 12:2	4MA 1:12	high	mt	3	0.489	G1832,3004,4160
MAT 12:3	JER 11:6	med	mt	3	0.43	G0314,3004,4160
MAT 12:4	1SA 21:7	med	mt	4	0.421	G0740,1510,2409,4286
MAT 12:4	2CH 4:19	med	mt	3	0.39	G0740,3624,4286
MAT 12:4	EST 4:2	med	mt	3	0.344	G1510,1525,1832
MAT 12:5	EZK 20:24	med	mt	3	0.33	G0953,1510,4521
MAT 12:5	2KI 22:8	med	mt	3	0.326	G0314,2409,3551
MAT 12:7	HOS 6:6	med	mt	3	0.351	G1656,2309,2378
MAT 12:8	LEV 19:30	high	mt	3	0.549	G1510,2962,4521
MAT 12:8	LEV 26:2	high	mt	3	0.549	G1510,2962,4521
MAT 12:8	EXO 16:25	high	mt	3	0.533	G1510,2962,4521
MAT 12:11	ISA 24:18	med	mt	3	0.313	G0999,1510,1706
MAT 12:13	EXO 14:26	med	mt	3	0.333	G0600,1614,5495
MAT 12:13	EXO 14:27	med	mt	3	0.311	G0600,1614,5495
MAT 12:15	PRO 19:6	med	mt	3	0.36	G2323,3956,4183
