strong	tw_article	category	is_kt	lemma	n
G3169	bible/kt/majesty	kt	1	μεγαλοπρεπής	1
G3172	bible/kt/majesty	kt	1	μεγαλωσύνη	3
G3173	bible/other/mighty	other	0	μέγας	4
G3177	bible/other/interpret	other	0	μεθερμηνεύω	4
G3178	bible/other/drunk	other	0	μέθη	3
G3182	bible/other/drunk	other	0	μεθύσκω	3
G3183	bible/other/drunk	other	0	μέθυσος	2
G3184	bible/other/drunk	other	0	μεθύω	7
G3192	bible/other/honey	other	0	μέλι	4
G3196	bible/other/member	other	0	μέλος	34
G3198	bible/names/melchizedek	names	0	Μελχισέδεκ	8
G3303	bible/kt/sonofman	kt	1	μέν	1
G3307	bible/other/assign	other	0	μερίζω	2
G3312	bible/other/mediator	other	0	μεριστής	1
G3316	bible/other/mediator	other	0	μεσίτης	6
G3318	bible/names/mesopotamia	names	0	Μεσοποταμία	2
G3321	bible/kt/heaven	kt	1	μεσουράνημα	1
G3323	bible/kt/christ	kt	1	Μεσσίας	2
G3333	bible/kt/call-speakloudly	kt	1	μετακαλέω	2
G3335	bible/other/receive	other	0	μεταλαμβάνω	1
G3338	bible/kt/repent	kt	1	μεταμέλομαι	4
G3340	bible/kt/repent	kt	1	μετανοέω	34
G3341	bible/kt/repent	kt	1	μετάνοια	22
G3343	bible/kt/call-speakloudly	kt	1	μεταπέμπω	3
G3344	bible/other/perverse	other	0	μεταστρέφω	1
G3353	bible/other/companion	other	0	μέτοχος	2
G3370	bible/names/mede	names	0	Μῆδος	1
G3376	bible/other/biblicaltimemonth	other	0	μήν	18
G3377	bible/other/report	other	0	μηνύω	1
G3388	bible/other/womb	other	0	μήτρα	2
G3392	bible/other/defile	other	0	μιαίνω	3
G3392	bible/other/corrupt	other	0	μιαίνω	2
G3394	bible/other/defile	other	0	μιασμός	1
G3404	bible/other/detestable	other	0	μισέω	1
G3405	bible/other/reward	other	0	μισθαποδοσία	2
G3407	bible/other/servant	other	0	μίσθιος	2
G3408	bible/other/reward	other	0	μισθός	20
G3411	bible/other/servant	other	0	μισθωτός	3
G3413	bible/names/michael	names	0	Μιχαήλ	2
G3418	bible/other/tomb	other	0	μνῆμα	9
G3419	bible/other/tomb	other	0	μνημεῖον	39
G3422	bible/other/memorialoffering	other	0	μνημόσυνον	1
G3428	bible/kt/adultery	kt	1	μοιχαλίς	7
G3429	bible/kt/adultery	kt	1	μοιχάω	5
G3430	bible/kt/adultery	kt	1	μοιχεία	2
G3431	bible/kt/adultery	kt	1	μοιχεύω	14
G3432	bible/kt/adultery	kt	1	μοιχός	3
G3434	bible/names/molech	names	0	Μολόχ	1
G3435	bible/other/defile	other	0	μολύνω	3
G3447	bible/other/cow	other	0	μοσχοποιέω	1
G3448	bible/other/cow	other	0	μόσχος	6
G3456	bible/other/mock	other	0	μυκτηρίζω	1
G3462	bible/kt/anoint	kt	1	μυρίζω	1
G3464	bible/other/oil	other	0	μύρον	6
G3466	bible/other/mystery	other	0	μυστήριον	28
G3471	bible/kt/foolish	kt	1	μωραίνω	2
G3472	bible/kt/foolish	kt	1	μωρία	5
G3473	bible/kt/foolish	kt	1	μωρολογία	1
G3474	bible/kt/foolish	kt	1	μωρός	13
G3475	bible/names/moses	names	0	Μωϋσῆς	70
G3475	bible/kt/lawofmoses	kt	1	Μωϋσῆς	9
G3478	bible/names/nazareth	names	0	Ναζαρέτ	12
G3479	bible/names/nazareth	names	0	Ναζαρηνός	6
G3480	bible/names/nazareth	names	0	Ναζωραῖος	13
G3480	bible/kt/jesus	kt	1	Ναζωραῖος	6
G3481	bible/names/nathan	names	0	Ναθάμ	1
G3485	bible/kt/temple	kt	1	ναός	44
G3493	bible/names/nahor	names	0	Ναχώρ	1
G3497	bible/names/naaman	names	0	Ναιμάν	1
G3508	bible/names/naphtali	names	0	Νεφθαλείμ	3
G3521	bible/other/fast	other	0	νηστεία	6
G3522	bible/other/fast	other	0	νηστεύω	20
G3525	bible/other/mind	other	0	νήφω	1
G3536	bible/names/nineveh	names	0	Νινευείτης	3
G3539	bible/other/understand	other	0	νοέω	14
G3540	bible/other/mind	other	0	νόημα	4
G3544	bible/other/law	other	0	νομικός	7
G3544	bible/kt/lawofmoses	kt	1	νομικός	1
G3545	bible/other/lawful	other	0	νομίμως	2
G3547	bible/other/teacher	other	0	νομοδιδάσκαλος	3
G3548	bible/other/law	other	0	νομοθεσία	1
G3549	bible/other/receive	other	0	νομοθετέω	1
G3551	bible/kt/lawofmoses	kt	1	νόμος	169
G3551	bible/other/law	other	0	νόμος	23
G3559	bible/other/admonish	other	0	νουθεσία	3
G3560	bible/other/admonish	other	0	νουθετέω	8
G3561	bible/other/newmoon	other	0	νουμηνία	1
G3563	bible/other/mind	other	0	νοῦς	22
G3563	bible/other/understand	other	0	νοῦς	2
G3565	bible/other/bride	other	0	νύμφη	5
G3566	bible/other/bridegroom	other	0	νυμφίος	16
G3568	bible/other/age-timeperiod	other	0	νῦν	4
G3575	bible/names/noah	names	0	Νῶε	8
G3588	bible/kt/kingdomofgod	kt	1	ὁ	99
G3588	bible/kt/sonofman	kt	1	ὁ	82
G3588	bible/kt/wordofgod	kt	1	ὁ	51
G3588	bible/kt/holyspirit	kt	1	ὁ	39
G3588	bible/kt/sonofgod	kt	1	ὁ	33
G3588	bible/kt/willofgod	kt	1	ὁ	23
G3588	bible/kt/kingofthejews	kt	1	ὁ	18
G3588	bible/names/johnthebaptist	names	0	ὁ	14
G3588	bible/kt/demon	kt	1	ὁ	13
G3588	bible/names/mountofolives	names	0	ὁ	11
G3588	bible/kt/inchrist	kt	1	ὁ	11
G3588	bible/names/marymagdalene	names	0	ὁ	10
G3588	bible/names/seaofgalilee	names	0	ὁ	7
G3588	bible/kt/jesus	kt	1	ὁ	6
G3588	bible/kt/godthefather	kt	1	ὁ	5
G3588	bible/other/bookoflife	other	0	ὁ	5
G3588	bible/names/jamessonofalphaeus	names	0	ὁ	4
G3588	bible/names/simonthezealot	names	0	ὁ	4
G3588	bible/kt/houseofgod	kt	1	ὁ	4
G3588	bible/kt/dayofthelord	kt	1	ὁ	4
G3588	bible/other/holycity	other	0	ὁ	4
G3588	bible/other/seize	other	0	ὁ	3
G3588	bible/kt/lastday	kt	1	ὁ	3
G3588	bible/kt/sonsofgod	kt	1	ὁ	2
G3588	bible/names/judasiscariot	names	0	ὁ	2
G3588	bible/kt/thetwelve	kt	1	ὁ	2
G3588	bible/names/jamessonofzebedee	names	0	ὁ	2
G3588	bible/kt/satan	kt	1	ὁ	2
G3588	bible/names/herodantipas	names	0	ὁ	2
G3588	bible/kt/peopleofgod	kt	1	ὁ	2
G3588	bible/names/herodthegreat	names	0	ὁ	1
G3588	bible/kt/israel	kt	1	ὁ	1
G3588	bible/other/12tribesofisrael	other	0	ὁ	1
G3588	bible/other/altarofincense	other	0	ὁ	1
G3588	bible/kt/judgmentday	kt	1	ὁ	1
G3588	bible/names/kidronvalley	names	0	ὁ	1
G3588	bible/names/thomas	names	0	ὁ	1
G3588	bible/kt/holyplace	kt	1	ὁ	1
G3588	bible/other/footstool	other	0	ὁ	1
G3588	bible/kt/god	kt	1	ὁ	1
G3588	bible/kt/evil	kt	1	ὁ	1
G3588	bible/kt/lawofmoses	kt	1	ὁ	1
G3588	bible/names/manofgod	names	0	ὁ	1
G3588	bible/kt/arkofthecovenant	kt	1	ὁ	1
G3600	bible/other/anguish	other	0	ὀδυνάω	2
G3602	bible/other/mourn	other	0	ὀδυρμός	1
G3604	bible/names/uzziah	names	0	Ὀζείας	2
G3609	bible/other/household	other	0	οἰκετεία	4
G3610	bible/other/servant	other	0	οἰκέτης	4
G3614	bible/other/house	other	0	οἰκία	87
G3614	bible/other/household	other	0	οἰκία	6
G3615	bible/other/household	other	0	οἰκιακός	2
G3616	bible/other/manager	other	0	οἰκοδεσποτέω	1
G3617	bible/kt/lord	kt	1	οἰκοδεσπότης	7
G3621	bible/other/manager	other	0	οἰκονομέω	1
G3622	bible/other/manager	other	0	οἰκονομία	9
G3623	bible/other/manager	other	0	οἰκονόμος	10
G3624	bible/other/house	other	0	οἶκος	96
