hebrew_strong	greek_strong	count
H0779	G2672	10
H0779	G71642	3
H0783	G0935	5
H0784	G4442	90
H0784	G2962	17
H0784	G2719	11
H0784	G2545	7
H0795	G0108	3
H0801	G2962	27
H0801	G3744	4
H0801	G4317	4
H0801	G3646	4
H0802	G1135	212
H0802	G5207	31
H0802	G2036	19
H0802	G1510	15
H0804	G0935	31
H0804	G1093	4
H0804	G3956	4
H0804	G3535	3
H0812	G1009	4
H0816	G0264	3
H0816	G0853	3
H0817	G2962	4
H0817	G0040	4
H0817	G0266	3
H0817	G0129	3
H0819	G2474	4
H0830	G2874	4
H0834	G2962	219
H0834	G1510	202
H0834	G4160	191
H0834	G3956	142
H0835	G3107	11
H0835	G2962	3
H0836	G0768	15
H0836	G5207	7
H0836	G5443	4
H0842	G4442	3
H0853	G2962	396
H0853	G3956	346
H0853	G5207	253
H0853	G4160	214
H0857	G2064	3
H0859	G1510	69
H0859	G5207	38
H0859	G2962	37
H0859	G2316	27
H0860	G3688	6
H0860	G3708	4
H0861	G2545	4
H0862	G4745	3
H0865	G5154	3
H0868	G3410	4
H0875	G5421	15
H0883	G5421	3
H0884	G5421	9
H0884	G3727	6
H0884	G2992	3
H0884	G2448	3
H0893	G5207	5
H0894	G0897	40
H0894	G0935	6
H0894	G2419	6
H0894	G2962	5
H0895	G0897	4
H0898	G0114	8
H0898	G3551	4
H0898	G1459	3
H0899	G2440	42
H0899	G4749	17
H0899	G1510	7
H0899	G4016	6
H0902	G5207	3
H0905	G3441	23
H0905	G3956	9
H0905	G1510	8
H0905	G4160	6
H0906	G4749	3
H0914	G1291	9
H0914	G0873	3
H0914	G5563	3
H0919	G3624	4
H0926	G5015	3
H0926	G4704	3
H0929	G2934	37
H0929	G3956	15
H0929	G1093	10
H0929	G1510	9
H0931	G1188	7
H0931	G4228	3
H0934	G0826	5
H0935	G2064	275
H0935	G1525	190
H0935	G1521	56
H0935	G2962	55
H0936	G1847	3
H0953	G5204	5
H0953	G2597	5
H0953	G1093	3
H0954	G0153	20
H0954	G2617	8
H0954	G0165	3
H0954	G1096	3
H0959	G0821	3
H0961	G1283	3
H0962	G4172	4
H0962	G3956	3
H0962	G2992	3
H0970	G1586	26
H0970	G2962	17
H0970	G3686	11
H0970	G2474	10
H0974	G1381	5
H0982	G3982	15
H0982	G2962	3
H0982	G2316	3
H0982	G1510	3
H0983	G3982	7
H0983	G1680	3
H0990	G2836	12
H0990	G1064	6
H0990	G1549	5
H0994	G1189	3
H0995	G4920	12
H0995	G1510	7
H0995	G3539	5
H0995	G4160	4
H0996	G3319	148
H0996	G5207	9
H0996	G1510	8
H0996	G1242	5
H0998	G4907	6
H0998	G1510	4
H1002	G4172	6
H1004	G3624	415
H1004	G2962	122
H1004	G2474	59
H1004	G3614	57
H1005	G2316	5
H1005	G3624	5
H1005	G2419	4
H1008	G2474	9
H1008	G2316	6
H1008	G4160	6
H1008	G1510	6
H1010	G3624	3
H1012	G2446	3
H1032	G4172	4
H1032	G3047	3
H1035	G5207	8
H1035	G1510	5
H1035	G0965	5
H1035	G0246	5
H1052	G2968	5
H1052	G1520	4
H1053	G2448	4
H1058	G2799	31
H1058	G3173	5
H1058	G2805	4
H1058	G2962	3
H1060	G4416	37
H1060	G5207	11
H1060	G4502	5
H1060	G2474	5
H1062	G4415	5
H1062	G2129	3
H1065	G2805	6
H1075	G5207	4
H1085	G5274	3
H1092	G5207	3
H1100	G0435	3
H1101	G2378	15
H1101	G4585	7
H1101	G1637	4
H1101	G0106	3
H1104	G2666	11
H1106	G5207	3
H1107	G2316	5
H1109	G0903	21
H1109	G2036	9
H1109	G0450	3
H1111	G0904	16
H1111	G2036	6
H1111	G0903	3
H1115	G1093	4
H1115	G0191	3
H1115	G3956	3
H1115	G0935	3
H1116	G5308	20
H1116	G4160	4
H1116	G2962	4
H1116	G3624	4
H1121	G5207	1781
H1121	G2474	193
H1121	G1510	84
H1121	G2962	61
H1123	G5207	3
H1124	G2675	3
H1124	G5117	3
H1129	G3618	112
H1129	G3624	18
H1129	G2962	16
H1129	G5207	12
H1130	G5207	8
H1130	G3004	4
H1130	G0191	3
H1131	G5207	3
H1137	G5207	8
H1141	G5207	11
H1141	G2409	3
H1142	G3924	3
H1144	G0958	58
H1144	G5207	16
H1144	G2474	6
H1144	G5443	5
H1145	G0958	5
H1146	G4383	3
H1157	G3956	5
H1157	G2992	5
H1157	G2316	3
H1157	G3624	3
H1162	G1003	11
H1162	G2036	4
H1165	G2934	3
H1167	G0435	13
H1167	G2962	7
H1167	G1510	5
H1167	G1325	3
H1168	G0896	18
H1168	G2379	4
H1168	G1398	3
H1168	G3624	3
H1176	G2316	3
H1177	G5207	4
H1187	G2962	3
H1188	G5117	4
H1195	G5207	3
H1196	G5207	3
H1197	G2545	8
H1197	G4442	5
H1197	G1572	4
H1197	G2962	4
H1201	G3624	3
H1201	G5207	3
H1212	G4160	3
H1214	G4931	3
H1219	G4172	5
H1231	G5207	4
H1234	G4486	7
H1234	G71281	3
H1241	G1016	37
H1241	G4263	14
H1241	G4992	12
H1241	G3448	6
H1242	G1096	14
H1242	G3719	7
H1242	G2073	6
H1242	G1510	4
H1245	G2212	35
H1245	G1510	6
H1245	G1567	6
H1245	G2147	4
H1254	G4160	10
H1254	G1093	4
H1254	G2936	4
H1259	G5464	8
H1270	G4604	12
H1270	G4603	4
H1271	G5207	4
H1272	G5343	8
H1272	G1510	4
H1272	G0080	3
H1272	G1138	3
H1277	G1588	3
H1280	G2374	4
H1280	G4160	3
H1280	G4769	3
H1283	G5207	5
H1285	G1242	64
H1285	G2962	19
H1285	G1510	9
H1285	G1303	8
H1288	G2127	87
H1288	G2962	26
H1288	G2316	11
H1288	G2036	9
H1290	G1119	5
H1293	G2129	17
H1293	G1093	3
H1295	G2523	3
H1295	G1102	3
H1300	G0796	5
H1301	G0913	5
H1305	G1588	4
H1314	G0759	6
H1315	G2269	3
H1316	G2730	4
H1316	G0932	4
H1316	G3128	4
H1316	G4172	3
H1319	G2097	5
H1320	G4561	51
H1320	G2907	34
H1320	G3956	12
H1320	G1510	9
H1322	G0152	4
H1323	G2364	144
H1323	G5207	25
H1323	G1135	22
H1323	G2968	17
H1324	G1510	3
H1330	G3933	12
