# source=MACULA Quotation and Speaker Data, (c) 2023 by Clear Bible, Inc, CC-BY-4.0, https://github.com/Clear-Bible/speaker-quotations/
# anchor=verse range (START/END VS → BBCCCVVV); consensus (Clear-Aligned-Projections)
speaker	alt_speaker	start_bbcccvvv	end_bbcccvvv	quote_type	delivery	divine
Jacob (Israel)		1032016	1032020	Normal		
Jacob (Israel)		1032026	1032026	Normal		
angel who wrestled with Jacob		1032026	1032026	Normal		
Jacob (Israel)		1032027	1032027	Normal		
angel who wrestled with Jacob		1032027	1032027	Normal		
angel who wrestled with Jacob		1032028	1032028	Normal		
Jacob (Israel)		1032029	1032029	Normal		
angel who wrestled with Jacob		1032029	1032029	Normal		
Jacob (Israel)		1032030	1032030	Normal		
Esau		1033005	1033005	Normal		
Jacob (Israel)		1033005	1033005	Normal		
Esau		1033008	1033009	Normal		
Jacob (Israel)		1033008	1033008	Normal		
Jacob (Israel)		1033010	1033011	Normal		
Esau		1033012	1033012	Normal		
Jacob (Israel)		1033013	1033015	Normal		
Shechem, son of Hamor		1034004	1034004	Normal		
Hamor, Hivite ruler		1034008	1034010	Normal		
Shechem, son of Hamor		1034011	1034012	Normal		
Simeon		1034014	1034017	Normal		
Hamor, Hivite ruler		1034021	1034023	Normal		
Jacob (Israel)		1034030	1034030	Normal		
Simeon		1034031	1034031	Normal		
God		1035001	1035001	Normal		Y
Jacob (Israel)		1035002	1035003	Normal		
God		1035010	1035012	Normal	blessing	Y
midwife of Rachel		1035017	1035017	Normal		
Joseph		1037006	1037007	Normal		
Levi		1037008	1037008	Normal		
Joseph		1037009	1037009	Normal		
Jacob (Israel)		1037010	1037010	Normal		
Jacob (Israel)		1037013	1037013	Normal		
Joseph		1037013	1037013	Normal		
Jacob (Israel)		1037014	1037014	Normal		
man (at Shechem)		1037015	1037015	Normal		
Joseph		1037016	1037016	Normal		
man (at Shechem)		1037017	1037017	Normal		
Levi		1037019	1037020	Normal		
Reuben		1037021	1037022	Normal		
Judah		1037026	1037027	Normal		
Reuben		1037030	1037030	Normal		
Levi		1037032	1037032	Normal		
Jacob (Israel)		1037033	1037033	Normal		
Jacob (Israel)		1037035	1037035	Normal		
Judah		1038008	1038008	Normal		
