# source=derived from resources/aligned_lex/arb.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
بِوَاسِطَةِ	G1223	0.769
بِٱلْحَرِيِّ	G3123,H0637	0.619
تَحْتَ	G5259,H8478	0.455
تَحْتَهُ	H8478	0.800
تَحْتُ	G2736,H4295,H8478	0.538
تَحْتِ	H8478	0.879
تِلْكَ	G1565,H1931	0.323
ثَمَّ	G2532,G3606,H8033	0.700
ثُمَّ	G1161,G2532	0.614
ثُمَّ	G2532	0.180
جِدّاً	G3029,G4056,G4970	0.132
جِدًّا	H3966	0.768
جِهَتِكُمْ	G4012,G5228	0.429
حَاشَا	G3361,H2486	0.587
حَتَّى	G2193,G2443,G2532	0.192
حَتَّى	H5704	0.340
حَقّاً	G0230,G3303,G3689	0.263
حَيْثُ	G3699,H0834	0.371
حِينَئِذٍ	G5119,H0116,H0227	0.424
حِينَمَا	G3752,H3588	0.262
خَارِجاً	G1854	0.818
دَائِماً	G0104,G1223,G3842	0.291
دُونَ	G3361,G3756	0.203
ذَاتِهِ	G1438	0.792
ذَاكَ	G1565,H2088	0.509
سَبِيلِ	G2596,G3588	0.360
سَوَاءٌ	G1535	0.565
سِلَاهْ	H5542	1.000
سِيَّمَا	G3122,G4056	0.769
ضِدَّ	G2596,H0413,H5921	0.308
عَلَى	G1909,H5921	0.389
عَلَيَّ	G1909,G3165,G3427	0.212
عَلَيَّ	H5921	0.619
عَلَيْكَ	H5921	0.520
عَلَيْكُمْ	G5209,H5921	0.432
عَلَيْكِ	H5921	0.688
عَلَيْنَا	G1909,H5921	0.477
عَلَيْهَا	H5921	0.588
عَلَيْهِ	G0846,G1909,H5921	0.390
عَلَيْهِمَا	G0846,H5921	0.486
عَلَيْهِمِ	G1909,G2532,H5921	0.500
عَلَيْهِمْ	G0846,G1909,H5921	0.494
عَنِ	G0575,H5921	0.137
عَنِّي	G0575,G3165,G4012	0.333
عَنَّا	H4480,H5921	0.476
عَنِّي	H4480,H5921	0.404
عَنْ	H5921	0.154
عَنْكَ	G0575,G4012,H4480,H5921	0.191
عَنْكُمْ	G4012,H5921	0.306
عَنْكِ	G0575,H4480,H5921	0.350
عَنْهَا	H4480,H5921	0.200
عَنْهُ	G4012,H4480,H5921,H8478	0.215
عَنْهُمْ	G0575,H5921	0.415
عِنْدَ	G3844	0.112
عِنْدَئِذٍ	G5119	0.706
عِنْدَمَا	G3752	0.224
عِوَضاً	G4012,G5228	0.900
عِوَضًا	H8478	0.925
غَيْرَ	G3361	0.179
غَيْرِي	G0243,H1107,H5750	0.312
فَأَنَا	G1473,H0589	0.218
فَأَيْنَ	G4226,H0335,H0346	0.400
فَإِذًا	G0686,G3767	0.571
فَإِذْ	G3767	0.340
فَإِنَّ	G1063,G3754	0.547
فَإِنَّكُمْ	G1063,G3754	0.388
فَإِنَّنَا	G1063	0.684
فَإِنَّهُ	G1063,G3754	0.425
فَإِنَّهُمْ	G1063,G3754	0.389
فَإِنِّي	G1063,G1473	0.596
فَإِنَّ	G1063,G3754,H3588	0.402
فَإِنَّكُمْ	G1063,H3588	0.591
فَإِنَّنَا	G1063	0.652
فَإِنَّهَا	G1063,H1931,H3588	0.333
فَإِنَّهُ	G1063,H3588	0.276
فَإِنَّهُمْ	G1063,H1992,H3588	0.286
فَإِنِّي	G1063,H3588	0.220
فَإِنْ	G1437,G1487,H0518	0.332
فَتَقَدَّمَ	G2532,G5119	0.625
فَحَتَّى	G2532,G3761	0.625
فَحِينَئِذٍ	G5119,H0227	0.826
فَذَلِكَ	G5228,H1931	0.500
فَصَاعِدًا	H1973,H4605	0.830
فَفِي	G1722,G3916	0.273
فَقَدْ	G1063	0.114
