lex,default
>CRH/,Ashéra
>CRJ/,Asérite
>CR[,qui
>CT>L/,Eshtaol
>CT>LJ/,Eshtaolite
>CTWN/,Eshtôn
>CWR/,Assour
>CWR=/,Assour
>CWR==/,Assour
>CXWR/,Ashehour
>D/,brume
>DB>L/,Adbéel
>DB[,attrister
>DC[,"fouler, battre, écraser"
>DD/,Hadad
>DJR/,puissant
>DLJ>/,Adalia
>DM/,humain
>DM=/,rouge
>DM==/,rubis
>DM===/,humain
>DM====/,humain
>DMDM/,rougeâtre
>DMH/,sol
>DMH=/,Adma
>DMH==/,sol
>DMNJ/,roux
>DMT>/,Admatha
>DM[,être rouge
>DN/,base
>DN=/,Addan
>DNJ/,Seigneur
>DNJQM/,Adoniqam
>DNJRM/,Adoniram
>DNJ_BZQ/,Adoni-Bèzeq
>DNJ_YDQ/,Adoni-Tsèdeq
>DR/,honneur
>DR<J/,Édrèi
>DR==/,Addar
>DR===/,Addar
>DRM/,Adoram
>DRMLK/,Adrammèlekh
>DRMLK=/,Adrammèlekh
>DRT/,majesté
>DR[,"être grand, être majestueux, être glorieux"
>DW/,Iddo
>DWM/,Édom
>DWN/,seigneur
>DWRJM/,Adoraïm
>FR>L/,Asareël
>FR>LH/,Asareéla
>FRJ>L/,Asriel
>FRJ>LJ/,Asriélite
>G>/,Agué
>GDH/,corde
>GG/,Agag
>GGJ/,Agaguite
>GL/,gouttes
>GLJM/,Églaïm
>GM/,étang
>GM=/,attristé
>GMWN/,jonc
>GN/,coupe
>GP/,armée
>GRP/,poing
>GRT/,lettre
>GRVL/,plat
>GR[,amasser
>GWR/,Agour
>GWRH/,pièce d'argent
>GWZ/,noyer
>HB/,faire l'amour
>HB=/,être ravissant
>HBH/,amour
>HB[,aimer
>HD/,Ohad
>HH,ah
>HL/,tente
>HL=/,tente
>HL==/,bois d'agar
>HLH/,Ohola
>HLJ>B/,Oholiab
>HLJBH/,Oholiba
>HLJBMH/,Oholibama
>HLJBMH=/,Oholibama
>HRN/,Aaron
>HW>/,Ahawa
>HWD/,Éhoud
>J<ZR/,Ièzèr
>J<ZRJ/,Ièzerite
>JBH/,inimitié
>JC/,personne
>JCHWD/,Ishhod
>JC_BCT/,personne
>JD/,calamité
>JH,où?
>JKH=,où?
>JL/,daim
>JL=/,bélier
>JL==/,bélier
>JL===/,bélier
>JL====/,force
>JLH/,daine
>JLM=/,Élim
>JLWN/,Élôn
>JLWN=/,Élôn
>JLWN==/,Ayalôn
>JLWT/,force
>JL_P>RN/,El Parân
>JM/,troublant
>JMH/,terreur
>JMJ/,Émim
>JN,d'où?
>JN/,d'où?
>JN=,y a-t-il... ?
>JPH,où? comment?
>JPH/,épha
>JTJ>L/,Ithiel
>JTMR/,Itamar
>JTN/,permanent
>JTN=/,permanent
>JWB/,Job
>JZBL/,Jézabel
>K,seulement
>KCP/,Akshaf
>KD/,Akkad
>KJC/,Akish
>KJLH/,nourriture
>KL/,"nourriture, vivres"
>KL=/,Oukal
>KLH/,nourriture
>KL[,manger
>KN,assurément
>KP/,pression
>KR/,paysan
>KZB/,trompeur
>KZJB/,Akzib
>KZR/,cruel
>KZRJ/,cruel
>KZRJWT/,"cruauté, férocité"
>L<D/,Éléad
>L<DH/,Éleada
>L<FH/,Èleasa
>L<WZJ/,Élouzaï
>L<ZR/,Éléazar
>L>/,Ela
>LD<H/,Eldaa
>LDD/,Eldad
>LGBJC/,grêle
>LH,"ces, ceux-ci"
>LH/,térébinthe
>LH=/,serment
>LH==/,térébinthe
>LH===/,térébinthe
>LHJM/,êtres célestes
>LJ<M/,Èliam
>LJ<ZR/,Éliézer
>LJ>B/,Éliab
>LJ>L/,Èliel
>LJ>TH/,Èliata
>LJC</,Élisée
>LJCB</,Èlishèba
>LJCH/,Èlisha
>LJCJB/,Elyashib
>LJCM</,Élishama
>LJCPV/,Èlishafat
>LJCW</,Èlishoua
>LJD</,Élyada
>LJDD/,Èlidad
>LJH/,queue grasse
>LJH=/,Élie
>LJHW=/,Élihou
>LJL/,image
>LJMLK/,Élimèlek
>LJPL/,Èlifal
>LJPLHW/,Èlifeléhou
>LJPZ/,Èlifaz
>LJQ>/,Èliqa
>LJQJM/,Elyaqim
>LJSP/,Eliasaph
>LJXB>/,Éliahba
>LJXRP/,Élihoreph
>LJYWR/,Èlitsour
>LLJ,ah là là! hélas !
>LM/,muet
>LM=/,silence
>LMGJM/,genévrier
>LMH/,gerbe
>LMLK/,Alammèlek
>LMN/,veuvage
>LMN=/,veuf
>LMNH/,veuve
>LMNJ/,"un tel, un certain"
>LMNWT/,veuvage
>LMWDD/,Almodad
>LN<M/,Elnaam
>LNJ/,Élonite
>LNTN/,Elnathan
>LP<L/,Elpaal
>LQCJ/,Elqoshite
>LQNH/,Elqana
>LQWM/,personne n'ose résister
>LSR/,Ellasar
>LTQ>/,Elteqé
>LTQN/,Elteqôn
>LTWLD/,Eltolad
>LW,si seulement
>LWC/,Aloush
>LWH/,être divin
>LWL/,Elul
>LWN/,chêne
>LWN==/,Élôn
>LWP/,chef
>LWP=/,chef
>LXNN/,Elhanân
>LX[,être mauvais
>LY[,excéder
>LZBD/,Elzabad
>M/,mère
>MC/,crépuscule
>MH/,esclave
>MH=/,coudée
>MH===/,coudée
>MH====/,coudée
>MJ/,Ami
>MJR/,rameau
>MJY/,fort
>MLL/,minable
>MLL=/,languissant
>ML[,dépérir
>MM/,Amam
>MN,amen
>MN/,fidélité
>MN=/,fidélité
>MNH/,linteau
>MNH==/,"accord, contrat"
>MNH===/,"accord, contrat"
>MNM=,vraiment ? véritablement ? est-il vrai ?
>MNWN/,Amnon
>MN[,affermir
>MR/,mot
>MR=/,parole
>MR==/,mot
>MR===/,Immer
>MRH/,paroles
>MRJ/,Amorite
>MRJ=/,Imri
>MRPL/,Amrafel
>MR[,dire
>MT/,fidélité
>MTJ/,Amittaï
>MTXT/,sac
>MWNH/,fixité
>MWY/,Amots
>MY/,force
>MY=/,pommelé
>MYH/,force
>MYJ/,Amtsi
>MYJH/,Amatsia
>MY[,être fort
>N,où?
>N>,s'il te plaît
>NC/,humain
>NJ,je
>NJ/,flotte
>NJ<M/,Aniam
>NJH/,navire
>NJH=/,lamentation
>NK/,fil à plomb
>NN[,se plaindre
>NPH/,héron
>NP[,être en colère
>NQ[,soupirer
>NTH,tu
>NWC/,personne
>NXH/,soupir
>NXRT/,Anaharath
>NX[,soupirer
>P</,inutile
>P<H/,vipère
