strong	sense	gloss	count	share
G0642	1	having been bereaved	1	1.0
G0643	1	having packed the baggage	1	1.0
G0644	1	shadow	1	1.0
G0645	1	withdrew	2	0.4
G0646	1	apostasy	2	1.0
G0647	1	divorce	2	0.667
G0648	1	they removed	1	1.0
G0649	1	sent	119	0.93
G0649	2	he sent	6	0.047
G0650	1	shall you defraud	3	0.5
G0650	2	deprive	2	0.333
G0651	1	apostleship	4	1.0
G0652	1	apostles	78	0.987
G0653	1	make speak	1	1.0
G0654	1	you shall turn away from	4	0.444
G0654	2	turning away from	3	0.333
G0655	1	abhorring	1	1.0
G0656	1	expelled from the synagogue	3	1.0
G0657	1	having taken leave of	4	0.667
G0657	2	having taken leave of	2	0.333
G0658	2	I complete	1	0.5
G0659	1	put [him	3	0.333
G0659	4	laid aside	2	0.222
G0659	3	Are to have put off	2	0.222
G0659	2	having put aside	2	0.222
G0660	1	shake off	2	1.0
G0661	1	will repay [it	1	1.0
G0662	1	is very bold	1	1.0
G0663	1	severity	2	1.0
G0665	1	turn away from	1	1.0
G0666	1	absence	1	1.0
G0667	1	he carried away	3	0.5
G0667	2	were brought	2	0.333
G0668	1	having escaped	3	1.0
G0669	2	utter forth	1	0.333
G0670	1	unloading	1	1.0
G0671	1	use	1	1.0
G0672	1	it departs	2	0.667
G0673	2	separated	1	0.5
G0674	1	fainting	1	1.0
G0676	1	unapproachable	1	1.0
G0677	1	without offense	2	0.667
G0679	1	from stumbling	1	1.0
G0680	1	touched	33	0.971
G0681	1	having lighted	5	1.0
G0683	1	did reject	4	0.667
G0683	2	pushed away	2	0.333
G0684	1	destruction	16	0.889
G0684	2	waste	2	0.111
G0685	1	cursing	1	1.0
G0689	1	Admin	1	1.0
G0691	1	is idle	1	1.0
G0692	1	idle	4	0.5
G0692	2	worthless	2	0.25
G0693	1	silver	2	1.0
G0694	1	silver	11	0.55
G0694	2	money	6	0.3
G0694	3	pieces of silver	3	0.15
G0695	1	silversmith	1	1.0
G0696	1	silver	4	1.0
G0697	1	Hill	3	1.0
G0699	1	pleasing	1	1.0
G0700	1	please	16	1.0
G0701	1	pleasing	3	0.75
G0703	1	virtue	4	1.0
G0704	1	lambs	1	1.0
G0705	1	numbered	2	0.667
G0706	1	number	17	1.0
G0709	1	He would dine	1	0.333
G0710	1	left [hand	4	1.0
G0712	1	dinner	2	0.667
G0713	1	Sufficient	3	1.0
G0714	1	being satisfied	4	0.571
G0714	2	are sufficient	2	0.286
G0715	1	bear’s	1	1.0
G0716	1	chariot	4	1.0
G0717	1	Armageddon	1	1.0
G0718	1	I have betrothed	1	1.0
G0719	1	joints	1	1.0
