# Hebrew Strong's pairs with highly similar per-book occurrence profiles — a free
# approximation of SDBH's `ctx` (contextual/situational) domain axis, NOT the `core`
# (concept/synonymy) axis every other signal in this pipeline targets. Derived entirely
# from public-domain WLC occurrence counts. Validated 2026-08 at 45.6% SDBH ctx-agreement
# vs. 13.81% random baseline. NOT wired into build_semantic_neighbors.py — see
# build_genre_context_pairs.py's docstring for why.
strong_a	strong_b	cosine
H3179	H3290	0.9629
H3179	H7430	0.951
H3179	H4033	0.9495
H3179	H8248	0.9304
H3182	H4937	0.9091
H3182	H3908	0.9091
H3182	H5787	0.9079
H3182	H6957	0.9045
H3182	H7898	0.9045
H3182	H5251	0.9016
H3189	H6022	0.9947
H3189	H8092	0.9899
H3189	H8060	0.9899
H3189	H3469	0.9899
H3189	H8348	0.9899
H3189	H3936	0.9899
H3189	H3395	0.9806
H3189	H3396	0.98
H3189	H3406	0.9717
H3189	H5840	0.9667
H3189	H7145	0.9621
H3189	H8019	0.9621
H3189	H4256	0.9596
H3189	H5816	0.9436
H3189	H5654	0.9397
H3189	H6222	0.9295
H3189	H4317	0.9054
H3198	H5410	0.9136
H3198	H7950	0.9052
H3201	H3651	0.9
H3205	H3877	0.9709
H3205	H8555	0.9556
H3205	H3355	0.9556
H3205	H3382	0.9478
H3205	H7956	0.9379
H3205	H3459	0.9376
H3205	H6147	0.9281
H3205	H7467	0.9274
H3205	H5780	0.9194
H3225	H5769	0.9411
H3225	H5945	0.9325
H3225	H5148	0.9317
H3225	H3884	0.9275
H3225	H7892	0.9272
H3225	H6887	0.9212
H3225	H5828	0.9005
H3231	H8041	1.0
H3233	H3508	0.9651
H3233	H7819	0.965
H3233	H5061	0.9627
H3233	H8263	0.9609
H3233	H6187	0.9603
H3233	H6883	0.9581
H3233	H7147	0.9567
H3233	H5424	0.9567
H3233	H6172	0.9539
H3233	H8571	0.953
H3233	H7677	0.9462
H3233	H3767	0.9413
H3233	H3247	0.9335
H3233	H8042	0.9276
H3233	H4227	0.9087
H3238	H8077	0.9156
H3247	H6187	0.9452
H3247	H5785	0.9368
H3247	H5061	0.9333
H3247	H3508	0.9268
H3247	H8263	0.9252
H3247	H7613	0.9238
H3247	H7147	0.9238
H3247	H5424	0.9238
H3247	H3629	0.9074
H3266	H7732	0.9827
H3266	H3355	0.9562
H3266	H8555	0.9562
H3266	H4927	0.9174
H3273	H3406	0.9613
H3273	H4256	0.9566
H3273	H6022	0.9343
H3273	H8019	0.9328
H3273	H5840	0.908
H3278	H5516	0.9729
H3278	H6759	0.9713
H3278	H3378	0.9702
H3278	H3316	0.9653
H3278	H8123	0.9608
H3278	H7028	0.9436
H3278	H3919	0.9085
H3282	H7023	0.9365
H3282	H4975	0.9341
H3282	H4923	0.931
H3282	H6864	0.9285
H3282	H6311	0.9239
H3282	H4383	0.9174
H3282	H8481	0.9045
H3290	H6820	0.9702
H3290	H6509	0.9655
H3290	H7666	0.9592
H3290	H3999	0.9579
H3290	H8283	0.9561
H3290	H5146	0.9559
H3290	H8248	0.9533
H3290	H8352	0.9468
H3290	H5467	0.9452
H3290	H6017	0.9374
H3308	H6928	0.9671
H3308	H6288	0.9505
H3308	H4058	0.9467
H3308	H4383	0.9451
H3308	H4805	0.943
H3308	H4658	0.9379
H3308	H6921	0.9365
H3308	H3639	0.9156
H3308	H4911	0.9043
H3309	H4054	0.93
H3312	H4733	0.976
H3312	H4244	0.954
H3312	H4294	0.9484
H3312	H5126	0.9398
H3312	H4940	0.9098
H3313	H7880	0.9313
H3313	H6620	0.9303
H3313	H6757	0.9233
H3315	H7018	0.9998
H3315	H4968	0.9998
H3315	H8286	0.9997
H3315	H6034	0.9947
H3315	H6649	0.9947
H3315	H3382	0.9869
H3315	H4111	0.9811
H3315	H6714	0.9484
H3315	H5032	0.9484
H3316	H8123	0.9987
H3316	H4495	0.9987
H3316	H3378	0.9985
H3316	H6759	0.9946
H3316	H5516	0.994
H3316	H6084	0.9405
H3316	H6881	0.9356
H3318	H6440	0.9582
H3318	H6213	0.9539
H3318	H3605	0.9512
H3318	H4480	0.9493
H3318	H5414	0.944
H3318	H5927	0.9338
H3318	H4191	0.9275
H3318	H3651	0.9216
H3318	H3947	0.9157
H3318	H8033	0.9136
H3318	H7971	0.9086
H3318	H5647	0.9039
H3327	H8392	0.993
H3327	H3876	0.9904
H3327	H6711	0.9894
H3327	H5152	0.989
H3327	H3929	0.9887
H3327	H6215	0.9879
H3327	H4033	0.9426
H3327	H6636	0.9192
H3327	H4735	0.9031
H3330	H6598	1.0
H3330	H7714	1.0
H3330	H4335	1.0
H3330	H5664	1.0
H3330	H3961	1.0
H3330	H5135	1.0
H3330	H5942	0.9901
H3330	H7117	0.9707
H3335	H5034	0.9464
H3335	H6476	0.9456
H3335	H7588	0.9437
H3335	H6286	0.9325
H3335	H4885	0.9318
H3335	H7898	0.9265
H3335	H7600	0.9233
H3335	H4937	0.9195
H3335	H5445	0.9163
H3335	H6770	0.9068
H3335	H6716	0.9062
H3335	H5251	0.9004
H3341	H5498	0.9404
H3341	H8048	0.9267
H3341	H5018	0.922
H3341	H5418	0.9218
H3341	H7143	0.9213
H3341	H8612	0.9171
H3344	H8460	0.9106
H3355	H8555	1.0
H3355	H3877	0.9899
H3355	H7732	0.9487
H3364	H3537	0.9657
H3364	H4554	0.9019
H3366	H6332	0.9578
H3366	H4782	0.9575
H3366	H4436	0.9286
H3369	H4146	0.9167
H3372	H8064	0.9318
H3374	H7686	0.9428
H3374	H8551	0.9355
H3374	H8193	0.9276
H3374	H6662	0.9228
H3374	H8394	0.9152
H3374	H3887	0.9134
H3374	H8572	0.9045
H3378	H8123	0.9971
H3378	H4495	0.9971
H3378	H5516	0.9947
H3378	H6759	0.993
H3378	H6084	0.94
H3379	H7639	0.9602
H3379	H3805	0.9526
H3379	H4350	0.9392
H3379	H5022	0.9205
H3379	H5696	0.9139
H3379	H8010	0.9114
H3381	H5927	0.9049
H3382	H6034	0.9983
H3382	H6649	0.9983
H3382	H8286	0.9908
H3382	H7956	0.9832
H3382	H3877	0.9656
H3382	H6714	0.9518
H3382	H5032	0.9518
H3382	H3459	0.9502
H3382	H6147	0.9338
H3382	H7467	0.9218
H3383	H3405	0.9382
H3383	H3672	0.9346
H3383	H6252	0.9051
H3383	H6177	0.9025
H3394	H3857	0.9091
H3395	H5840	0.9806
H3395	H6022	0.9754
H3395	H7509	0.9754
H3395	H3936	0.9707
H3395	H8060	0.9707
H3395	H8348	0.9707
H3395	H3469	0.9707
H3395	H3406	0.9528
H3395	H5662	0.9516
H3395	H4256	0.9507
H3395	H8087	0.9479
H3395	H5816	0.9398
H3395	H5813	0.9388
H3395	H7027	0.9329
H3396	H3469	0.9899
H3396	H8092	0.9899
H3396	H3936	0.9899
H3396	H8060	0.9899
H3396	H8348	0.9899
H3396	H6069	0.9381
H3405	H8444	0.9632
H3405	H3840	0.9486
H3405	H3672	0.9439
H3405	H5857	0.9268
H3405	H4719	0.925
H3405	H5912	0.925
H3405	H6252	0.9096
H3406	H4256	0.9924
H3406	H6022	0.9908
H3406	H5840	0.9629
H3406	H7145	0.9475
H3406	H8019	0.9475
H3406	H6222	0.9154
H3407	H3503	0.9959
H3407	H4225	0.9959
H3407	H5450	0.9959
H3407	H3924	0.9959
H3407	H6472	0.9959
H3407	H7806	0.9959
H3407	H7165	0.9959
H3407	H7098	0.9857
H3407	H6854	0.9839
H3407	H8504	0.9773
H3407	H8438	0.9733
H3407	H8144	0.9731
H3407	H6395	0.9716
H3407	H6157	0.9638
H3407	H7718	0.9376
H3407	H7757	0.9354
H3407	H3843	0.9213
H3407	H8401	0.9091
H3407	H4501	0.9051
H3412	H4054	0.9492
H3414	H6583	0.9697
H3414	H6068	0.9649
H3414	H6667	0.9492
H3423	H3425	0.9346
H3423	H5747	0.9111
H3425	H5747	0.946
H3425	H5394	0.9032
H3427	H7725	0.932
H3427	H8085	0.9236
H3427	H3605	0.9156
H3427	H4480	0.9077
H3427	H3772	0.9038
H3427	H3588	0.9033
H3442	H4822	0.9915
H3442	H5411	0.9867
H3442	H4983	0.9832
H3442	H6355	0.9754
H3442	H4409	0.9744
H3442	H5830	0.9663
H3442	H6934	0.9659
H3442	H8274	0.9659
H3442	H5720	0.9196
H3442	H4641	0.9051
H3444	H4268	0.9834
H3444	H4131	0.9773
H3444	H7442	0.977
H3444	H6382	0.9758
H3444	H8416	0.9742
H3444	H4285	0.9694
H3444	H5833	0.9673
H3444	H8398	0.9643
H3444	H4869	0.9628
H3444	H6664	0.9586
H3444	H7440	0.9582
H3444	H6429	0.9558
H3444	H6041	0.9494
H3444	H3721	0.9462
H3444	H5123	0.9422
H3444	H5849	0.9397
H3444	H5769	0.9337
H3448	H8050	0.9757
H3448	H7586	0.9742
H3448	H4634	0.9722
H3448	H5941	0.967
H3448	H6430	0.9601
H3448	H3902	0.9525
H3448	H5909	0.9285
H3448	H5036	0.9265
H3448	H5011	0.9208
H3449	H3936	0.9806
H3449	H8092	0.9806
H3449	H8060	0.9806
H3449	H3469	0.9806
H3449	H8348	0.9806
H3449	H8019	0.9636
H3449	H5820	0.9636
H3449	H4249	0.9405
H3449	H3713	0.9341
H3449	H5813	0.9192
H3449	H5798	0.9158
H3449	H4317	0.904
H3458	H7458	0.9214
H3459	H6034	0.9439
H3459	H6649	0.9439
H3459	H3877	0.9381
H3459	H7956	0.9342
H3469	H8092	1.0
H3469	H8060	1.0
H3469	H3936	1.0
H3469	H8348	1.0
H3469	H7509	0.9701
H3476	H8572	0.9305
H3478	H5927	0.937
H3478	H6235	0.9005
H3481	H7147	0.9701
H3481	H3849	0.9701
H3481	H5424	0.9701
H3481	H4348	0.9701
H3481	H4134	0.9701
H3481	H6581	0.9701
H3481	H5061	0.9683
H3481	H5997	0.9662
H3485	H5321	0.9511
H3485	H3612	0.9143
H3485	H4353	0.9141
H3485	H3756	0.9083
H3485	H6955	0.9036
H3488	H8421	0.9989
H3488	H3705	0.9927
H3488	H5312	0.9738
H3488	H6842	0.9684
H3488	H6538	0.9461
H3488	H3984	0.943
H3488	H7960	0.9245
H3490	H4962	0.939
H3492	H5942	0.9704
H3492	H5958	0.9577
H3492	H6598	0.9562
H3492	H3961	0.9562
H3492	H6922	0.9562
H3492	H5135	0.9562
H3499	H7393	0.9029
H3503	H5450	1.0
H3503	H6472	1.0
H3503	H7165	1.0
H3503	H4225	1.0
H3503	H3924	1.0
H3503	H7806	1.0
H3503	H8246	1.0
H3503	H7175	0.9989
H3503	H3730	0.9961
H3503	H4345	0.9864
H3503	H6854	0.9839
H3503	H7098	0.9834
H3503	H5572	0.9806
H3503	H8504	0.9754
H3503	H3717	0.9701
H3503	H6157	0.9615
H3503	H7718	0.9354
H3503	H7757	0.915
H3504	H6953	1.0
H3504	H5531	1.0
H3504	H6045	1.0
H3504	H4745	0.9526
H3504	H5530	0.9285
H3504	H7468	0.9272
H3505	H5896	0.9806
H3505	H5654	0.968
H3505	H8583	0.9231
H3505	H6069	0.9199
H3508	H8571	0.9947
H3508	H7677	0.9902
H3508	H3767	0.9825
H3508	H7902	0.9825
H3508	H6187	0.9816
H3508	H5424	0.9762
H3508	H7147	0.9762
H3508	H5785	0.967
H3508	H6154	0.9597
H3508	H8453	0.9593
H3511	H6026	0.9303
H3511	H3882	0.9129
H3511	H7281	0.9071
H3519	H7311	0.9437
H3519	H6666	0.9377
H3519	H6664	0.9128
H3519	H7440	0.9074
H3519	H5337	0.9023
H3524	H6211	0.952
H3524	H6174	0.9446
H3524	H4165	0.9349
H3524	H7415	0.9309
H3524	H6663	0.9284
H3524	H7267	0.9142
H3524	H5154	0.9115
H3526	H5137	0.9899
H3526	H3722	0.9813
H3526	H6187	0.9671
H3526	H8453	0.965
H3526	H8181	0.9529
H3526	H7785	0.9467
H3532	H6241	0.9906
H3532	H7086	0.9733
H3532	H5996	0.9705
H3532	H6302	0.9705
H3532	H5881	0.9705
H3532	H5918	0.9705
H3532	H7707	0.9705
H3532	H5145	0.9686
H3532	H5262	0.9646
H3532	H5713	0.9602
H3532	H4289	0.9591
H3532	H5560	0.9492
H3532	H5144	0.9436
H3532	H6499	0.9303
H3532	H4931	0.9209
H3532	H8255	0.9148
H3532	H7131	0.908
H3537	H4554	0.9086
H3540	H8297	1.0
H3540	H7408	1.0
H3540	H4471	1.0
H3540	H6124	1.0
H3540	H5711	1.0
H3540	H5470	1.0
H3540	H6623	1.0
H3540	H6622	1.0
H3540	H7259	1.0
H3540	H4375	1.0
H3540	H6307	1.0
H3540	H3812	0.9995
H3540	H7354	0.9988
H3540	H5146	0.9973
H3540	H3876	0.9972
H3540	H3999	0.9965
H3540	H7014	0.9923
H3540	H4303	0.9487
H3541	H6624	0.9414
H3541	H5002	0.9378
H3541	H5297	0.9332
H3541	H8610	0.9279
H3541	H6412	0.9194
H3541	H5550	0.9132
H3544	H8263	0.9102
H3547	H8438	0.9707
H3547	H5561	0.9677
H3547	H8504	0.9632
H3547	H8144	0.9618
H3547	H4501	0.9532
H3547	H7175	0.9529
H3547	H3727	0.9523
H3547	H6363	0.9436
H3547	H7718	0.9373
H3547	H6525	0.9107
H3553	H4696	0.9058
H3559	H3658	0.9085
H3559	H4043	0.9048
H3564	H8441	0.9252
H3576	H7950	0.9051
H3588	H3808	0.9534
H3588	H4480	0.9504
H3588	H6963	0.9415
H3588	H8085	0.939
H3588	H7725	0.936
H3588	H3605	0.9357
H3588	H7200	0.9269
H3588	H5869	0.9244
H3588	H7489	0.9042
H3588	H5704	0.9014
H3595	H6823	0.9651
H3595	H5982	0.9405
H3595	H4526	0.9219
H3605	H6440	0.9822
H3605	H4480	0.9791
H3605	H5921	0.9669
H3605	H5414	0.9579
H3605	H3772	0.9361
H3605	H5971	0.933
H3605	H5704	0.9292
H3605	H7725	0.9257
H3605	H3808	0.9255
H3605	H6213	0.9206
H3605	H3651	0.9139
H3605	H4725	0.9023
H3608	H4525	0.9058
H3612	H4353	0.9064
H3615	H3778	0.9013
H3615	H5297	0.9011
H3629	H4171	0.9403
H3629	H6154	0.9188
H3629	H5061	0.9108
H3629	H6187	0.9098
H3629	H8453	0.9014
H3639	H4911	0.9543
H3639	H6928	0.9468
H3639	H4383	0.9167
H3639	H3715	0.9124
H3639	H8482	0.9061
H3639	H6530	0.9017
H3639	H8210	0.9002
H3651	H7760	0.9271
H3651	H4480	0.9239
H3651	H7200	0.9236
H3651	H5921	0.9101
H3651	H6440	0.9089
H3651	H7121	0.9018
H3660	H3674	1.0
H3660	H5406	1.0
H3665	H4543	0.9081
H3665	H4694	0.9055
H3667	H8646	0.9779
H3667	H4435	0.968
H3667	H7014	0.9613
H3667	H6509	0.9479
H3667	H6711	0.9452
H3667	H4735	0.9157
H3668	H7346	0.9425
H3668	H8010	0.9376
H3668	H4321	0.9162
H3668	H3734	0.9152
H3672	H8444	0.933
H3672	H6252	0.9193
H3672	H4719	0.9177
H3672	H5912	0.9177
H3672	H5857	0.9147
H3674	H5406	1.0
H3686	H7326	0.9531
H3686	H7389	0.9359
H3686	H6102	0.9359
H3686	H8419	0.9302
H3686	H6223	0.9221
H3705	H8421	0.9859
H3705	H3984	0.9762
H3705	H6842	0.9468
H3705	H7960	0.94
H3705	H5673	0.9216
H3709	H4325	0.9167
H3717	H7175	0.9741
H3717	H5450	0.9701
H3717	H6472	0.9701
H3717	H8246	0.9701
H3717	H3924	0.9701
H3717	H4971	0.9507
H3717	H7718	0.9399
H3717	H3843	0.9235
H3717	H6763	0.908
H3717	H7251	0.9075
H3721	H4268	0.9418
H3721	H4131	0.9406
H3721	H4869	0.9345
H3721	H8416	0.9297
H3721	H6382	0.9265
H3721	H5833	0.9246
H3722	H5137	0.9807
H3722	H7126	0.9686
H3722	H7785	0.9622
H3722	H7902	0.9591
H3722	H4744	0.9546
H3722	H8573	0.9484
H3722	H7819	0.9385
H3722	H8002	0.9355
H3722	H5079	0.9302
H3722	H7275	0.9087
H3725	H7550	0.9548
H3725	H8573	0.9355
H3725	H4682	0.9325
H3725	H4888	0.9203
H3725	H4150	0.9105
H3725	H7637	0.9031
H3727	H6532	0.9924
H3727	H4701	0.9905
H3727	H4888	0.9825
H3727	H8144	0.9732
H3727	H8438	0.9727
H3727	H5561	0.9647
H3727	H4394	0.9609
H3727	H7603	0.9498
H3727	H6016	0.9143
H3730	H4225	0.9961
H3730	H8246	0.9961
H3730	H6472	0.9961
H3730	H7806	0.9961
H3730	H3924	0.9961
H3730	H7165	0.9961
H3734	H8010	0.9594
H3734	H4321	0.9513
H3734	H5458	0.9479
H3734	H7346	0.941
H3734	H6137	0.9303
H3734	H6441	0.9028
H3738	H4820	0.9028
H3738	H4970	0.9005
H3742	H7341	0.9217
H3742	H8484	0.9151
H3742	H3802	0.9121
H3756	H6955	0.9322
H3756	H7552	0.9197
H3761	H6678	0.9157
H3761	H5333	0.9037
H3767	H8571	0.9877
H3767	H7677	0.9871
H3767	H7902	0.9756
H3767	H5785	0.9591
H3767	H6187	0.9508
H3767	H6531	0.9183
H3772	H4480	0.934
H3772	H5921	0.9286
H3772	H6440	0.9249
H3772	H3808	0.921
H3772	H5971	0.9199
H3774	H6432	0.9354
H3775	H5347	0.9943
H3775	H8318	0.9308
H3778	H8471	0.9431
H3778	H5018	0.9406
H3778	H5418	0.9399
H3778	H5428	0.9398
H3778	H7143	0.9388
H3778	H8048	0.9379
H3778	H7611	0.9131
H3789	H5612	0.9202
H3802	H7341	0.9012
H3805	H4350	0.994
H3805	H5696	0.9636
H3805	H5022	0.9628
H3805	H7639	0.9577
H3805	H6018	0.9381
H3805	H8656	0.9047
H3808	H4480	0.9521
H3808	H5921	0.9417
H3808	H8085	0.9338
H3808	H6440	0.9208
H3808	H7760	0.9094
H3808	H6437	0.9081
H3808	H6963	0.9077
H3812	H8297	0.9995
H3812	H6124	0.9995
H3812	H4375	0.9995
H3812	H4471	0.9995
H3812	H5348	0.9995
H3812	H5470	0.9995
H3812	H7354	0.999
H3812	H7641	0.9647
H3816	H7682	0.9408
H3816	H8173	0.9291
H3816	H6960	0.9139
H3816	H6468	0.9083
H3816	H7337	0.9009
H3820	H7646	0.9081
H3837	H7430	0.9727
H3837	H4327	0.9679
H3837	H4471	0.9439
H3837	H8297	0.9439
H3837	H5470	0.9439
H3837	H6124	0.9439
H3837	H6307	0.9439
H3837	H4375	0.9439
H3840	H3923	0.9376
H3843	H7098	0.9469
H3843	H8401	0.9455
H3843	H7848	0.9279
H3843	H8438	0.9221
H3843	H8144	0.9213
H3845	H6955	0.971
H3845	H4847	0.9708
H3845	H6019	0.9615
H3845	H5992	0.959
H3845	H4187	0.9471
H3845	H5656	0.9248
H3849	H6581	1.0
H3849	H4348	1.0
H3849	H5424	1.0
H3849	H4134	1.0
H3849	H7147	1.0
H3849	H5997	0.9959
H3849	H5061	0.994
H3849	H8359	0.9939
H3849	H6883	0.9895
H3849	H8263	0.9879
H3849	H6187	0.9872
H3849	H8318	0.9831
H3849	H4465	0.9707
H3849	H6154	0.9594
H3849	H4432	0.9285
H3852	H6726	0.9202
H3857	H4268	0.9107
H3860	H5020	0.9765
H3860	H4437	0.9759
H3860	H8532	0.975
H3860	H5958	0.9706
H3860	H3961	0.9705
H3865	H8422	0.9286
H3870	H7270	0.9247
H3871	H7067	0.9869
H3871	H6458	0.9229
H3876	H7259	0.9972
H3876	H8297	0.9972
H3876	H5470	0.9972
H3876	H6124	0.9972
H3876	H6622	0.9972
H3876	H4471	0.9972
H3876	H7408	0.9972
H3876	H3999	0.9965
H3876	H6215	0.9938
H3876	H6820	0.9773
H3876	H7666	0.9749
H3876	H7431	0.9528
H3876	H7430	0.9423
H3876	H6636	0.9221
H3877	H8555	0.9899
H3877	H7956	0.9494
H3877	H6147	0.9409
H3877	H7467	0.9287
H3878	H5417	0.9033
H3882	H7293	0.9802
H3882	H5086	0.9272
H3882	H7482	0.9258
H3882	H6620	0.9129
H3882	H5050	0.9129
H3882	H6026	0.9058
H3884	H5945	0.9127
H3884	H4869	0.9028
H3884	H5582	0.9012
H3902	H7586	0.9745
H3902	H6430	0.9594
H3902	H6860	0.9577
H3908	H6957	0.9045
H3908	H7898	0.9045
H3908	H5251	0.9016
H3924	H5450	1.0
H3924	H8246	1.0
H3924	H7806	1.0
H3924	H6472	1.0
H3924	H7165	1.0
H3924	H4225	1.0
H3924	H7175	0.9989
H3924	H7848	0.9985
H3924	H7551	0.9923
H3924	H4345	0.9864
H3924	H7098	0.9834
H3924	H5572	0.9806
H3924	H7757	0.915
H3925	H7911	0.9093
H3929	H5152	0.9974
H3929	H7018	0.9952
H3929	H4968	0.9952
H3929	H8297	0.995
H3929	H6124	0.995
H3929	H8646	0.9708
H3929	H8352	0.9441
H3933	H6962	0.9478
H3933	H7723	0.9021
H3936	H8092	1.0
H3936	H8060	1.0
H3936	H8348	1.0
H3936	H7509	0.9701
H3936	H6022	0.9701
H3936	H7145	0.9449
H3936	H8019	0.9449
H3936	H5820	0.9449
H3936	H8087	0.9428
H3936	H5654	0.9396
H3936	H5816	0.9383
H3936	H4249	0.9383
H3936	H6222	0.9129
H3936	H4927	0.9045
H3936	H6069	0.9045
H3947	H4191	0.9373
H3947	H7704	0.927
H3947	H8033	0.9132
H3948	H8419	0.9726
H3948	H7176	0.9709
H3948	H6175	0.9639
H3948	H7389	0.9608
H3948	H6102	0.9608
H3948	H5557	0.9551
H3948	H7279	0.9551
H3948	H4148	0.9515
H3948	H8394	0.9465
H3948	H7036	0.9124
H3948	H4617	0.9085
H3948	H4270	0.906
H3956	H7491	0.9472
H3956	H5341	0.9437
H3956	H6467	0.9362
H3956	H6664	0.9231
H3956	H6041	0.923
H3956	H7646	0.9226
H3956	H5081	0.921
H3956	H5253	0.9199
H3956	H4820	0.9135
H3956	H7368	0.9072
H3956	H6341	0.9047
H3957	H4060	0.939
H3957	H6706	0.9311
H3957	H4923	0.9179
H3957	H7016	0.91
H3957	H4058	0.9005
H3961	H6598	1.0
H3961	H7714	1.0
H3961	H4335	1.0
H3961	H5664	1.0
H3961	H7328	1.0
H3961	H6523	1.0
H3961	H7985	1.0
H3961	H5135	1.0
H3961	H6922	1.0
H3961	H4291	1.0
H3961	H7238	1.0
H3961	H6433	1.0
H3961	H5632	1.0
H3961	H6592	0.9995
H3961	H4437	0.9972
H3961	H5020	0.9943
H3961	H5942	0.9901
H3961	H5958	0.9879
H3961	H6638	0.9806
H3961	H7117	0.9707
H3961	H8460	0.9701
H3961	H4332	0.9449
H3961	H6754	0.922
H3961	H6267	0.9045
H3966	H8034	0.9157
H3971	H5579	0.9427
H3971	H8262	0.9369
H3971	H4465	0.9179
H3971	H6541	0.9175
H3971	H5061	0.9153
H3971	H8318	0.9086
H3971	H6187	0.9014
H3974	H6547	0.9307
H3974	H6616	0.9167
H3984	H5673	0.9839
H3984	H7960	0.9333
H3984	H8421	0.9261
H3999	H4375	0.9965
H3999	H8297	0.9965
H3999	H5348	0.9965
H3999	H6124	0.9965
H3999	H7408	0.9965
H3999	H4471	0.9965
H3999	H6718	0.9735
H3999	H7431	0.9616
H3999	H4033	0.9468
H3999	H7430	0.9448
H4009	H5475	0.9481
H4009	H4209	0.9281
H4033	H7431	0.9487
H4033	H8392	0.9463
H4033	H6711	0.9435
H4033	H5146	0.9421
H4033	H8248	0.9247
H4033	H7549	0.9042
H4040	H8471	0.9798
H4040	H5002	0.9644
H4040	H5428	0.952
H4040	H4446	0.9482
H4040	H5374	0.9482
H4040	H5663	0.9482
H4040	H5297	0.9459
H4040	H7143	0.9454
H4040	H8048	0.9451
H4040	H7611	0.9237
H4040	H7622	0.9133
H4040	H5360	0.9011
H4043	H8605	0.9323
H4054	H7552	0.9248
H4055	H7134	0.9456
H4058	H6921	0.9924
H4058	H5361	0.9905
H4058	H6788	0.9905
H4058	H8457	0.9905
H4058	H6288	0.9861
H4058	H4805	0.9857
H4058	H4181	0.9786
H4058	H4923	0.9743
H4058	H4383	0.9598
H4058	H6928	0.9598
H4058	H6311	0.9549
H4058	H8422	0.9463
H4058	H8201	0.9463
H4058	H6181	0.9403
H4058	H6285	0.9359
H4058	H6189	0.931
H4058	H7253	0.9299
H4058	H7016	0.9282
H4058	H5766	0.9229
H4058	H4720	0.9214
H4058	H4060	0.9176
H4058	H7426	0.9125
H4060	H6706	0.9495
H4060	H4805	0.9209
H4060	H6442	0.9191
H4060	H6921	0.9157
H4060	H5439	0.9155
H4060	H5980	0.9067
H4082	H4436	0.9609
H4082	H4782	0.9609
H4082	H4960	0.9309
H4084	H8017	0.9864
H4084	H6701	0.9864
H4084	H6686	0.9864
H4084	H6301	0.9864
H4084	H5918	0.9864
H4084	H5265	0.9831
H4111	H4968	0.9813
H4111	H7018	0.9813
H4111	H8286	0.9802
H4114	H6919	0.9487
H4114	H5627	0.9037
H4131	H4268	0.9874
H4131	H6035	0.9812
H4131	H4869	0.9779
H4131	H7878	0.9727
H4131	H5797	0.9679
H4131	H5833	0.9678
H4131	H8416	0.9638
H4131	H6664	0.9584
H4131	H7892	0.9533
H4131	H6382	0.9533
H4131	H6041	0.951
H4131	H5148	0.9495
H4131	H4285	0.944
H4131	H8150	0.9413
H4131	H5849	0.9352
H4131	H6692	0.9346
H4131	H8056	0.9223
H4131	H6429	0.9223
H4131	H8668	0.9157
H4131	H5582	0.9115
H4132	H6775	0.9177
H4132	H7141	0.905
H4133	H5297	0.9316
H4133	H6808	0.9209
H4133	H5116	0.9102
H4133	H8205	0.9027
H4134	H6581	1.0
H4134	H4348	1.0
H4134	H5424	1.0
H4134	H7147	1.0
H4134	H5997	0.9959
H4134	H5061	0.994
H4134	H8359	0.9939
H4134	H6883	0.9895
H4134	H8263	0.9879
H4134	H6187	0.9872
H4134	H8318	0.9831
H4134	H4465	0.9707
H4134	H8453	0.9562
H4146	H5253	0.9297
H4146	H6342	0.9074
H4148	H4288	0.976
H4148	H7176	0.9582
H4148	H7036	0.9581
H4148	H6175	0.9513
H4148	H7389	0.9482
H4148	H6102	0.9482
H4148	H8394	0.9479
H4148	H8419	0.9459
H4148	H6089	0.9354
H4148	H4832	0.927
H4150	H8255	0.947
H4150	H6499	0.93
H4150	H5207	0.9251
H4150	H8081	0.9219
H4150	H7550	0.919
H4150	H8573	0.908
H4156	H7423	0.9028
H4159	H4616	0.9124
H4165	H7415	0.9284
H4165	H5532	0.9236
H4165	H7854	0.9165
H4165	H6663	0.9153
H4165	H7267	0.9117
H4165	H7747	0.9045
H4170	H8193	0.9347
H4170	H6662	0.9046
H4181	H6921	0.9812
H4181	H6788	0.9802
H4181	H8457	0.9802
H4181	H5361	0.9802
H4181	H8201	0.9659
H4181	H6285	0.952
H4181	H7341	0.9422
H4181	H7253	0.9361
H4181	H6189	0.9251
H4181	H5980	0.9108
H4187	H4249	0.9838
H4187	H4847	0.9589
H4187	H6019	0.955
H4187	H5816	0.9531
H4187	H7145	0.9474
H4187	H6955	0.9236
H4187	H5992	0.9145
H4194	H6310	0.9224
H4194	H7451	0.9088
H4194	H5315	0.9025
H4196	H7637	0.9055
H4196	H6942	0.9042
H4201	H7341	0.9013
H4209	H5475	0.9341
H4209	H6089	0.9009
H4210	H4905	1.0
H4210	H4387	1.0
H4210	H5542	0.9991
H4210	H4869	0.9827
H4210	H7878	0.9802
H4210	H6789	0.9761
H4210	H4691	0.9623
H4210	H5058	0.9594
H4210	H7775	0.937
H4210	H4867	0.9045
H4217	H4311	0.9056
H4217	H6252	0.9019
H4219	H4289	0.9438
H4219	H5145	0.9397
H4219	H5262	0.9395
H4219	H7086	0.9349
H4219	H5265	0.9311
H4219	H6301	0.9267
H4219	H7707	0.9267
H4219	H4931	0.9144
H4219	H6485	0.9021
H4225	H5450	1.0
H4225	H8246	1.0
H4225	H7806	1.0
H4225	H6472	1.0
H4225	H7165	1.0
